ID,英文名稱,中文名稱,圖片,中國大陸譯名,類別,更新日期
2915820,contingent valuation method,權變評價法,,权变估值法,財務管理組,2017-03-23
2915821,continuous compounding,連續複利,,连续复利,財務管理組,2017-03-23
2915822,continuous double auction,連續雙向競價,,连续竞价,財務管理組,2017-03-23
2915823,continuous rate of leakage,連續耗損率,,,財務管理組,2017-03-23
2915824,continuous trading,連續性競價交易,,,財務管理組,2017-03-23
2915825,contract size,契約數量,,,財務管理組,2017-03-23
2915826,contractual savings institution,契約儲蓄機構,,合约储蓄机构,財務管理組,2017-03-23
2915827,control variate technique,控制變數技術,,控制变量技术,財務管理組,2017-03-23
2915828,controller,主計長；財務長,,,財務管理組,2020-04-10
2915829,conversion factor,轉換因子,,转换因子,財務管理組,2017-03-23
2915830,conversion premium,轉換溢價,,转换溢价,財務管理組,2017-03-23
2915831,conversion price,轉換價格,,转换价格,財務管理組,2017-03-23
2915832,conversion ratio,轉換比率,,转换率,財務管理組,2017-03-23
2915833,conversion value,轉換價值,,转换价值,財務管理組,2017-03-23
2915834,convert,轉換,,转换,財務管理組,2017-03-23
2915835,convertibility theory,可轉換理論,,可转换性理论,財務管理組,2017-03-23
2915837,convertible preferred stock,可轉換特別股,,,財務管理組,2017-03-23
2915838,convertible security,可轉換證券,,,財務管理組,2017-03-23
2915839,convexity,凸性,,凸性,財務管理組,2017-03-23
2915840,coordinated effect,協同效應,,协同效应,財務管理組,2017-03-23
2915841,corporate bond,公司債,,公司债券,財務管理組,2017-03-23
2915842,corporate financing,企業融資,,企业融资,財務管理組,2017-03-23
2915843,corporate raider,企業掠奪者,,,財務管理組,2017-03-23
2915844,correlation,相關性,,,財務管理組,2017-03-23
2915845,correlation coeffeicient,相關係數,,,財務管理組,2017-03-23
2915847,cost of debt,債務成本,,债务成本,財務管理組,2017-03-23
2915848,cost of equity,權益成本,,权益成本,財務管理組,2017-03-23
2915849,cost of new stock,新股成本,,,財務管理組,2017-03-23
2915850,country risk,國家風險,,,財務管理組,2017-03-23
2915852,coupon bond,付息債券,,付息债券,財務管理組,2017-03-23
2915853,coupon rate,票面利率,,,財務管理組,2017-03-23
2915854,coupon striping,本息分離,,本息剥离,財務管理組,2017-03-23
2915855,covered call,掩護性買權,,,財務管理組,2017-03-23
2915856,covered call,掩護性買權,,有担值的看涨期权,財務管理組,2017-03-23
2915858,Cox-Ingersoll-Ross model、 CIR model,CIR模型,,CIR模型,財務管理組,2017-03-23
2915859,credit,信用,,信用,財務管理組,2017-03-23
2915860,credit allocation,信用分配,,信用分配,財務管理組,2017-03-23
2915861,credit creation,信用創造,,信用创造,財務管理組,2017-03-23
2915862,"credit default swap, CDS",信用違約交換,,信用违约互换,財務管理組,2017-03-23
2915863,credit derivatives,信用衍生性商品,,信用衍生工具,財務管理組,2017-03-23
2915864,credit enhancement,信用增強,,信用增级,財務管理組,2017-03-23
2915865,credit expansion,信用擴張,,信用扩张,財務管理組,2017-03-23
2915866,credit loan,信用貸款,,信用贷款,財務管理組,2017-03-23
2915867,credit period,信用期間,,,財務管理組,2017-03-23
2915868,credit policy,授信政策,,,財務管理組,2017-03-23
2915869,credit rating,信用評等,,信用评级,財務管理組,2017-03-23
2915870,credit rationing,信用分配,,信贷配给,財務管理組,2017-03-23
2915871,credit risk,信用風險,,信用风险,財務管理組,2017-03-23
2915872,credit score,信用評分,,,財務管理組,2017-03-23
2915873,credit spread,信用利差,,信用价差,財務管理組,2017-03-23
2915874,credit standard,信用標準,,,財務管理組,2017-03-23
2915875,credit terms,信用條件,,,財務管理組,2017-03-23
2915876,credit union,信用合作社,,信用合作社,財務管理組,2017-03-23
2915877,credit-generating innovation,信用增加式創新,,信用-引致型创新,財務管理組,2017-03-23
2915878,cross hedging,交叉避險,,交叉套期保值,財務管理組,2017-03-23
2915879,cross rate,交叉匯率,,,財務管理組,2017-03-23
2915880,cross-border merger,跨境併購,,跨国并购,財務管理組,2017-03-23
2915881,cross-sectional regression,橫斷面迴歸,,横截面回归,財務管理組,2017-03-23
2915882,currency board system,連繫匯率制度,,,財務管理組,2017-03-23
2915883,currency futures,外匯期貨,,外汇期货,財務管理組,2017-03-23
2915884,currency option,外匯選擇權,,货币期权,財務管理組,2017-03-23
2915885,currency swap,通貨交換,,货币互换,財務管理組,2017-03-23
2915886,current asset,流動資產,,,財務管理組,2017-03-23
2915887,current liability,流動負債,,,財務管理組,2017-03-23
2915888,current ratio,流動比率,,,財務管理組,2017-03-23
2915889,current yield ratio,當期收益率,,当期收益率,財務管理組,2017-03-23
2915890,customized currency option,客製化外匯選擇權商品,,,財務管理組,2017-03-23
2915891,cyclical dividend policy,循環股利政策,,目标股利政策,財務管理組,2017-03-23
2915892,daily price movement limit,每日價格波動限制,,每日价格波动限额,財務管理組,2017-03-23
2915893,Daniel-Hirsheifer-Subramanyam model,DHS(Daniel-Hirsheifer-Subramanyam)模型,,DHS模型,財務管理組,2017-03-23
2915894,date of payment,配息日,,派息日,財務管理組,2017-03-23
2915895,date of record,股權登記日,,登记日,財務管理組,2017-03-23
2915896,DAX Index,法蘭克福指數,,法兰克福指数,財務管理組,2017-03-23
2915897,"days sales outstanding, DSO",銷售流通天數,,,財務管理組,2017-03-23
2915898,dealer,自營商,,自营商,財務管理組,2017-03-23
2915899,dealer market,造市,,,財務管理組,2017-03-23
