ID,英文名稱,中文名稱,圖片,中國大陸譯名,國籍,專長,生歿年,更新日期
3540068,"Abbado, Claudio",阿巴多，克勞迪歐,,阿巴多，克劳迪奥,義大利,指揮,1933-2014,2018-05-30
3540069,"Abbatini, Antonio Maria",阿巴悌尼,,阿巴蒂尼,義大利,作曲,1609-1679,2018-05-30
3540070,"Abe, Komei",安部幸明,,安部幸明,日本,作曲；指揮；大提琴,1911-2006,2018-05-30
3540071,"Abert, Hermann",阿貝特,,阿贝特,德國,音樂學,1871-1927,2018-05-30
3540072,"Abraham, Gerald",阿布拉罕,,亚伯拉罕,英國,音樂著作,1904-1988,2018-05-30
3540073,"Absil, Jean",阿布西,,阿布西尔,比利時,作曲,1893-1974,2018-05-30
3540074,"Accardo, Salvatore",阿卡多,,阿卡尔多,義大利,小提琴；指揮,1941-,2018-05-30
3540075,"Achucarro, Joaquín",阿楚卡若,,阿丘卡罗,西班牙,鋼琴,1932-,2018-05-30
3540076,"Ackermann, Otto",阿克曼,,阿克曼,羅馬尼亞,指揮,1909-1960,2018-05-30
3540077,"Adam, Adolphe-Charles",阿當，阿朵夫－夏勒,,亚当，阿道夫-夏勒,法國,作曲,1803-1856,2018-05-30
3540078,"Adams, John",阿當斯，約翰,,亚当斯,美國,作曲,1947-,2018-05-30
3540079,"Addinsell, Richard",阿丁瑟爾,,阿丁塞尔,英國,作曲,1904-1977,2018-05-30
3540080,"Addison, John",阿迪森,,艾迪生,英國,作曲,1920-1998,2018-05-30
3540081,"Adler, Guido",阿德勒，桂多,,阿德勒，吉多,奧地利,音樂學,1855-1941,2018-05-30
3540082,"Adler, Kurt Herbert",阿德勒，庫特 赫貝特,,阿德勒，库尔特 赫伯特,奧地利,指揮,1905-1988,2018-05-30
3540083,"Adni, Daniel",阿德尼,,阿德尼,以色列,鋼琴,1951-,2018-05-30
3540084,"Aguado, Dionisio",阿括多,,阿瓜多,西班牙,作曲；吉他,1784-1849,2018-05-30
3540085,"Aho, Kalevi",阿侯,,阿霍，卡列维,芬蘭,作曲,1949-,2018-05-30
3540086,"Akhron, Joseph",阿克隆,,阿克隆,立陶宛,小提琴；作曲,1886-1943,2018-05-30
3540087,"Aktug, Mehmet",阿克圖格,,阿克图格,土耳其,作曲,1959-,2018-05-30
3540088,"Akutagawa, Yasushi",芥川也寸志,,芥川也寸志,日本,作曲；指揮,1925-1989,2018-05-30
3540089,"Alagna, Roberto",阿藍尼亞,,阿拉尼亚,法國,聲樂男高音,1963-,2018-05-30
3540090,"Albanese, Licia",阿爾巴尼斯，路琪雅,,阿尔巴内塞,美國(義裔),女高音,1913- 2014,2018-05-30
3540091,"Albéniz, Isaac",阿爾貝尼士,,阿尔贝尼斯,西班牙,作曲,1860-1909,2018-05-30
3540092,"Albinoni, Tomaso Giovanni",阿比諾尼,,阿尔比诺尼,義大利,作曲,1671-1751,2018-05-30
3540093,"Albrecht, Gerd",阿布雷希特,,阿尔布雷希特,德國,指揮；鋼琴；小提琴,1935-2014,2018-05-30
3540094,"Alexandrov, Alexander Vasil'yevich",亞力山德羅夫，亞力山大,,亚历山德罗夫，亚历山大,俄國,作曲,1883-1946,2018-05-30
3540095,"Alexandrov, Anatoly",亞力山德羅夫，安納托利,,亚历山德罗夫，阿纳托利,俄國,作曲,1888-1982,2018-05-30
3540096,"Alexeev, Dmitri",阿列克謝耶夫,,亚历克谢耶夫,俄國,鋼琴,1947-,2018-05-30
3540097,"Alfvén, Hugo",阿爾芬,,阿尔芬,瑞典,作曲；小提琴,1872-1960,2018-05-30
3540098,"Alkan, Charles-Valentin Morhange",阿爾康,,阿尔康,法國,作曲；鋼琴,1813-1888,2018-05-30
3540099,"Allegri, Gregorio",阿雷格里,,阿雷格里,義大利,作曲(宗教音樂),1582-1652,2018-05-30
3540100,"Allen, Thomas",阿倫，湯瑪斯,,艾伦,英國,男中音,1944-1999,2018-05-30
3540101,"Almeida, Antonio de",阿梅達，安東尼歐,,阿尔梅达,美國,指揮,1760-1825,2018-05-30
3540102,"Alvarez, Albert Gourron",阿法雷，阿貝特,,阿尔瓦雷斯,法國,男高音,1861-1933,2018-05-30
3540103,"Amati, Nicolo",阿瑪悌,,阿马蒂,義大利,樂器製造家,1596-1684,2018-05-30
3540104,"Ameling, Elly",阿梅琳,,阿梅林,荷蘭,女高音,1938-,2018-05-30
3540105,"Amoyal, Pierre",阿莫亞,,阿穆亚尔,法國,小提琴,1949-,2018-05-30
3540106,"Ančerl, Karel",安謝爾,,安切尔,捷克,指揮,1908-1973,2018-05-30
3540107,"Anda, Geza",安達,,安达,瑞士,鋼琴；指揮,1921-1976,2018-05-30
3540108,"Anderson, Marian",安德森，瑪利安,,安德森，玛利安,美國,女低音,1902-1993,2018-05-30
3540109,"André, Franz",安德雷，弗朗茲,,安德列，弗朗茨,比利時,指揮,1893-1975,2018-05-30
3540110,"André, Maurice",安德萊，摩利斯,,安德列，莫里斯,法國,小號,1933-2012,2018-05-30
3540111,"Andreae, Volkmar",安德列,,安德烈埃,瑞士,作曲；指揮,1879-1962,2018-05-30
3540112,"Angerer, Paul",安格勒,,安格雷尔,奧地利,指揮；作曲,1927-,2018-05-30
3540113,"Anievas, Agustin",安尼瓦斯,,安尼瓦斯,美國,鋼琴,1934-,2018-05-30
3540114,"Ansermet, Ernest",安瑟美,,昂塞梅,瑞士,指揮,1883-1969,2018-05-30
3540115,"Antheil, George",安賽爾,,安泰尔,美國,作曲,1900-1959,2018-05-30
3540116,"Apel, Willi",阿佩爾,,阿佩尔,德國,音樂學,1893-1988,2018-05-30
3540117,"Arbos, Enrique",阿玻斯,,阿尔波斯,西班牙,小提琴；作曲；指揮,1863-1939,2018-05-30
3540118,"Arditi, Luigi",阿迪悌，路易吉,,阿尔迪蒂,義大利,作曲；指揮,1822-1903,2018-05-30
3540119,"Arensky, Anton Stepanovich",阿倫斯基,,阿连斯基,俄國,鋼琴；作曲,1861-1906,2018-05-30
3540120,"Argerich, Martha",阿赫莉希,,阿赫里奇,阿根廷,鋼琴,1941-,2018-05-30
3540121,Aristoxenus,阿里斯多克賽諾斯,,亚里士多克塞诺斯,希臘,音樂理論,B.ca.378-B.ca.322,2018-05-30
3540122,"Arne, Michael",阿恩，麥可,,阿恩，迈克尔,英國,作曲,1740-1786,2018-05-30
3540123,"Arne, Thomas Augustine",阿恩，湯瑪斯,,阿恩，托马斯,英國,作曲,1710-1778,2018-05-30
3540124,"Arnold, Malcolm",阿諾,,阿诺德,英國,作曲,1921-2006,2018-05-30
3540125,"Arrau, Claudio",阿勞,,阿劳,智利,鋼琴,1903-1991,2018-05-30
3540126,"Arutiunian, Alexander",阿魯突尼安,,阿鲁秋年,亞美尼亞,作曲,1920-2005,2018-05-30
3540127,"Asafiev, Boris",阿薩費耶夫,,阿萨菲耶夫,俄國,音樂理論家,1884-1949,2018-05-30
3540128,"Asahina, Takashi",朝比奈隆,,朝比奈隆,日本,指揮,1908-2001,2018-05-30
3540129,"Ashkenazy, Vladimir",阿胥肯納齊,,阿什肯纳齐，弗拉季米尔,俄國,鋼琴；指揮,1937-,2018-05-30
3540130,"Ashton, Algernon",阿希頓,,阿什顿,英國,作曲；鋼琴,1859-1937,2018-05-30
3540131,"Askenase, Stefan",阿斯肯納瑟,,"阿斯肯纳瑟,斯蒂凡",比利時,鋼琴,1896-1985,2018-05-30
3540132,"Asperen, Bob van    ",阿斯佩倫,,阿斯佩伦,荷蘭,大鍵琴；管風琴；指揮,1947-,2018-05-30
3540133,"Atherton, David",阿瑟頓,,阿瑟顿,英國,指揮,1944-,2018-05-30
3540134,"Atterberg, Kurt",阿特貝格,,阿特贝尔格,瑞典,作曲,1887-1974,2018-05-30
3540135,"Atzmon, Moshe",阿茲蒙,,阿茨蒙,以色列,指揮,1931-,2018-05-30
3540136,"Auber, Daniel-François Esprit",歐貝爾，丹尼爾－弗朗索瓦,,奥贝尔,法國,作曲,1782-1871,2018-05-30
3540137,"Aubin, Tony Alexandre",歐班,,奥班,法國,作曲,1907-1981,2018-05-30
3540138,"Auer, Leopold",奧爾,,奥尔,匈牙利,小提琴,1845-1930,2018-05-30
3540139,"Augér, Arleen    ",奧格爾,,奥热,美國,女高音,1939-1993,2018-05-30
3540140,"Auric, Georges",歐立克,,奥里克,法國,作曲,1899-1983,2018-05-30
3540141,"Avidom, Menahem",阿維當,,阿维当,以色列,作曲,1908-1995,2018-05-30
3540142,"Avshalomov, Aaron",阿夏洛莫夫，阿隆,,阿夫夏洛莫夫，阿隆,俄國,作曲,1894-1965,2018-05-30
3540143,"Avshalomov, Jacob",阿夏洛莫夫，雅各,,阿夫夏洛莫夫，雅各布,美國,作曲；指揮,1919-2013,2018-05-30
3540144,"Babbitt, Milton",巴比特,,巴比特,美國,作曲；薩克斯管,1916-2005,2018-05-30
3540145,"Babin, Victor",巴賓,,巴宾,美國,鋼琴,1908-1972,2018-05-30
3540146,"Bacewicz, Grazyna",巴采維琪,,巴采维奇,波蘭,小提琴；作曲,1909-1969,2018-05-30
3540147,"Bach, Carl Philipp Emanuel",巴赫，卡爾·菲利普·艾曼紐,,巴赫，卡尔·菲利普·艾曼纽尔,德國,作曲,1714-1788,2018-05-30
3540148,"Bach, Johann Christian",巴赫，約翰·克里斯提安,,巴赫，约翰·克里斯提安,德國,作曲,1735-1782,2018-05-30
3540149,"Bach, Johann Christoph Friedrich",巴赫，約翰·克利斯托夫·弗里德利希,,巴赫，约翰· 克利斯托夫·弗里德利,德國,作曲,1732-1795,2018-05-30
3540150,"Bach, Johann Sebastian",巴赫，約翰·瑟巴斯提安,,巴赫，约翰·塞巴斯蒂安,德國,管風琴,1685-1750,2018-05-30
3540151,"Bach, Wilhelm Friedemann",巴赫，威廉·弗利德曼,,巴赫，威廉·弗里德曼,德國,作曲,1710-1784,2018-05-30
3540152,"Bachauer, Gina",巴考爾,,巴赫奥尔,希臘,鋼琴,1913-1976,2018-05-30
3540153,"Backhaus, Wilhelm",巴克豪斯,,巴克豪斯,德國,鋼琴,1884-1969,2018-05-30
3540154,"Badarczewska, Tekla",巴達婕芙絲卡,,巴达尔切夫斯卡,波蘭,作曲,1834-1861,2018-05-30
3540155,"Badings, Henk",巴定思,,巴丁斯,荷蘭,作曲,1907-1987,2018-05-30
3540156,"Badura-Skoda, Paul",巴杜拉－司科達,,巴杜拉-斯科达，保罗,奧地利,鋼琴,1927-,2018-05-30
3540157,"Baillot, Pierre",拜悠,,巴约,法國,小提琴；作曲,1771-1842,2018-05-30
3540158,"Baird, Tadeusz",貝爾德,,贝尔德,波蘭,作曲,1928-1981,2018-05-30
3540159,"Baker, Janet",貝克，珍妮特,,贝克，珍尼特,英國,次女高音,1933-,2018-05-30
3540160,"Baker, Theodore",貝克，狄奧多爾,,贝克，西奥多,美國,音樂學,1851-1934,2018-05-30
3540161,"Bakst, Ryszard",巴克斯特,,巴克斯特,波蘭,鋼琴,1926-1999,2018-05-30
3540162,"Balada, Leonardo",巴拉達,,巴拉达,西班牙,作曲,1933-,2018-05-30
3540163,"Balakirev, Mily Alexeyevich",巴拉基列夫,,巴拉基列夫,俄國,鋼琴；作曲,1837-1910,2018-05-30
3540164,"Balanchivadze, Andry",巴蘭奇瓦茲,,巴兰奇瓦泽,俄國,作曲,1906- 1992,2018-05-30
3540165,"Baldwin, Dalton",包德溫,,鲍德温,美國,鋼琴,1931-,2018-05-30
3540166,"Balsam, Artur",巴爾薩姆,,巴尔萨姆,波蘭,鋼琴,1906-1994,2018-05-30
3540167,"Banjamin, George",班傑民，喬治,,班杰明，乔治,英國,作曲,1960-,2018-05-30
3540168,"Bantock, Granville",班托克,,班托克,英國,作曲,1868-1946,2018-05-30
3540169,"Barber, Samuel",巴伯，撒姆爾,,巴伯,美國,作曲,1910-1981,2018-05-30
3540170,"Barbieri, Fedora",巴爾別里，費朵拉,,巴比埃里,義大利,次女高音,1919-2003,2018-05-30
3540171,"Barbirolli, Evelyn",巴比羅利，艾維林,,巴比罗里，伊夫林,英國,單簧管,1911-2008,2018-05-30
3540172,"Barbirolli, John",巴比羅利，約翰,,巴比罗里，约翰,英國,大提琴；指揮,1899-1970,2018-05-30
3540173,"Bárdos, Lajos",巴多斯,,巴道什,匈牙利,作曲,1899-1986,2018-05-30
3540174,"Barenboim, Daniel",巴倫波因,,巴伦博伊姆,以色列,鋼琴；指揮,1942-,2018-05-30
3540175,"Bargielski, Zbigniew",巴格耶斯基,,巴基耶尔斯基,波蘭,作曲,1937-,2018-05-30
3540176,"Barlow, Alan",巴洛，艾倫,,巴洛,美國,指揮,1927-,2018-05-30
3540177,"Barraqué, Jean",巴拉凱,,巴拉凯,法國,作曲,1928-1973,2018-05-30
3540178,"Barshai, Rudolf Borisovich",巴夏,,巴尔沙伊,俄國,小提琴；指揮,1924-2010,2018-05-30
3540179,"Barsova, Valeriya Vladimirovna",巴爾索娃,,巴尔索娃,俄國,女高音,1892-1967,2018-05-30
3540180,"Barstow, Josephine",巴絲桃,,巴斯托,英國,女高音,1940-,2018-05-30
3540181,"Bartók, Béla",巴爾托克,,巴托克,匈牙利,作曲；鋼琴,1881-1945,2018-05-30
3540182,"Barzin, Leon",巴爾贊,,巴津,美國,指揮,1900-1999,2018-05-30
3540183,"Bastianini, Ettore",巴斯提阿尼尼,,巴斯蒂亚尼尼，埃托雷,義大利,男中音,1922-1967,2018-05-30
3540184,"Batka, Richard",巴特卡,,巴特卡,捷克,音樂學,1868-1922,2018-05-30
3540185,"Baudo, Serge",玻多,,博多,法國,指揮,1927-,2018-05-30
3540186,"Bauer, Harold",包爾，哈洛德,,鲍尔,英國,鋼琴,1873-1951,2018-05-30
3540187,"Bax, Arnold",巴克斯,,巴克斯,英國,作曲,1883-1953,2018-05-30
3540188,"Bazzini, Antonio",巴齊尼,,巴齐尼,義大利,小提琴；作曲,1818-1897,2018-05-30
3540189,"Bean, Hugh",畢安,,比恩，休,英國,小提琴,1929-2003,2018-05-30
3540190,"Beard, John",比爾德，約翰,,比尔德,英國,男高音,1717-1791,2018-05-30
3540191,"Beck, Hermann",貝克，赫爾曼,,贝克，赫尔曼,德國,音樂學,1929-,2018-05-30
3540192,"Becker, Günther Hugo",貝克爾，根特,,贝克尔，根特，胡戈,德國,作曲,1924-2007,2018-05-30
3540193,"Becker, Hugo",貝克爾，胡果,,贝克尔，胡戈,德國,大提琴,1863-1941,2018-05-30
3540194,"Beecham, Thomas",畢勤,,比彻姆,英國,指揮,1879-1961,2018-05-30
3540195,"Beethoven, Ludwig van",貝多芬,,贝多芬,德國,作曲,1770-1827,2018-05-30
3540196,"Beinum, Eduard van",范 拜農,,拜努姆,荷蘭,指揮,1901-1959,2018-05-30
3540197,"Bellini, Vincenzo",貝利尼,,贝里尼,義大利,作曲,1801-1835,2018-05-30
3540198,Belohlavek Jiří,貝洛哈維克,,贝罗赫拉维克,捷克,指揮,1946-,2018-05-30
3540199,"Bemberg, Hemann-Emmanuel",班貝格,,本贝格,法國,作曲,1859-1931,2018-05-30
3540200,"Benda, Jiří Antonín",邊達,,本达,捷克,作曲,1722-1795,2018-05-30
3540201,"Bendl, Karl",班鐸,,本德尔,捷克,作曲,1838-1897,2018-05-30
3540202,"Ben-Haim, Paul",本海姆,,本-海姆,以色列,作曲；指揮,1897-1984,2018-05-30
3540203,"Benjamin, Arthur",班傑明，阿瑟,,本杰明,澳大利亞,作曲,1893-1960,2018-05-30
3540204,"Bennett, William Sterndale",班內特，威廉·史坦岱爾,,本内特,英國,鋼琴；作曲,1816-1875,2018-05-30
3540205,"Benoist, François",伯諾瓦司特,,"伯努瓦,弗朗索瓦",法國,作曲；管風琴,1794-1878,2018-05-30
3540206,"Benoit, Peter",貝諾瓦,,伯努瓦，彼得,比利時,作曲,1834-1901,2018-05-30
3540207,"Berezovsky, Nikolay",貝瑞佐夫斯基,,别列佐夫斯基,俄國,小提琴,1900-1953,2018-05-30
3540208,"Berg, Alban",貝爾格，阿班,,贝尔格，阿班,奧地利,作曲,1885-1935,2018-05-30
3540209,"Berganza, Teresa",貝爾岡札,,贝尔冈扎,西班牙,次女高音,1935-2005,2018-05-30
3540210,"Berger, Arthur",貝格爾，阿瑟,,贝格尔，阿瑟,美國,作曲；音樂著作,1912-2003,2018-05-30
3540211,"Berger, Erna",貝格爾，艾娜,,伯戛，艾娜,德國,女高音,1900-1990,2018-05-30
3540212,"Berglund, Paavo",貝格倫德，帕沃,,贝里隆德,芬蘭,指揮,1929-2012,2018-05-30
3540213,"Bergman, Erik",貝爾格曼，艾瑞克,,贝里曼,芬蘭,作曲,1911-2006,2018-05-30
3540214,"Bergonzi, Carlo",貝爾貢齊,,贝尔贡齐,義大利,男高音,1924-2014,2018-05-30
3540215,"Berio, Luciano",貝里歐，路奇阿諾,,贝里奥，卢恰诺,義大利,作曲,1925-2003,2018-05-30
3540216,"Bériot, Charles-Auguste de",貝里歐，奧古斯特,,贝里奥，奥古斯特,比利時,小提琴；作曲,1802-1870,2018-05-30
3540217,"Beriot, Charles-Wilfrid",貝里歐，維弗利,,贝里奥，夏尔·维夫里德,法國,作曲；鋼琴,1833-1914,2018-05-30
3540218,"Berlin, Irving",伯林，歐文,,伯林,美國,作曲,1888-1989,2018-05-30
3540219,"Berlioz, Hector",白遼士,,柏辽兹,法國,作曲；指揮,1803-1869,2018-05-30
3540220,"Berman, Lazar",貝爾曼，拉札,,贝尔曼,俄國,鋼琴,1930-2005,2018-05-30
3540221,"Bermudo, Juan",貝爾穆多,,贝尔穆多,西班牙,理論；作曲,ca.1510-ca.1565,2018-05-30
3540222,"Bernac, Pierre",貝納克,,贝尔纳克,法國,男中音,1899-1979,2018-05-30
3540223,"Bernard, Anthony",貝納德,,伯纳德,英國,管風琴；鋼琴；指揮,1891-1963,2018-05-30
3540224,"Bernathova, Eva",貝娜托娃,,贝尔纳托娃,匈牙利,鋼琴,1922-,2018-05-30
3540225,"Bernstein, Leonard",伯恩斯坦，雷歐納德,,伯恩斯坦,美國,作曲,1918-1990,2018-05-30
3540226,"Beroff, Michel",貝洛夫,,贝罗夫,法國,鋼琴,1950-,2018-05-30
3540227,"Bertini, Gary",貝提尼，蓋瑞,,贝蒂尼，加里,以色列,作曲,1927-2005,2018-05-30
3540228,"Bertini, Henri Jérôme",貝提尼，亨利,,贝蒂尼，亨利,法國,鋼琴；作曲,1798-1876,2018-05-30
3540229,"Bertoni, Gioseffo Ferdinando",貝托尼,,贝尔托尼,義大利,作曲,1725-1813,2018-05-30
3540230,"Berwald, Franz",貝華德，弗朗茲,,贝瓦尔德，弗朗茨,瑞典,小提琴；作曲,1796-1868,2018-05-30
3540231,"Berwald, Johan Fredrik",貝華德，約翰,,贝瓦尔德，约翰,瑞典,作曲,1787-1861,2018-05-30
3540232,"Betz, Franz",貝次,,贝茨,德國,,1835-1900,2018-05-30
3540233,"Beyer, Ferdinand",拜爾,,拜尔,德國,鋼琴；作曲,1803-1863,2018-05-30
3540234,"Biarent, Adolphe",畢亞隆,,比亚伦,比利時,作曲,1871-1916,2018-05-30
3540235,"Biber, Heinrich Ignaz Franz von",畢伯,,比伯,捷克,小提琴；作曲,1644-1704,2018-05-30
3540236,"Biggs, E.Power",畢格斯，鮑爾,,比格斯,美國,管風琴,1906-1977,2018-05-30
3540237,"Bigot, Eugène",畢戈,,比戈,法國,指揮,1888-1965,2018-05-30
3540238,"Binns, Malcolm",賓斯,,宾斯,英國,鋼琴,1936-,2018-05-30
3540239,"Bird, Arthur",伯爾德,,伯德,美國,作曲,1856-1923,2018-05-30
3540240,"Bizet, Georges",比才,,比才,法國,鋼琴；作曲,1838-1875,2018-05-30
3540241,"Björling, Jussi",畢悠林，朱西,,比约林，约西,瑞典,男高音,1911-1960,2018-05-30
3540242,"Björling, Sigurd",畢悠林，西戈爾德,,比约林，西戈尔德,瑞典,男高音,1907-1983,2018-05-30
3540243,"Blacher, Boris",布拉赫爾,,布拉赫尔,德國,作曲,1903-1975,2018-05-30
3540244,"Blachut, Beno",布拉胡特,,布拉胡特,捷克,男高音,1913-1985,2018-05-30
3540245,"Blech, Harry",布萊奇,,布莱克,英國,小提琴；指揮,1910-1999,2018-05-30
3540246,"Blech, Leo",布萊希,,布莱希,德國,指揮；作曲,1871-1958,2018-05-30
3540247,"Bliss, Arthur",布利斯,,布利斯,英國,作曲,1891-1975,2018-05-30
3540248,"Bloch, André",布洛赫，安德列,,布洛克，安德列,法國,作曲,1873-1960,2018-05-30
3540249,"Bloch, Ernest",布洛赫，厄內斯特,,布洛克，埃内斯特,美國,作曲,1880-1959,2018-05-30
3540250,"Blodek, Vilém",布羅德克,,布罗德克,捷克,作曲,1834-1874,2018-05-30
3540251,"Blom, Eric Walter",布隆,,布洛姆,英國,音樂學,1888-1959,2018-05-30
3540252,"Blomdahl, Karl-Birger",布隆達爾,,布洛姆达尔,瑞典,指揮；作曲,1916-1968,2018-05-30
3540253,"Blomstedt,Herbert",布隆姆什德特,,布卢姆斯泰特,瑞典,指揮,1927-,2018-05-30
3540254,"Blume, Friedrich",布魯摩,,布卢默,德國,音樂學,1893-1975,2018-05-30
3540255,"Blumenfeld, Felix",布魯門菲德,,布鲁门菲尔特,俄國,鋼琴；作曲；指揮,1863-1931,2018-05-30
3540256,"Boccherini, Luigi",玻凱利尼,,博凯里尼,義大利,作曲；大提琴,1743-1805,2018-05-30
3540257,"Bockelmann, Rudolf",玻克爾曼,,博克尔曼,德國,男中音,1890-1958,2018-05-30
3540258,"Bodanzky, Artur",玻旦茲基,,博丹斯基,奧地利,指揮,1877-1939,2018-05-30
3540259,"Bodorová, Silvie",玻朵洛娃,,波多洛娃,德國,作曲,1954-,2018-05-30
3540260,"Boehm, Karl",貝姆，卡爾,,伯姆,奧地利,指揮；鋼琴；作曲,1894-1981,2018-05-30
3540261,"Boettcher, Wilfried",玻特契爾,,伯特歇尔,德國,指揮；大提琴,1929-1994,2018-05-30
3540262,"Bogatyryov, Anatoly",玻加悌留夫,,博加特廖夫,俄國,作曲,1913-2003,2018-05-30
3540263,"Boieldieu, François-Adrien",玻伊迪歐,,博瓦尔迪厄,法國,作曲,1775-1834,2018-05-30
3540264,"Boito, Arrigo (Enrico)",玻伊多,,博伊托,義大利,作曲；詩人,1842-1918,2018-05-30
3540265,"Bolcom, William (Elden)",玻爾康,,博尔科姆,美國,鋼琴,1938-,2018-05-30
3540266,"Bolet, Jorge",玻列,,博列,美國,鋼琴,1914-1990,2018-05-30
3540267,"Bonynge, Richard",玻寧吉,,博宁吉,澳大利亞,鋼琴；指揮,1930-,2018-05-30
3540268,"Borg, Kim",玻爾格，金,,博格，基姆,芬蘭,男低音;作曲,1919-2000,2018-05-30
3540269,"Borge, Victor",玻爾格，維克特,,博尔格，维克托尔,丹麥,鋼琴,1909-2000,2018-05-30
3540270,"Bořkovec, Pavel",玻惹科維奇,,博日科韦茨,捷克,作曲,1894-1972,2018-05-30
3540271,"Borkowski, Marian",玻科夫斯基,,博尔科夫斯基,波蘭,作曲,1934-,2018-05-30
3540272,"Borodin, Alexander (Porfir'yevich)",玻羅定,,鲍罗廷,俄國,作曲,1833-1887,2018-05-30
3540273,"Borowski, Felix",玻羅夫斯基，菲利克斯,,博罗夫斯基，菲利克斯,美國,小提琴；作曲；出版,1872-1956,2018-05-30
3540274,"Borowsky, Alexander",玻羅夫斯基，亞力山大,,博罗夫斯基，亚历山大,俄國,鋼琴,1889-1968,2018-05-30
3540275,"Borren, Charles van den",玻連,,波伦,比利時,音樂學,1874-1966,2018-05-30
3540276,"Börresen, Aksel Ejnar Hakon",布瑞森,,伯雷森,丹麥,作曲,1876-1954,2018-05-30
3540277,"Bortkiewicz, Sergei (Eduardovich)",玻尔特基耶維奇,,博尔特基耶维奇,俄國,作曲,1877-1952,2018-05-30
3540278,"Bortniansky, Dmitri (Stepanovich)",玻特尼安斯基,,博尔特尼扬斯基,俄國,作曲,1751-1825,2018-05-30
3540279,"Bösendorfer, Ignaz",貝森朵夫,,贝森多夫,奧地利,鋼琴,1796-1859,2018-05-30
3540280,"Boskovsky, Willy",玻斯科夫斯基，威利,,博斯科夫斯基,奧地利,小提琴；指揮,1909-1991,2018-05-30
3540281,"Bossi, Renzo",玻西，倫佐,,博西,義大利,作曲,1883-1965,2018-05-30
3540282,"Boukoff, Yuri",布科夫,,布科夫,保加利亞,鋼琴,1923-2006,2018-05-30
3540283,"Boulanger, Lili",布朗惹，莉莉,,布朗热，莉莉,法國,作曲,1893-1918,2018-05-30
3540284,"Boulanger, Nadia",布朗惹，娜迪亞,,布朗热，娜迪亚,法國,作曲；指揮,1887-1979,2018-05-30
3540285,"Boulez, Pierre",布雷茲,,布列兹,法國,作曲；指揮,1925-2016,2018-05-30
3540286,"Boult, Adrian",鮑爾特,,博尔特,英國,指揮,1889-1983,2018-05-30
3540287,"Bourgault-Ducoudray, Louis Albert",布郭－狄庫德雷,,布尔戈-迪库德雷,法國,作曲；音樂史,1840-1910,2018-05-30
3540288,"Boyce, William",玻伊斯,,博伊斯,英國,管風琴；作曲,1711-1779,2018-05-30
3540289,"Boyd, Anne",玻德,,博伊德,澳大利亞,作曲,1946-,2018-05-30
3540290,"Boyden, David",玻伊登,,博伊登,美國,音樂學,1910-1986,2018-05-30
3540291,"Bozza, Eugène",玻札,,博扎,法國,指揮；作曲,1905-1991,2018-05-30
3540292,"Bradbury, Colin(James)",布拉德伯里,,布拉德伯里,英國,單簧管,1933-,2018-05-30
3540293,"Brahms, Johannes",布拉姆斯,,勃拉姆斯,德國,鋼琴；作曲,1833-1897,2018-05-30
3540294,"Brailowsky, Alexander",布萊洛夫斯基,,布赖洛夫斯基,俄國,鋼琴,1896-1976,2018-05-30
3540295,"Brain, Aubrey",布雷恩，奧布里,,布雷恩，奥布里,英國,圓號,1893-1955,2018-05-30
3540296,"Brain, Dennis",布雷恩，丹尼斯,,布雷恩，丹尼斯,英國,圓號,1921-1957,2018-05-30
3540297,"Brainin, Norbert",布萊寧,,布赖宁,奧地利,小提琴,1923-2005,2018-05-30
3540298,"Brambilla, Marietta",布蘭比拉,,布兰比拉,義大利,女低音,1807-1875,2018-05-30
3540299,"Bream, Julian",布利姆,,布里姆,英國,吉他；魯特琴,1933-,2018-05-30
3540300,"Brendel, Alfred",布倫德爾,,布伦德尔,奧地利,鋼琴,1931-,2018-05-30
3540301,"Bridge, Frank",布瑞基，法朗克,,布里奇,英國,作曲,1879-1941,2018-05-30
3540302,"Bright, Dora Estella",布萊特,,布赖特,英國,作曲；鋼琴,1863-1951,2018-05-30
3540303,"Britten, Benjamin",布瑞頓,,布里顿,英國,鋼琴；作曲；指揮,1913-1976,2018-05-30
3540304,"Brodsky, Adolf",布洛茲基,,布罗茨基,俄國,小提琴,1851-1929,2018-05-30
3540305,"Brott, Alexander",布勞特，亞力山大,,布罗特，亚历山大,加拿大,小提琴；指揮；作曲,1915-2005,2018-05-30
3540306,"Brott, Boris",布勞特，玻利斯,,布罗特，鲍里斯,加拿大,指揮,1944-,2018-05-30
3540307,"Brouwenstijn, Gre",布魯文絲婷,,布劳文斯泰恩,荷蘭,女高音,1915-1999,2018-05-30
3540308,"Browning, John",布勞寧,,布朗宁,美國,鋼琴,1933-2003,2018-05-30
3540309,"Bruch, Max",布魯赫,,布鲁赫,德國,作曲,1838-1920,2018-05-30
3540310,"Bruckner, Anton",布魯克納,,布鲁克纳,奧地利,作曲,1824-1896,2018-05-30
3540311,"Brüggen, Frans",布呂根,,布吕根,荷蘭,長笛；錄音師,1934-2014,2018-05-30
3540312,"Brunetti, Giovanni Gualberto",布魯內悌,,布鲁内蒂,義大利,作曲,1706-1787,2018-05-30
3540313,"Brymer, Jack",布里默,,布里默,英國,單簧管,1915-2003,2018-05-30
