ID,英文名稱,中文名稱,圖片,場所標示類別,備註,更新日期
1502210,___ Floor Central Area,___樓中央區,,環境空間配置,,2012-11-26
1502211,___ Floor North Wing,___樓北區,,環境空間配置,,2012-11-26
1502212,___ Floor Northwest Wing,___樓西北區,,環境空間配置,,2012-11-26
1502213,___ Floor Southwest Wing,___樓西南區,,環境空間配置,,2012-11-26
1502214,___ Floor Northeast Wing,___樓東北區,,環境空間配置,,2012-11-26
1502215,___ Floor Southeast Wing,___樓東南區,,環境空間配置,,2012-11-26
1502216,___ Floor South Wing,___樓南區,,環境空間配置,,2012-11-26
1502217,1st Floor Plan,1樓平面配置圖,,環境空間配置,,2012-11-26
1502218,Room A (B/C),A(B/C)室,,環境空間配置,,2012-11-26
1502219,First (Second/Third) Floor,一(二、三…)樓,,環境空間配置,,2012-11-26
1502220,Main Gate,大門,,環境空間配置,,2012-11-26
1502221,Door of Auditorium,大禮堂大門,,環境空間配置,,2012-11-26
1502222,Lobby,大廳,,環境空間配置,,2012-11-26
1502223,Atrium,中庭,,環境空間配置,,2012-11-26
1502224,Floor Plan,平面配置圖,,環境空間配置,,2012-11-26
1502225,Main Entrance / Main Gate,正門,,環境空間配置,,2012-11-26
1502226,Basement,地下室/樓,,環境空間配置,,2012-11-26
1502227,Basement Floor Plan,地下室平面位置圖,,環境空間配置,,2012-11-26
1502228,Ground Level,地面層,,環境空間配置,,2012-11-26
1502229,Automatic Door,自動門,,環境空間配置,,2012-11-26
1502230,West Gate II,西二門,,環境空間配置,,2012-11-26
1502231,Smoking Area,吸菸區,,環境空間配置,,2012-11-26
1502232,Hallway,走廊,,環境空間配置,,2012-11-26
1502233,"East (West, South, North, Central) Area",東(西、南、北、中央)區,,環境空間配置,,2012-11-26
1502234,East Gate I,東一門,,環境空間配置,,2012-11-26
1502235,Foyer,門廳,,環境空間配置,,2012-11-26
1502236,Floor Plan,室內關係位置圖,,環境空間配置,,2012-11-26
1502237,Rear Entrance,後門,,環境空間配置,,2012-11-26
1502238,Side Entrance,側門,,環境空間配置,,2012-11-26
1502239,Ticketing,售票室(處、窗口),,環境空間配置,,2012-11-26
1502240,Traction Area,牽引區,,環境空間配置,,2012-11-26
1502241,You Are Here,現在位置,,環境空間配置,,2012-11-26
1502242,Corridor,通道,,環境空間配置,,2012-11-26
1502243,Roof,頂樓,,環境空間配置,,2012-11-26
1502244,Waiting Area,等待區,,環境空間配置,,2012-11-26
1502245,Lobby,等候大廳,,環境空間配置,,2012-11-26
1502246,Area Map,週邊環境簡圖,,環境空間配置,,2012-11-26
1502247,Duty Room,傳達室,,環境空間配置,,2012-11-26
1502248,No Smoking,禁菸區,,環境空間配置,,2012-11-26
1502249,Stairs,樓梯,,環境空間配置,,2012-11-26
1502250,Floor,樓層,,環境空間配置,,2012-11-26
1502251,Floor Plan,樓層平面圖,,環境空間配置,,2012-11-26
1502252,Arcade,騎樓,,環境空間配置,,2012-11-26
1502253,Dining Room,餐廳 (未對外營業者),,環境空間配置,,2012-11-26
1502254,1. Courtyard    2. Atrium    3. Square,中庭外廣場,,環境空間配置,,2012-11-26
1502255,Shoe Cabinet,鞋櫃,,環境空間配置,,2012-11-26
1502256,TV Stand / AV Cabinet / Consol,電視櫃,,環境空間配置,,2012-11-26
1502257,Storeroom /Storage,儲藏室,,環境空間配置,,2012-11-26
1502258,Motorcycle Parking (Customers Only),民眾洽公機車停放處,,環境空間配置,,2012-11-26
1502259,Beverages,飲料區,,環境空間配置,,2012-11-26
1502260,Motorcycle Parking (Staff Only),員工機車停車位,,環境空間配置,,2012-11-26
1502261,Nap Room / Siesta,活動室寢室,,環境空間配置,,2012-11-26
1502262,1. Sponsor (贊助單位 )(承辦主辦有區分時，主辦為Sponsor)    2. Organizer,活動主辦單位,,環境空間配置,,2012-11-26
1502263,AV Control Room (A/V Control Room),音響控制室,,環境空間配置,,2012-11-26
1502264,Pedestrian Bridge,陸橋 / 天橋,,環境空間配置,,2012-11-26
1502265,Guest Register,簽到 (外賓),,環境空間配置,,2012-11-26
1502266,Shuttle Bus,接駁公車,,環境空間配置,,2012-11-26
1502267,Hand Truck / Trolley,手推車,,環境空間配置,,2012-11-26
1502268,Period of Service,服務期間,,環境空間配置,,2012-11-26
1502269,No Smoking  (use symbol),入電梯前請熄煙蒂,,導引告示禁制,,2012-11-26
1502270,Parking (Volunteers Only),志工車位,,環境空間配置,,2012-11-26
1502271,Female Shower,女沖洗室,,公共設施,,2012-11-26
1502272,Women's Changing Room,女更衣室,,公共設施,,2012-11-26
1502273,Female Disabled Shower,女身心障礙沖洗室,,公共設施,,2012-11-26
1502274,Internet Area,上網區,,公共設施,,2012-11-26
1502275,Women's Locker Room,女性衣物寄放室,,公共設施,,2012-11-26
1502276,Female Reception Room,女接見室,,公共設施,,2012-11-26
1502277,Women's Restroom / Ladies’ Restroom,女廁所/女洗手間/女化妝室,,公共設施,,2012-11-26
1502278,Reception Room,子女會面室,,公共設施,,2012-11-26
1502279,Public Telephone (s),公用電話,,公共設施,,2012-11-26
1502280,IC Card Public Telephone (s),公用電話─IC卡式,,公共設施,,2012-11-26
1502281,Card Public Telephone (s),公用電話─卡式,,公共設施,,2012-11-26
1502282,Coin Public Telephone (s),公用電話─投幣式,,公共設施,,2012-11-26
1502283,Public Telephone Cards,公用電話卡,,公共設施,,2012-11-26
1502284,Bulletin Board,公佈欄 (區),,公共設施,,2012-11-26
1502285,Elevator,升降機,,公共設施,,2012-11-26
1502286,Water and Air Supplies Station,加水充氣站,,公共設施,,2012-11-26
1502287,Gas Station (24h),加油站24小時服務,,公共設施,,2021-06-08
1502288,Lost and Found,失物招領處,,公共設施,,2012-11-26
1502289,Optical Card Public Telephone (s),光學卡式公用電話,,公共設施,,2012-11-26
1502290,Multimedia Public Telephone (s),多媒體公用電話機,,公共設施,,2012-11-26
1502291,Automatic Bill Reprinting,自助補單機,,公共設施,,2012-11-26
1502292,Lockers,自動存物箱,,公共設施,,2012-11-26
1502293,Vending Machine,自動販賣機,,公共設施,,2012-11-26
1502294,ATM (Automated Teller Machine),自動櫃員機/自動提款機,,公共設施,,2012-11-26
1502295,Luggage Storage,行李間,,公共設施,,2012-11-26
1502296,Ideal Cards,行動電話如意卡,,公共設施,,2012-11-26
1502297,Cloakroom,衣帽間,,公共設施,,2012-11-26
1502298,Coins and Bills Exchange,兌換硬幣、零鈔,,公共設施,,2012-11-26
1502299,Change,兌換零錢,,公共設施,,2012-11-26
1502300,Toll-free Telephone Number,免付費電話,,公共設施,,2012-11-26
1502301,Courtesy Internet Area,免費上網區,,公共設施,,2012-11-26
1502302,Photos,快照機,,公共設施,,2012-11-26
1502303,Changing Room,更衣室,,公共設施,,2012-11-26
1502304,Men's Restroom / Gentlemen's Restroom,男化妝室/男洗手間/男廁所,,公共設施,,2012-11-26
1502305,Men's Changing Room,男更衣室,,公共設施,,2012-11-26
1502306,Male Shower,男沖洗室,,公共設施,,2012-11-26
1502307,Male Reception Room,男接見室,,公共設施,,2012-11-26
1502308,Male Disabled Restroom,男殘障沖洗室,,公共設施,,2012-11-26
1502309,Nursing Room,育嬰室,,公共設施,,2012-11-26
1502310,Restroom for the Disabled / For the Disabled,身心障礙專用廁所,,公共設施,,2012-11-26
1502311,For the Disabled / Disabled Only,身心障礙專用電梯,,公共設施,,2012-11-26
1502312,Patrol Box,巡邏箱,,公共設施,,2012-11-26
1502313,Visitor Registration,來賓(訪客)登記,,公共設施,,2012-11-26
1502314,Children's Room,兒童室,,公共設施,,2012-11-26
1502315,Loading Dock,卸貨平台,,公共設施,,2012-11-26
1502316,Reception Room,招待室/接待室,,公共設施,,2012-11-26
1502317,Courtesy Glasses,便民眼鏡/老花眼鏡,,公共設施,,2012-11-26
1502318,Intercom,室內對講機,,公共設施,,2012-11-26
1502319,Elevator (Passenger only),客用電梯,,公共設施,,2012-11-26
1502320,Sink,洗手台,,公共設施,,2012-11-26
1502321,Laundry,洗衣室(房、部、場),,公共設施,,2012-11-26
1502322,Washing Room,洗滌室,,公共設施,,2012-11-26
1502323,Meet the Director-general / Public Meeting Hall,首長與民有約會場,,公共設施,,2012-11-26
1502324,Infant Care / Nursery Room,哺育室,,公共設施,,2012-11-26
1502325,Reception Center,家屬接待中心,,公共設施,,2012-11-26
1502326,Dependents Hostel,家屬接待所,,公共設施,,2012-11-26
1502327,Writing Area / Filling-out Area,書(繕)寫區/填寫台 /寫字桌(間),,公共設施,,2012-11-26
1502328,Forms Supply,書表提供處,,公共設施,,2012-11-26
1502329,Bulletin Board,海報張貼處,,公共設施,,2012-11-26
1502330,Free Tea / Hot Water,茶水,,公共設施,,2012-11-26
1502331,Kitchen,茶水室/茶水間,,公共設施,,2012-11-26
1502332,Press Room,記者招待室,,公共設施,,2012-11-26
1502333,Bulletin Board,區政櫥窗,,公共設施,,2012-11-26
1502334,International Prepaid Cards / E-Call Cards,國際電話預付卡/經濟卡,,公共設施,,2012-11-26
1502335,Lockers,寄物櫃,,公共設施,,2012-11-26
1502336,Relatives Visitation Room,接見家屬服務處,,公共設施,,2012-11-26
1502337,Elevator (Stretchers only),推車專用電梯,,公共設施,,2012-11-26
1502338,Exhaust Vent,排煙室,,公共設施,,2012-11-26
1502339,Lifeguards’ Changing Room,救生員更衣室,,公共設施,,2012-11-26
1502340,Cleaning Area,清洗區,,公共設施,,2012-11-26
1502341,Shower,淋浴室,,公共設施,,2012-11-26
1502342,Dehydrating / Clothes Drying Room,脫水機及乾衣機室,,公共設施,,2012-11-26
1502343,Freight Elevator,貨用電梯,,公共設施,,2012-11-26
1502344,Communication Room,通信室,,公共設施,,2012-11-26
1502345,Alert Counter,通報台,,公共設施,,2012-11-26
1502346,Restroom,廁所/洗手間/盥洗室/化妝室,,公共設施,,2012-11-26
1502347,Registration (Counter),登記台,,公共設施,,2012-11-26
1502348,Waiting Area,等候區,,公共設施,,2012-11-26
1502349,VIPs’ Changing Room,貴賓更衣室,,公共設施,,2012-11-26
1502350,VIP Room,貴賓室,,公共設施,,2012-11-26
1502351,Guest Only,貴賓專用電梯,,公共設施,,2012-11-26
1502352,Guest Reception Room,貴賓接待室,,公共設施,,2012-11-26
1502353,Post Office,郵局,,公共設施,,2012-11-26
1502354,Post Agency,郵政代辦所,,公共設施,,2012-11-26
1502355,Assembly Area,集合區,,公共設施,,2012-11-26
1502356,Reception Room,傳達室(具接待功能),,公共設施,,2012-11-26
1502357,Toll-free Telephone,愛心免費電話,,公共設施,,2012-11-26
1502358,Umbrellas for Your Convenience,愛心傘,,公共設施,,2012-11-26
1502359,Courtesy Wheelchairs,愛心輪椅,,公共設施,,2012-11-26
1502360,Reception Room,會客室,,公共設施,,2012-11-26
1502361,Photograph Studio,照相部,,公共設施,,2012-11-26
1502362,Lockers,置物櫃﹝封閉式附鎖﹞,,公共設施,,2012-11-26
1502363,Reception Room for the Board,董監接待室,,公共設施,,2012-11-26
1502364,Elevator (No Freight),載客專用電梯,,公共設施,,2012-11-26
1502365,Escalator,電扶梯,,公共設施,,2012-11-26
1502366,Telecom Company (ies),電信,,公共設施,,2012-11-26
1502367,Moving Walkway,電動平面扶梯,,公共設施,,2012-11-26
1502368,Elevator,電梯,,公共設施,,2012-11-26
1502369,Elevators for 1-14 Floors,電梯(低層─1-14樓),,公共設施,,2012-11-26
1502370,Elevators for Floors above 14,電梯(高層─14樓以上),,公共設施,,2012-11-26
1502371,Telephone,電話,,公共設施,,2012-11-26
1502372,Preparation Area,預備區,,公共設施,,2012-11-26
1502373,Honor Roll (s) / Roll of Honor,榮譽榜,,公共設施,,2012-11-26
1502374,ADSL Broadband Trial Station,寬頻(ADSL)網路試用站,,公共設施,,2012-11-26
1502375,Free Test of ADSL,寬頻(ADSL)體驗區,,公共設施,,2012-11-26
1502376,Kitchen Staff Changing Room,廚工更衣室,,公共設施,,2012-11-26
1502377,Hot Water Served,熱水供應,,公共設施,,2012-11-26
1502378,Wheelchair Room,輪椅放置處,,公共設施,,2012-11-26
1502379,Shoe Cabinet,鞋櫃,,公共設施,,2012-11-26
1502380,Seat (Toilet),盥洗室(坐式),,公共設施,,2012-11-26
1502381,Squat (Toilet) ,盥洗室(蹲式),,公共設施,,2012-11-26
1502382,Restroom for Parents with Infants,親子廁位,,公共設施,,2012-11-26
1502383,Bulletin Board for Lost and Found,遺失物品招領公告,,公共設施,,2012-11-26
1502384,Lost and Found,遺失品查詢處,,公共設施,,2012-11-26
1502385,Lockers,儲物櫃,,公共設施,,2012-11-26
1502386,Diaper Change,嬰兒換尿布台,,公共設施,,2012-11-26
1502387,Lobby,營業廳,,公共設施,,2012-11-26
1502388,Paper Cups,環保紙杯,,公共設施,,2012-11-26
1502389,Front Desk,櫃台,,公共設施,,2012-11-26
1502390,Reception,顧客接待區,,公共設施,,2012-11-26
1502391,Free Materials / Free Brochures,歡迎取閱/歡迎免費索取/宣導資料,,公共設施,,2012-11-26
1502392,Clothes Drying Yard,曬衣場,,公共設施,,2012-11-26
1502393,Clothes Drying Room,曬衣室/曬衣間,,公共設施,,2012-11-26
1502394,Certificate of Appointment,聘函 / 聘書,,行政作業,,2012-11-26
1502395,Documentation / Archives,文書檔案區,,行政作業,,2012-11-26
1502396,Handrail,扶手,,公共設施,,2012-11-26
1502397,Boys and Girls Restroom,兒童男女廁所,,公共設施,,2012-11-26
1502398,Recreation Center,休憩中心,,公共設施,,2012-11-26
1502399,Semiannual,半年刊,,公共設施,,2012-11-26
1502400,Press Pass Application,採訪證辦理,,公共設施,,2012-11-26
1502401,Occupational Safety and Quality Control Office,工安品保室,,行政作業,,2012-11-26
1502402,Touch-screen Information ,觸控式導覽系統,,公共設施,,2012-11-26
1502403,Press Room,記者休息室,,公共設施,,2012-11-26
1502404,Correspondents Reception Room,記者聯絡室,,公共設施,,2012-11-26
1502405,Press Room,科技記者聯誼會,,公共設施,,2012-11-26
1502406,Press Room,外勤記者聯誼會,,公共設施,,2012-11-26
1502407,Press Photographers’ Room,攝影記者室,,公共設施,,2012-11-26
1502408,Service Procedure,工作流程,,行政作業,,2012-11-26
1502409,Work Procedure,工作流程,,行政作業,,2012-11-26
1502410,Section in Charge,承辦課別,,行政作業,,2012-11-26
1502411,Processing Time,辦理期限,,行政作業,,2012-11-26
1502412,Public Health Inspection,公共衛生檢驗,,行政作業,,2012-11-26
1502413,Legal Process,法制作業,,行政作業,,2012-11-26
1502414,Recruitment,任免遷調,,行政作業,,2012-11-26
1502415,Attendance Management,差勤管理,,行政作業,,2012-11-26
1502416,On-site Inspection,現場稽查,,行政作業,,2012-11-26
1502417,Filing,存查,,行政作業,,2012-11-26
1502418,On-site Documentation Amendment,當場補正,,行政作業,,2012-11-26
1502419,Administrative Operations,局務,,行政作業,,2012-11-26
1502420,Filing,檔案業務,,行政作業,,2012-11-26
1502421,File Management,檔案管理業務,,行政作業,,2012-11-26
1502422,Documentation Affairs,文書相關業務,,行政作業,,2012-11-26
1502423,General Affairs,綜合行政業務,,行政作業,,2012-11-26
1502424,Receipt and Filing ,點收歸檔公文業務,,行政作業,,2012-11-26
1502425,File Circulation,還件、稽催櫃台業務,,行政作業,,2012-11-26
1502426,Return Documentation ,退件(申請文件歸還),,申請登記報名,,2012-11-26
1502427,Renewal,換發,,申請登記報名,,2012-11-26
1502428,ID Verification,身分核對,,申請登記報名,,2012-11-26
1502429,Academic Calendar,行事曆,,申請登記報名,,2012-11-26
1502430,Minutes Taker,記錄 (從事會議記錄工作者),,申請登記報名,,2012-11-26
1502431,Document Submission,收件,,申請登記報名,,2012-11-26
1502432,Verification of Seal,驗對簽證印鑑,,申請登記報名,,2012-11-26
1502433,Director-general Approval Stamp,核蓋局長印鑑,,申請登記報名,,2012-11-26
1502434,Property & Dormitory Management,財產、宿舍管理業務,,申請登記報名,,2012-11-26
1502435,R-Value Office,R值辦公室,,行政作業,,2012-11-26
1502436,Industrial Safety and Environmental Protection Office,工安環保室,,行政作業,,2012-11-26
1502437,Working Area,工作區,,行政作業,,2012-11-26
1502438,Training Center Liaison Office,訓練中心聯絡室,,行政作業,,2012-11-26
1502439,Bulletin Office,公報室,,行政作業,,2012-11-26
1502440,Culture Office,文史工作室,,行政作業,,2012-11-26
1502441,Document Room,文件室,,行政作業,,2012-11-26
1502442,Carpentry Room,木工室,,行政作業,,2012-11-26
1502443,Editorial Room,出版編輯室,,行政作業,,2012-11-26
1502444,Franchise Business Center,加盟服務中心,,行政作業,,2012-11-26
1502445,Typing Room,打字室,,行政作業,,2012-11-26
1502446,Ecology Resource and Study Center,生態研習中心,,行政作業,,2012-11-26
1502447,Traffic Control Center,交通控制中心,,行政作業,,2012-11-26
1502448,On Duty,在勤,,行政作業,,2012-11-26
1502449,Multimedia Room,多媒體放映室,,行政作業,,2012-11-26
1502450,Service Area,工作作業區 (服務洽公民眾之工作區),,行政作業,,2012-11-26
1502451,Application Service,申請案件項目,,行政作業,,2012-11-26
1502452,Processing Time,辦理時間,,行政作業,,2012-11-26
1502453,Issuance of Certificate in English,核發英文證明,,行政作業,,2012-11-26
1502454,Receipt and Filing ,點收及歸檔公文,,行政作業,,2012-11-26
1502455,Initiation of Operations,開業,,行政作業,,2012-11-26
1502456,Health Services Planning,衛生企劃,,行政作業,,2012-11-26
1502457,Seal / Imprimatur,印信,,行政作業,,2012-11-26
1502458,"Performance Appraisal, Reward & Punishment",考績獎懲,,行政作業,,2012-11-26
1502459,Human Resources Data Management ,人事資料管理,,行政作業,,2012-11-26
1502460,Agency Seal,關防,,行政作業,,2012-11-26
1502461,Joint Review,聯審,,行政作業,,2012-11-26
1502462,Competent Authority,權責單位,,行政作業,,2012-11-26
1502463,Application Rejection,退件(申請被拒),,行政作業,,2012-11-26
1502464,Replacement,換領,,行政作業,,2012-11-26
1502465,(Annual / Semiannual / Monthly) Report _______ (機關單位名稱),施政工作報告,,行政作業,,2012-11-26
1502466,Copy Service,公務代為影印,,行政作業,,2012-11-26
1502467,Reissue,補單處,,行政作業,,2012-11-26
1502468,Mail Delivery,郵遞,,行政作業,,2012-11-26
1502469,Chief Approval Stamp,核蓋課長印鑑,,行政作業,,2012-11-26
1502470,Unit,單位名稱,,行政作業,,2012-11-26
1502471,Postal Affairs,郵寄業務,,行政作業,,2012-11-26
1502472,Collection,公文領件業務,,行政作業,,2012-11-26
1502473,Supplies Management,物品管理業務,,行政作業,,2012-11-26
1502474,General Affairs ,庶務相關業務,,行政作業,,2012-11-26
1502475,Secretariat Affairs,辦理機要業務,,行政作業,,2012-11-26
1502476,Conference Rooms Administration,各會議室管理業務,,行政作業,,2012-11-26
1502477,File Management & General Affairs,檔案管理及綜合業務,,行政作業,,2012-11-26
1502478,Archives,文卷中心,,行政作業,,2012-11-26
1502479,Administrative Reform Survey,行政革新意見表,,行政作業,,2012-11-26
1502480,High Priority  Priority  Standard  Confidential,最速件    速件            普通件     密件,,行政作業,,2012-11-26
1502481,Free Materials,歡迎索閱,,行政作業,,2012-11-26
1502482,File Digitalization,檔案資訊化作業,,行政作業,,2012-11-26
1502483,Industrial Safety Office,工安室,,行政作業,,2012-11-26
1502484,Office Hours,上班時間,,行政作業,,2012-11-26
1502485,Work Room,工作室,,行政作業,,2012-11-26
