ID,英文名稱,中文名稱,圖片,業務標示類別,備註,更新日期
1506878,Estate and Gift Tax Counter,遺贈稅櫃台,,稅務業務,,2012-11-26
1506879,Business Tax Assessment,營業稅統一收件處,,稅務業務,,2012-11-26
1506880,Business Tax Counter,營業稅櫃台,,稅務業務,,2012-11-26
1506881,Large Sum Stamp Tax Statement Application,印花稅大額憑證繳款書開立申請書,,稅務業務,,2012-11-26
1506882,Proxy Amusement Tax Collection Application for Entertainment and Recreation Enterprises Establishment and Amendment,娛樂業開業、變更代徵娛樂稅款申請書,,稅務業務,,2012-11-26
1506883,Application for Establishment/Amendment of Culture and Arts Enterprise Registration,文化藝術事業統一發證設立變更登記申請書,,稅務業務,,2012-11-26
1506884,Application for Suspension or Resumption of Entertainment and Recreation Enterprise Operations,娛樂稅營利事業統一發證停業復業申請書,,稅務業務,,2012-11-26
1506885,Application for Primary Residential Land Value Tax Rate,地價稅自用住宅用地申請書,,稅務業務,,2012-11-26
1506886,Application for Reduction of or Exemption from Land Value Tax Rate Applicable to Lanes and Covered Passageways,地價稅巷道（或騎樓）用地減免申請書,,稅務業務,,2012-11-26
1506887,Application for Land Value Tax Rate Applicable to Land Used for Gas Stations and Parking Lots,地價稅加油站、停車場用地申請書,,稅務業務,,2012-11-26
1506888,Application for Land Value Increment Tax Refund for Primary Residential Land Repurchase,土地增值稅自用住宅用地重購退稅申請書,,稅務業務,,2012-11-26
1506889,Application for Cancellation of  Land Value Increment Tax Declaration (Current Assessed Land Value),撤回土地現值申報申請書,,稅務業務,,2012-11-26
1506890,Application for Exemption from Land Value Increment Tax upon Agricultural Land Deed Transfer,農業用地移轉不課徵土地增值稅申請書,,稅務業務,,2012-11-26
1506891,Application for House Tax Data Certification,房屋稅籍證明申請書,,稅務業務,,2012-11-26
1506892,Application for Cancellation of Deed Tax Declaration,契稅撤銷申報申請書,,稅務業務,,2012-11-26
1506893,Application for Vehicle Registration Tax Exemption for the Disabled,使用牌照稅身心障礙者免稅申請書,,稅務業務,,2012-11-26
1506894,Application for Refund of Tax Overpayment,重溢繳退稅申請書,,稅務業務,,2012-11-26
1506895,Application for Certificate of No Overdue County/City Taxes and Fines,地方稅無違章欠稅證明申請書,,稅務業務,,2012-11-26
1506896,Procurement,採購業務,,支付業務,,2012-11-26
1506897,Cashier Affairs,綜合出納相關業務,,支付業務,,2012-11-26
1506898,"Cash Transactions Over NT$XXX,XXX",大額收付,,支付業務,,2012-11-26
1506899,Public Utilities Payment,代收水電、瓦斯、電話費,,支付業務,,2012-11-26
1506900,Payment Check Disbursement ,簽發支票作業,,支付業務,,2012-11-26
1506901,Payment Check Issuance,簽開支票,,支付業務,,2012-11-26
1506902,Check Consignment,支票交付,,支付業務,,2012-11-26
1506903,Monthly Pension Payment,月退俸,,支付業務,,2012-11-26
1506904,Original Receipts,費用收據正本,,支付業務,,2012-11-26
1506905,Check Printing,列印支票,,支付業務,,2012-11-26
1506906,Seal Signature Verification,印鑑核對,,支付業務,,2012-11-26
1506907,Data Transfer,傳送通匯資料,,支付業務,,2012-11-26
1506908,Budget Control,預算控管,,支付業務,,2012-11-26
1506909,Check Review,審核支票,,支付業務,,2012-11-26
1506910,Document Registration,憑單收件,,支付業務,,2012-11-26
1506911,Final Approval,簽核,,支付業務,,2012-11-26
1506912,Substitute Cashier ,協辦出納業務,,支付業務,,2012-11-26
1506913,Receipt and Uniform Invoice Issuance,收據及發票開立,,支付業務,,2012-11-26
1506914,Loan Disbursement,撥付借款,,支付業務,,2012-11-26
1506915,Temporary Personnel Salary & Petty Cash,臨時人員薪資及零用金,,支付業務,,2012-11-26
1506916,Payment Voucher,付款憑單,,支付業務,,2012-11-26
1506917,Payment Check Date Stamp,加蓋付訖日戳,,支付業務,,2012-11-26
1506918,Dismissal Without Pay,無給退除,,支付業務,,2012-11-26
1506919,Lump Sum Pension Payment,一次退伍金,,支付業務,,2012-11-26
1506920,Details of Fee Payment,費用明細表,,支付業務,,2012-11-26
1506921,Electronic Documents Printing,列印電子支付紀錄單,,支付業務,,2012-11-26
1506922,Data Entry,登錄資料,,支付業務,,2012-11-26
1506923,Accounting Approval,會計簽核,,支付業務,,2012-11-26
1506924,Check Pick-up,領取支票,,支付業務,,2012-11-26
1506925,Document Filing,憑單上夾,,支付業務,,2012-11-26
1506926,Document Review,憑單審核,,支付業務,,2012-11-26
1506927,General Inspection,一般檢驗,,監理及汽訓業務,,2012-11-26
1506928,Large Vehicle Applications,大自客貨申辦服務,,監理及汽訓業務,,2012-11-26
1506929,Small Vehicle Automatic Numbering System,小自車自動選號系統,,監理及汽訓業務,,2012-11-26
1506930,Car Rental Services,小客車出租業,,監理及汽訓業務,,2012-11-26
1506931,Highway Bus Company Service,公路汽車客運業,,監理及汽訓業務,,2012-11-26
1506932,"Disassembly, Inspection, and Adjustment of Major Engine Components",引擎主件分解、檢查、調整,,監理及汽訓業務,,2012-11-26
1506933,Agency Counter,代辦綜合窗口,,監理及汽訓業務,,2012-11-26
1506934,Special Permit Applications,申領通行証,,監理及汽訓業務,,2012-11-26
1506935,Intersection,交岔路口,,監理及汽訓業務,,2012-11-26
1506936,Vehicle Impounding and License Suspension,吊扣銷執行,,監理及汽訓業務,,2012-11-26
1506937,Violation Judgment,收件裁決,,監理及汽訓業務,,2012-11-26
1506938,Payment Cashier,收費窗口,,監理及汽訓業務,,2012-11-26
1506939,S Line Driving,曲線前進,,監理及汽訓業務,,2012-11-26
1506940,Post-test Classroom,考後教育室,,監理及汽訓業務,,2012-11-26
1506941,Test Registration,考驗報名處,,監理及汽訓業務,,2012-11-26
1506942,Vehicle License Renewals Counter,行照換發窗口,,監理及汽訓業務,,2012-11-26
1506943,Free Inspection,免費代客驗車,,監理及汽訓業務,,2012-11-26
1506944,Express Counter,快遞窗口,,監理及汽訓業務,,2012-11-26
1506945,Periodic Automobile Inspection,汽車定檢,,監理及汽訓業務,,2012-11-26
1506946,"Assembly, Disassembly, Inspection, Installment, and Adjustment of Automobile Chassis",汽車底盤總成拆裝、分解、檢查、組合及調整,,監理及汽訓業務,,2012-11-26
1506947,Automobile Registration Changes (Agencies Only),汽車異動登記(代辦業者),,監理及汽訓業務,,2012-11-26
1506948,New Auto License Plates Pick-up,汽車新領牌照窗口,,監理及汽訓業務,,2012-11-26
1506949,Automobile Road Test Reception,汽車路考報考區,,監理及汽訓業務,,2012-11-26
1506950,Waiting Room for Automobile Road Test,汽車駕駛人候考室,,監理及汽訓業務,,2012-11-26
1506951,General Gasoline Engine Inspection,汽油引擎綜合檢查及故障排除,,監理及汽訓業務,,2012-11-26
1506952,Automobile Registration Changes (Agencies Only),汽機車異動窗口,,監理及汽訓業務,,2012-11-26
1506953,New Vehicle License Plate Pick-up,汽機車新領牌照,,監理及汽訓業務,,2012-11-26
1506954,Traffic Safety Lecture for Auto and Motorcycle Drivers,汽機車駕駛人道路交通安全講習,,監理及汽訓業務,,2012-11-26
1506955,Lounge,車主休息室,,監理及汽訓業務,,2012-11-26
1506956,Multi-service Counter,車輛服務窗口,,監理及汽訓業務,,2012-11-26
1506957,New Vehicle License Plates Counter,車輛新發牌照綜合窗口,,監理及汽訓業務,,2012-11-26
1506958,Vehicle Inspection,車輛檢驗登記處,,監理及汽訓業務,,2012-11-26
1506959,Vehicle Inspection Office,車輛檢驗辦公室,,監理及汽訓業務,,2012-11-26
1506960,Vehicle Records Room,車籍資料室,,監理及汽訓業務,,2012-11-26
1506961,Periodic Inspection,定期檢驗,,監理及汽訓業務,,2012-11-26
1506962,To Automobile Road Test Site,往汽車路考場,,監理及汽訓業務,,2012-11-26
1506963,Driving in a Straight Line,直線平面駕駛,,監理及汽訓業務,,2012-11-26
1506964,Insurance Company Counter,保險公司駐所服務窗口,,監理及汽訓業務,,2012-11-26
1506965,Self-assembled Vehicles,拼裝車,,監理及汽訓業務,,2012-11-26
1506966,Taxi Cooperatives,計程車運輸業合作室,,監理及汽訓業務,,2012-11-26
1506967,Volume Test Standards,音量測試合格標準,,監理及汽訓業務,,2012-11-26
1506968,Individual Taxi Driver,個人經營計程車客運業,,監理及汽訓業務,,2012-11-26
1506969,Narrow Road,狹路,,監理及汽訓業務,,2012-11-26
1506970,Fuel Tax Refund Counter,退燃料費窗口,,監理及汽訓業務,,2012-11-26
1506971,Sliding Test Standards,偏滑測試合格標準,,監理及汽訓業務,,2012-11-26
1506972,Vehicle Loan Registration and Cancellation,動保設定註銷收件,,監理及汽訓業務,,2012-11-26
1506973,Vehicle Loan Services,動產擔保窗口,,監理及汽訓業務,,2012-11-26
1506974,International License,國際駕照,,監理及汽訓業務,,2012-11-26
1506975,Exhaust Inspection,排氣檢驗,,監理及汽訓業務,,2012-11-26
1506976,Training Grounds,教練場,,監理及汽訓業務,,2012-11-26
1506977,Fifth Station: Adjustment of Major Chassis Components,第五站：汽車底盤主件調整,,監理及汽訓業務,,2012-11-26
1506978,Bulk Freight Carriers,貨車貨運業,,監理及汽訓業務,,2012-11-26
1506979,Container Freight Carriers,貨櫃車貨運業,,監理及汽訓業務,,2012-11-26
1506980,Communications Services,通信服務,,監理及汽訓業務,,2012-11-26
1506981,Winding Road Right Curve Ahead,連續彎路先向右,,監理及汽訓業務,,2012-11-26
1506982,Accident Submission Service,陳述服務,,監理及汽訓業務,,2012-11-26
1506983,Horn Volume Test,喇叭音量檢驗,,監理及汽訓業務,,2012-11-26
1506984,Driving Resumption Inspection,復駛檢驗,,監理及汽訓業務,,2012-11-26
1506985,Crosswalk,斑馬線,,監理及汽訓業務,,2012-11-26
1506986,Issuing,發件,,監理及汽訓業務,,2012-11-26
1506987,Tax Inquiries,稅費查詢,,監理及汽訓業務,,2012-11-26
1506988,Tax Counter,稅費處理窗口,,監理及汽訓業務,,2012-11-26
1506989,Automated Tax Bill Printing,稅費補單處,,監理及汽訓業務,,2012-11-26
1506990,Refund Counter,窗口退款,,監理及汽訓業務,,2012-11-26
1506991,Written Test Scores,筆試成績公佈欄,,監理及汽訓業務,,2012-11-26
1506992,Fines Counter,裁罰窗口,,監理及汽訓業務,,2012-11-26
1506993,License Test Fee and License Issuing,新考照繳費發照,,監理及汽訓業務,,2012-11-26
1506994,New Vehicle License Plate Inspection,新領牌照檢驗,,監理及汽訓業務,,2012-11-26
1506995,Brake Test Standards,煞車測試合格標準,,監理及汽訓業務,,2012-11-26
1506996,Document Reissue,補單,,監理及汽訓業務,,2012-11-26
1506997,Road Test,路考,,監理及汽訓業務,,2012-11-26
1506998,Tour Bus Companies,遊覽車客運業,,監理及汽訓業務,,2012-11-26
1506999,Mandatory Insurance Violation Processing,違反強制險案件處理,,監理及汽訓業務,,2012-11-26
1507000,Violations Information,違規(章)服務台,,監理及汽訓業務,,2012-11-26
1507001,Infraction Judgment and Penalties,違規裁罰,,監理及汽訓業務,,2012-11-26
1507002,Violation Judgments Without License Suspension,違章裁決(無扣件),,監理及汽訓業務,,2012-11-26
1507003,Electric Motorcycles Recharging,電動機車專用充電站,,監理及汽訓業務,,2012-11-26
1507004,Computer Scoring Room,電腦閱卷室,,監理及汽訓業務,,2012-11-26
1507005,Payment of Fines,罰鍰繳納,,監理及汽訓業務,,2012-11-26
1507006,Exhaust Test Standards,廢氣及排煙測試合格標準,,監理及汽訓業務,,2012-11-26
1507007,Driver’s License Test Registration,駕照考驗報名,,監理及汽訓業務,,2012-11-26
1507008,"Drivers License Examination, Change, and Reissuance",駕照換照、補照、審驗,,監理及汽訓業務,,2012-11-26
1507009,Multi-services Counter,駕駛人服務窗口,,監理及汽訓業務,,2012-11-26
1507010,Learner’s Permit,學習駕照證核發,,監理及汽訓業務,,2012-11-26
1507011,Motorcycle Road Test Site,機車考驗(路考)場,,監理及汽訓業務,,2012-11-26
1507012,Motorcycle Plate Renewal Registration,機車換牌登記,,監理及汽訓業務,,2012-11-26
1507013,New Motorcycle License Plate Pick-up Service Counter,機車新領牌照窗口,,監理及汽訓業務,,2012-11-26
1507014,Mobile Service Counter,機動窗口,,監理及汽訓業務,,2012-11-26
1507015,Fuel Tax,燃料稅,,監理及汽訓業務,,2012-11-26
1507016,Dangerous Uphill Grade,險升坡,,監理及汽訓業務,,2012-11-26
1507017,Headlight Test Standards,頭燈測試合格標準,,監理及汽訓業務,,2012-11-26
1507018,Inspecting Unit,檢驗小組辦公室,,監理及汽訓業務,,2012-11-26
1507019,Inspection Date: dd/mm/yy,檢驗時間,,監理及汽訓業務,,2012-11-26
1507020,Trailer Driving Test Site,聯結車考驗場,,監理及汽訓業務,,2012-11-26
1507021,Safety Shoulder,避車道,,監理及汽訓業務,,2012-11-26
1507022,Minor Traffic Violation Judgment Counter,簡易違規裁決窗口,,監理及汽訓業務,,2012-11-26
1507023,Registration Payment,繳費(繳交報名費),,監理及汽訓業務,,2012-11-26
1507024,Railroad Crossing,鐵路平交道,,監理及汽訓業務,,2012-11-26
1507025,Disability Assessment Team,體障鑑定小組,,監理及汽訓業務,,2012-11-26
1507026,Bus and Truck Examination,大自客、貨車審核,,監理及汽訓業務,,2012-11-26
1507027,Large Vehicle Inspection Site,大型車檢驗場,,監理及汽訓業務,,2012-11-26
1507028,Small Vehicle Inspection Site,小型車檢驗場,,監理及汽訓業務,,2012-11-26
1507029,Public Treasury,公庫,,監理及汽訓業務,,2012-11-26
1507030,Vehicle Services Multimedia Inquiry Terminal,公路監理業務多媒體查詢機,,監理及汽訓業務,,2012-11-26
1507031,Parking Brake,手煞車,,監理及汽訓業務,,2012-11-26
1507032,Parallel Parking,平行路邊停車,,監理及汽訓業務,,2012-11-26
1507033,Estimated Distance Inspection,目測檢驗,,監理及汽訓業務,,2012-11-26
1507034,License Suspensions Counter,吊扣窗口,,監理及汽訓業務,,2012-11-26
1507035,Weigh Station,地磅,,監理及汽訓業務,,2012-11-26
1507036,Fine Payments and Refunds,收費退款,,監理及汽訓業務,,2012-11-26
1507037,Turning in a Narrow Alley,曲巷調頭,,監理及汽訓業務,,2012-11-26
1507038,Forward and Reverse S Curves,曲線進退,,監理及汽訓業務,,2012-11-26
1507039,Driving License Test Registration Hours: 08:00A.M. to 17:00P.M.,考照報名時間,,監理及汽訓業務,,2012-11-26
1507040,Owner’s Lane,自辦車道,,監理及汽訓業務,,2012-11-26
1507041,Drive-through License Renewal Service,免下車快速換照窗口,,監理及汽訓業務,,2012-11-26
1507042,Express Services License Renewal,快速換照窗口,,監理及汽訓業務,,2012-11-26
1507043,Periodic Automobile Inspection Fee,汽車定期檢驗收費,,監理及汽訓業務,,2012-11-26
1507044,General Chassis Inspection,汽車底盤綜合檢查,,監理及汽訓業務,,2012-11-26
1507045,Waiting Area for Automobile Road Test,汽車候考場,,監理及汽訓業務,,2012-11-26
1507046,Freight Forwarders,汽車貨運業,,監理及汽訓業務,,2012-11-26
1507047,Automobile Road Test Site,汽車路考場,,監理及汽訓業務,,2012-11-26
1507048,Automobile Electrical System,汽車電系,,監理及汽訓業務,,2012-11-26
1507049,License Plate Number Selection,汽車選號,,監理及汽訓業務,,2012-11-26
1507050,Automobile / Motorcycle Registration Changes,汽機車異動登記綜合受理,,監理及汽訓業務,,2012-11-26
1507051,Motorcycle and Vehicle Registration,汽機車報名處,,監理及汽訓業務,,2012-11-26
1507052,Multi-service Counter,汽機車綜合窗口,,監理及汽訓業務,,2012-11-26
1507053,Disability Assessment,身心障礙者報考汽機車駕駛執照鑑定處,,監理及汽訓業務,,2012-11-26
1507054,Lane,車道,,監理及汽訓業務,,2012-11-26
1507055,Vehicle Maintenance Yard,車輛保養場,,監理及汽訓業務,,2012-11-26
1507056,Vehicle Inspection Room,車輛檢驗室,,監理及汽訓業務,,2012-11-26
1507057,Vehicle Inspection Line,車輛檢驗線,,監理及汽訓業務,,2012-11-26
1507058,Inspection Fee,車檢收費處,,監理及汽訓業務,,2012-11-26
1507059,Outsourcing Filing Room,委外建檔作業室,,監理及汽訓業務,,2012-11-26
1507060,Chassis and Body Test Standards,底盤及車身測試合格標準,,監理及汽訓業務,,2012-11-26
1507061,To Motorcycle Road Test Site,往機車路考場,,監理及汽訓業務,,2012-11-26
1507062,Put in Neutral Gear,空檔,,監理及汽訓業務,,2012-11-26
1507063,Front Alignment,前輪測滑,,監理及汽訓業務,,2012-11-26
1507064,Taxi Companies,計程車客運業,,監理及汽訓業務,,2012-11-26
1507065,Motorcycle Training Ground,重型機車教練場,,監理及汽訓業務,,2012-11-26
1507066,Reverse Into Garage,倒車入庫,,監理及汽訓業務,,2012-11-26
1507067,General Diesel Engine Inspection,柴油引擎綜合檢查及故障排除,,監理及汽訓業務,,2012-11-26
1507068,Narrow Bridge,狹橋,,監理及汽訓業務,,2012-11-26
1507069,Sliding Test,偏滑測試,,監理及汽訓業務,,2012-11-26
1507070,Motorized Machinery,動力機械,,監理及汽訓業務,,2012-11-26
1507071,Vehicle Loan Registration,動產擔保登記,,監理及汽訓業務,,2012-11-26
1507072,International and Learner’s Licenses Counter,國際及學習駕照窗口,,監理及汽訓業務,,2012-11-26
1507073,Exhaust Pipe,排氣管,,監理及汽訓業務,,2012-11-26
1507074,Exhaust Inspection,排氣檢驗,,監理及汽訓業務,,2012-11-26
1507075,Eighth Station: Inspection and Measurement of Major Components,第八站：主件檢查與測量,,監理及汽訓業務,,2012-11-26
1507076,Computer Room,終端機室,,監理及汽訓業務,,2012-11-26
1507077,Container Truck Test Site,貨櫃車考驗場,,監理及汽訓業務,,2012-11-26
1507078,Communication Operation,通信作業,,監理及汽訓業務,,2012-11-26
1507079,Postal License Renewal Room,通信換照作業室,,監理及汽訓業務,,2012-11-26
1507080,Speedometer Test Standards,速度表測試合格標準,,監理及汽訓業務,,2012-11-26
1507081,Horn Volume Test,喇叭音量檢驗,,監理及汽訓業務,,2012-11-26
1507082,One-way Street,單行道,,監理及汽訓業務,,2012-11-26
1507083,Gearshift Stability Test,換檔穩定測試,,監理及汽訓業務,,2012-11-26
1507084,Vehicle License Plate Tax,牌照稅,,監理及汽訓業務,,2012-11-26
1507085,Application for Vehicle Registration Tax Refund,使用牌照稅退稅申請書,,監理及汽訓業務,,2012-11-26
1507086,License Issuing,發照,,監理及汽訓業務,,2012-11-26
1507087,Tax and Fee Inquiry Counter,稅費查詢窗口,,監理及汽訓業務,,2012-11-26
1507088,Tax Verification,稅費補單查核,,監理及汽訓業務,,2012-11-26
1507089,Automated Tax Bill Printing Machine,稅費補單機,,監理及汽訓業務,,2012-11-26
1507090,Written Test (Room),筆試(室),,監理及汽訓業務,,2012-11-26
1507091,Waiting Area for Written Test,筆試候考區,,監理及汽訓業務,,2012-11-26
1507092,Axle Weight Measurement ,軸重測量,,監理及汽訓業務,,2012-11-26
1507093,New License Pick-up,新考領駕照,,監理及汽訓業務,,2012-11-26
1507094,Brake Test,煞車測試,,監理及汽訓業務,,2012-11-26
1507095,Brake Test,煞車試驗,,監理及汽訓業務,,2012-11-26
1507096,Plate Painting Room,資料室車牌號碼字噴漆置放處,,監理及汽訓業務,,2012-11-26
1507097,Road Test Waiting Area,路考場候考區,,監理及汽訓業務,,2012-11-26
1507098,Traffic Safety Lecture Check-in / Registration,道安講習室報到室,,監理及汽訓業務,,2012-11-26
1507099,Vehicle License Plate Tax Violations Information,違反牌照稅法諮詢服務,,監理及汽訓業務,,2012-11-26
1507100,Violation Counter,違規處理綜合窗口,,監理及汽訓業務,,2012-11-26
1507101,Violation Fines,違章服務台,,監理及汽訓業務,,2012-11-26
1507102,Violation Records,違章資料室,,監理及汽訓業務,,2012-11-26
1507103,"Computer Failure, Please Wait. ",電腦故障，暫停服務,,監理及汽訓業務,,2012-11-26
1507104,Telephone Payment,電話語音轉帳服務,,監理及汽訓業務,,2012-11-26
1507105,Approvals,審核窗口,,監理及汽訓業務,,2012-11-26
1507106,Schedule,課程表,,監理及汽訓業務,,2012-11-26
1507107,License Changes Counter,駕照異動窗口,,監理及汽訓業務,,2012-11-26
1507108,License Service Counter,駕照綜合窗口,,監理及汽訓業務,,2012-11-26
1507109,Driver Training Control Center,駕駛管制室,,監理及汽訓業務,,2012-11-26
1507110,Application for Learner’s Permit,學習駕駛證申請,,監理及汽訓業務,,2012-11-26
1507111,Motorcycle Road Test Waiting Area,機車候考場,,監理及汽訓業務,,2012-11-26
1507112,New Motorcycle License Plate,機車新領牌照,,監理及汽訓業務,,2012-11-26
1507113,Motorcycle Road Test Registration ,機車路考報到處,,監理及汽訓業務,,2012-11-26
1507114,Pay Parking for Motorcycles,機踏車停放收費場,,監理及汽訓業務,,2012-11-26
1507115,Tunnel,隧道,,監理及汽訓業務,,2012-11-26
1507116,Dangerous Downhill Grade,險降坡,,監理及汽訓業務,,2012-11-26
1507117,Required Documents:,應備証件：,,監理及汽訓業務,,2012-11-26
1507118,Inspection Fee Payments Room,檢驗收費室,,監理及汽訓業務,,2012-11-26
1507119,Inspection Site,檢驗場,,監理及汽訓業務,,2012-11-26
1507120,Unscheduled Inspection,臨時檢驗,,監理及汽訓業務,,2012-11-26
1507121,Designated Driver,歸責指定駕駛,,監理及汽訓業務,,2012-11-26
1507122,Two-way Street,雙向道,,監理及汽訓業務,,2012-11-26
1507123,Payment and Document Issuing,繳費、發件,,監理及汽訓業務,,2012-11-26
1507124,Railroad Crossing Signal,鐵路平交道號誌,,監理及汽訓業務,,2012-11-26
1507125,Yield,讓,,監理及汽訓業務,,2012-11-26
1507126,A-Type Evaporation Pan,A型蒸發皿,,氣象業務,,2012-11-26
