ID,英文名稱,中文名稱,圖片,生歿年,國籍,專長,備註,更新日期
3249198,"Aavik, Juhan",阿維克,,1884-1982,瑞典,作曲；指揮,愛沙尼亞裔,2017-08-08
3249199,"Abaco, Evaristo Felice dall'",阿巴科,,1675-1742,義大利,小提琴；作曲,,2017-08-08
3249200,"Abba-Cornaglia, Pietro",阿巴－寇納利亞,,1851-1894,義大利,作曲；音樂史,,2017-08-08
3249201,"Abbado, Claudio","阿巴多,克勞迪歐",,1933-2014,義大利,指揮,,2017-08-08
3249202,"Abbado, Marcello","阿巴多,馬切羅",,1926-,義大利,鋼琴；作曲,,2017-08-08
3249203,"Abbatini, Antonio Maria",阿巴悌尼,,1609-1679,義大利,作曲,,2017-08-08
3249204,"Abbott, Emma",阿伯特,,1850-1891,美國,聲樂,女高音,2017-08-08
3249205,"Abe, Keiko",安部圭子,,1937-,日本,擊樂,,2017-08-08
3249206,"Abe, Komei",安部幸明,,1911-2006,日本,作曲；指揮；大提琴,,2017-08-08
3249207,"Abeille, Johann Christian Ludwig",阿拜勒,,1761-1838,德國,鋼琴；管風琴；作曲,,2017-08-08
3249208,"Abel, Carl Friedrich","阿貝爾,卡爾",,1723-1787,德國,作曲,,2017-08-08
3249209,"Abel, Leopold August","阿貝爾,雷歐波德",,1718-1794,德國,作曲；小提琴,,2017-08-08
3249210,"Abels, Michael",艾伯斯,,1962-,美國,作曲,德裔,2017-08-08
3249211,"Abercrombie, Alexander",阿伯克隆比,,1949-,英國,鋼琴；作曲,,2017-08-08
3249212,"Abert, Hermann",阿貝特,,1871-1927,德國,音樂學,,2017-08-08
3249213,"Abondante, Giulio",阿邦旦特,,1546-1587,義大利,作曲；魯特琴,,2017-08-08
3249214,"Abos, Girolamo",阿伯斯,,1700-1760,義大利,作曲,,2017-08-08
3249215,"Aboulker, Isabelle",阿布克,,1938-,法國,作曲,,2017-08-08
3249216,"Abraham, Gerald",阿布拉罕,,1904-1988,英國,音樂著作,,2017-08-08
3249217,"Abrahamsen, Hans",阿布拉韓森,,1952-,丹麥,作曲,,2017-08-08
3249218,"Abram, Jacques",艾布蘭,,1915-1998,美國,鋼琴,,2017-08-08
3249219,"Abramovitz, David    ",艾布拉莫維茲,,1949-,美國,鋼琴,,2017-08-08
3249220,"Abramsky, Alexander",阿布拉姆斯基,,1898-1985,俄國,作曲,,2017-08-08
3249221,"Ábrányi, Emil",阿布蘭易,,1882-1970,匈牙利,作曲,,2017-08-08
3249222,"Abras, Juan Manuel",阿布拉斯,,1975-,瑞典,作曲,,2017-08-08
3249223,"Abravanel, Maurice",阿布拉瓦內,,1903-1993,美國,指揮,,2017-08-08
3249224,"Absil, Jean",阿布西,,1893-1974,比利時,作曲,,2017-08-08
3249225,"Abt, Franz",阿普特,,1819-1885,德國,作曲；指揮,,2017-08-08
3249226,"Abyngdon, Henry",艾賓登,,1418-1497,英國,管風琴；作曲,,2017-08-08
3249227,"Accardo, Salvatore",阿卡多,,1941-,義大利,小提琴；指揮,,2017-08-08
3249228,"Achterkamp, Jan",阿許特坎普,,1953-,荷蘭,作曲,,2017-08-08
3249229,"Achucarro, Joaquín",阿楚卡若,,1932-,西班牙,鋼琴,,2017-08-08
3249230,"Ackermann, Otto",阿克曼,,1909-1960,羅馬尼亞,指揮,,2017-08-08
3249231,"Ackte, Aino",阿克特,,1876-1944,芬蘭,聲樂,女高音,2017-08-08
3249232,"Ada, Selman","阿達,瑟爾曼",,1953-,土耳其,作曲,,2017-08-08
3249233,"Adajewska, Ella von",阿達耶芙絲卡,,1846-1926,俄國,作曲；鋼琴,,2017-08-08
3249234,Adam de la Halle,阿當‧德‧拉‧阿勒,,1235-1287,法國,作曲,,2017-08-08
3249235,"Adam, Adolphe-Charles","阿當,阿朵夫－夏勒",,1803-1856,法國,作曲,,2017-08-08
3249236,"Adamberger, Valentin",阿當貝格爾,,1743-1804,德國,聲樂,男高音,2017-08-08
3249237,"Adamis, Michael George",阿達米斯,,1929-,希臘,作曲,,2017-08-08
3249238,"Adamovich, Mikhail    ",阿達莫維奇,,1884-1947,俄國,鋼琴；指揮,,2017-08-08
3249239,"Adams, John","阿當斯,約翰",,1947-,美國,作曲,,2017-08-08
3249240,"Adams, John Luther","阿當斯,約翰‧路德",,1953-,美國,作曲,,2017-08-08
3249241,"Adams, Leslie","阿當斯,雷斯立",,1932-,美國,作曲,,2017-08-08
3249242,"Adams, Thomas","阿當斯,湯瑪斯",,1785-1858,英國,作曲,,2017-08-08
3249243,"Adan, Marie Claire","阿當,瑪莉‧克萊爾",,1926-,法國,管風琴,,2017-08-08
3249244,"Addinsell, Richard",阿丁瑟爾,,1904-1977,英國,作曲,,2017-08-08
3249245,"Addison, John",阿迪森,,1766-1844,英國,作曲,,2017-08-08
3249246,"Addison, John",阿迪森,,1920-1998,英國,作曲,,2017-08-08
3249247,"Adeney, Richard",阿登尼,,1920-2010,英國,長笛,,2017-08-08
3249248,"Adès, Thomas",艾得斯,,1971-,英國,作曲；鋼琴；指揮,,2017-08-08
3249249,"Adler, Guido","阿德勒,桂多",,1855-1941,奧地利,音樂學,,2017-08-08
3249250,"Adler, Kurt","阿德勒,庫特",,1907-1977,捷克,指揮；鋼琴,,2017-08-08
3249251,"Adler, Kurt Herbert","阿德勒,庫特赫貝特",,1905-1988,奧地利,指揮,,2017-08-08
3249252,"Adler, Larry","艾德勒,拉瑞",,1914-1990,美國,口琴,,2017-08-08
3249253,"Adler, Peter Herman","阿德勒,彼得赫曼",,1899-1990,美國,指揮,捷克裔,2017-08-08
3249254,"Adler, Samuel","阿德勒,撒姆爾",,1928-,美國,作曲；指揮,,2017-08-08
3249255,"Adlgasser, Anton Cajetan",阿德蓋瑟,,1729-1777,德國,作曲,,2017-08-08
3249256,"Adni, Daniel",阿德尼,,1951-,以色列,鋼琴,,2017-08-08
3249257,"Adorno, Theodor Wiesengrund",阿多諾,,1903-1969,德國,作曲,,2017-08-08
3249258,"Adson, John",阿德森,,1587-1640,英國,作曲,,2017-08-08
3249259,"Agazzari, Aggostino",阿加查里,,1578-1640,義大利,作曲,,2017-08-08
3249260,"Agnelli, Salvatore",阿奈利,,1817-1874,義大利,作曲,,2017-08-08
3249261,"Agnesi, Luigi",阿奈西,,1833-1875,比利時,聲樂,男低音,2017-08-08
3249262,"Agnew, Roy",阿格紐,,1893-1944,澳大利亞,作曲；鋼琴,,2017-08-08
3249263,"Agricola, Alexander",阿格里科拉,,1446-1506,比利時,作曲,,2017-08-08
3249264,"Agthe, Karl Christian",阿格特,,1762-1797,德國,管風琴；作曲,,2017-08-08
3249265,"Aguado, Dionisio",阿括多,,1784-1849,西班牙,作曲；吉他,,2017-08-08
3249266,"Aguirre, Julián",阿吉瑞,,1868-1924,阿根廷,作曲,,2017-08-08
3249267,"Agujari, Lucrezia",阿古亞莉,,1743-1783,義大利,聲樂,女高音,2017-08-08
3249268,"Ahle, Johann Rudolf",阿雷,,1625-1673,德國,作曲,,2017-08-08
3249269,"Ahna, Pauline de",阿娜,,1863-1950,德國,聲樂,女高音,2017-08-08
3249270,"Aho, Kalevi",阿侯,,1949-,芬蘭,作曲,,2017-08-08
3249271,"Ahrendt, Karl",阿倫特,,1904-1993,美國,作曲,,2017-08-08
3249272,"Aibliger, Johann Kaspar",艾布利格,,1779-1867,德國,作曲,,2017-08-08
3249273,"Aichinger, Gregor",艾辛格,,1564-1628,德國,作曲,,2017-08-08
3249274,"Aitken, Robert    ",艾特肯,,1939-,加拿大,作曲；長笛；指揮,,2017-08-08
3249275,"Akasaka, Tatsuzo",赤坂達三,,1964-,日本,單簧管,,2017-08-08
3249276,"Akhron, Joseph",阿克隆,,1886-1943,立陶宛,小提琴；作曲,,2017-08-08
3249277,"Akiyama, Kazuyoshi",秋山和慶,,1941-,日本,指揮家；音樂教育,,2017-08-08
3249278,"Akiyama, Norio",秋山紀夫,,1936-,日本,管樂教育；指揮,,2017-08-08
3249279,"Akpabot, Samuel Ekpe",阿克帕伯特,,1932-2000,奈及利亞,作曲,,2017-08-08
3249280,"Aktug, Mehmet",阿克圖格,,1959-,土耳其,作曲,,2017-08-08
3249281,"Akutagawa, Yasushi",芥川也寸志,,1925-1989,日本,作曲；指揮,,2017-08-08
3249282,"Alagna, Roberto",阿藍尼亞,,1963-,法國,聲樂,男高音,2017-08-08
3249283,"Alain, Jehan","阿琅,若昂",,1911-1940,法國,作曲,,2017-08-08
3249284,"Alain, Marie-Claire","阿琅,瑪莉－克萊爾",,1926-2013,法國,管風琴,,2017-08-08
3249285,"Alaleona, Domenico",阿拉雷歐納,,1881-1928,義大利,作曲,,2017-08-08
3249286,"Alan, Hervey",阿藍,,1910-1982,英國,聲樂,男低音,2017-08-08
3249287,"Alanko, Petri    ",阿藍科,,1963-,芬蘭,長笛,,2017-08-08
3249288,"Alard, Delphin",阿拉爾,,1815-1888,法國,作曲；小提琴,,2017-08-08
3249289,"Alba, Alonso de(Alonso, de Alba)","阿爾巴,阿隆索",,1475?-1520,西班牙,作曲,,2017-08-08
3249290,"Albanese, Francesco    ","阿爾巴尼斯,法蘭切斯科",,1912-2005,義大利,聲樂,男高音,2017-08-08
3249291,"Albanese, Licia","阿爾巴尼斯,莉琪雅",,1913-2014  ,美國（義裔）,聲樂,,2018-05-31
3249292,"Albanesi, Carlo",阿爾巴內西,,1856-1926,義大利,鋼琴；作曲,,2017-08-08
3249293,"Albani, Emma",阿爾巴妮,,1847-1930,加拿大,聲樂,女高音,2017-08-08
3249294,"Albasri, Yusuf SMS",阿巴斯里,,1982-,美國,作曲,,2017-08-08
3249295,"Albéniz, Isaac",阿爾貝尼士,,1860-1909,西班牙,鋼琴；作曲,,2017-08-08
3249296,"Albert, Eugen d' {Dalbert, Eugène}","達貝爾,尤金",,1864-1932,德國,作曲；鋼琴,蘇格蘭裔,2017-08-08
3249297,"Albert, Heinrich","阿貝特,海因利希",,1604-1651,德國,管風琴；作曲；詩人,,2017-08-08
3249298,"Albert, Karel","阿貝特,卡爾",,1901-1987,比利時,作曲,,2017-08-08
3249299,"Albert, Prince",阿伯特親王,,1819-1861,英國,作曲,,2017-08-08
3249300,"Albert, Stephen","阿伯特,史提芬",,1941-1992,美國,作曲,,2017-08-08
3249301,"Alberti, Domenico","阿貝悌,多門尼可",,1710-1740,義大利,作曲；聲樂；大鍵琴,,2017-08-08
3249302,"Alberti, Johann Friedrich","阿貝悌,約翰‧弗里德利希",,1642-1710,德國,作曲,,2017-08-08
3249303,"Albertz, Sef",阿貝爾茲,,1971-,委內瑞拉,吉他,,2017-08-08
3249304,"Albicastro, Enrico (Heinrich)",阿比卡斯特羅,,1670-1738,瑞士,作曲,,2017-08-08
3249305,"Albinoni, Tomaso Giovanni",阿比諾尼,,1671-1751,義大利,作曲,,2017-08-08
3249306,"Albrecht, Gerd",阿布雷希特,,1935-2014,德國,指揮；鋼琴；小提琴,,2017-08-08
3249307,"Albrechtsberger, Johann Geor",阿布雷希茨貝格,,1736-1809,奧地利,管風琴；作曲,,2017-08-08
3249308,"Albright, William",阿布萊特,,1944-1998,美國,作曲,,2017-08-08
3249309,"Alcock, Walter",阿科克,,1861-1947,英國,管風琴；作曲,,2017-08-08
3249310,"Alda, Frances","阿達,法蘭切絲",,1879-1952,義大利,聲樂,女高音,2017-08-08
3249311,"Alderighi, Dante",阿德利基,,1898-1968,加拿大,鋼琴；作曲,,2017-08-08
3249312,"Aldrich, Richard",阿德利奇,,1863-1937,美國,樂評,,2017-08-08
3249313,"Aldridge, Robert Livingston",阿德利吉,,1954-,美國,作曲,,2017-08-08
3249314,"Alemann, Eduardo",阿雷曼,,1922-2005,阿根廷,作曲,,2017-08-08
3249315,"Aler, John    ",阿勒,,1949-,美國,聲樂,男高音,2017-08-08
3249316,"Alexander, Joe L.","亞力山大,喬",,1958-,美國,作曲,,2017-08-08
3249317,"Alexander, Russell","亞力山大,羅素",,1877-1915,美國,作曲,,2017-08-08
3249318,"Alexandrov, Alexander Vasil'yevich","亞力山德羅夫,亞力山大",,1883-1946,俄國,作曲,,2017-08-08
3249319,"Alexandrov, Anatoly","亞力山德羅夫,安納托利",,1888-1982,俄國,作曲,,2017-08-08
3249320,"Alexeev, Dmitri",阿列克謝耶夫,,1947-,俄國,鋼琴,,2017-08-08
3249321,"Alfano, Franco",阿爾法諾,,1876-1954,義大利,作曲,,2017-08-08
3249322,"Alfvén, Hugo",阿爾芬,,1872-1960,瑞典,作曲；小提琴,,2017-08-08
3249323,"Algarotti, Franceso",阿加洛第,,1712-1764,義大利,音樂著作,,2017-08-08
3249324,"Alghisi, Paris Francesco",阿基西,,1666-1733,義大利,作曲,,2017-08-08
3249325,"Ali-Zadeh, Franghiz",阿里扎德,,1947-,亞塞拜然,作曲,,2017-08-08
3249326,"Alkan, Charles-Valentin Morhange",阿爾康,,1813-1888,法國,作曲；鋼琴,,2017-08-08
3249327,"Allam, Walter Edward",阿蘭姆,,1902-1992,英國,指揮；鋼琴；作曲,,2017-08-08
3249328,"Allan, Richard van","艾倫,理查",,1935-2008,英國,聲樂,男低音,2017-08-08
3249329,"Alldis, John",阿迪斯,,1928-2010,英國,指揮,,2017-08-08
3249330,"Allegri, Gregorio",阿雷格里,,1582-1652,義大利,作曲,宗教音樂,2017-08-08
3249331,"Allen, Hugh","阿倫,休",,1869-1946,英國,指揮；管風琴,,2017-08-08
3249332,"Allen, Thomas","阿倫,湯瑪斯",,1944-1999,英國,聲樂,男中音,2017-08-08
3249333,"Allende, Pedro Humberto",阿連德,,1885-1959,智利,作曲；小提琴,,2017-08-08
3249334,"Allin, Norman",阿林,,1884-1973,英國,聲樂,男低音,2017-08-08
3249335,"Allori, Pietro",阿羅利,,1925-1985,義大利,作曲,,2017-08-08
3249336,"Almeida, Antonio de","阿梅達,安東尼歐",,1760-1825,美國,指揮,葡裔,2017-08-08
3249337,"Almeida, Francisco Antonio de","阿梅達,弗朗西斯科",,1702-1755,葡萄牙,作曲,,2017-08-08
3249338,"Almeida, Renato","阿梅達,雷納多",,1895-,巴西,音樂學,,2017-08-08
3249339,"Alnaes, Eyvind",阿奈斯,,1872-1932,挪威,作曲；管風琴；指揮,,2017-08-08
3249340,"Alnievas, Augustin",阿涅瓦斯,,1934-,美國,鋼琴,,2017-08-08
3249341,"Alon, Aaron",阿隆,,1981-,美國,作曲,,2017-08-08
3249342,"Alonso-Crespo, Eduardo",阿隆索－克雷斯波,,1956-,阿根廷,作曲,,2017-08-08
3249343,"Alpaerts, Flor",阿培爾茲,,1876-1954,比利時,作曲,,2017-08-08
3249344,"Alsted, Birgitte",阿斯泰德,,1942-,丹麥,作曲,,2017-08-08
3249345,"Alsuyet, Claudio",阿蘇葉特,,1957-,阿根廷,作曲,,2017-08-08
3249346,"Alt, Bernhard",阿特,,1903-1945,比利時,作曲,,2017-08-08
3249347,"Altenburg, Johann Ernst",阿騰堡,,1734-1801,德國,小號,,2017-08-08
3249348,"Althouse, Paul",阿特豪士,,1889-1954,美國,聲樂,男高音,2017-08-08
3249349,Altusi,阿突西,,1540-1613,義大利,理論；作曲,,2017-08-08
3249350,"Álvarez Fernández, Miguel",阿瓦雷斯費爾蘭迪斯,,1979-,西班牙,作曲,,2017-08-08
3249351,"Alvarez, Albert Gourron","阿法雷,阿貝特",,1861-1933,法國,聲樂,男高音,2017-08-08
3249352,"Alvarez, Marguerite d'","阿法雷茲,瑪格麗特",,1886-1953,英國,聲樂,女低音,2017-08-08
3249353,"Alvary, Max",阿法瑞,,1856-1898,德國,聲樂,男高音,2017-08-08
3249354,"Alwyn, William",阿爾文,,1905-1985,英國,作曲,,2017-08-08
3249355,"Amati, Nicolo",阿瑪悌,,1596-1684,義大利,樂器製造家,弦樂器,2017-08-08
3249356,"Ambrose, Saint",聖•安布羅士,,340-397,義大利,作曲,,2017-08-08
3249357,"Ameling, Elly",阿梅琳,,1938-,荷蘭,聲樂,女高音,2017-08-08
3249358,"Amendola, Ugo",阿門多拉,,1917-1995,義大利,作曲,,2017-08-08
3249359,"Amirov, Fikret",阿米羅夫,,1922-1984,亞塞拜然,作曲,,2017-08-08
3249360,"Ammann, Dieter",阿曼,,1962-,瑞士,作曲,,2017-08-08
3249361,"Amon, Blasius",阿蒙,,1560-1590,奧地利,作曲,,2017-08-08
3249362,"Amoyal, Pierre",阿莫亞,,1949-,法國,小提琴,,2017-08-08
3249363,"Amram, David",阿姆藍,,1930-,美國,作曲,,2017-08-08
3249364,"Amrod, Paul",阿姆洛德,,1951-,美國,作曲,,2017-08-08
3249365,"Amy, Gilbert",阿密,,1936-,法國,作曲；指揮,,2017-08-08
3249366,"Ančerl, Karel",安謝爾,,1908-1973,捷克,指揮,,2017-08-08
3249367,"Anda, Geza",安達,,1921-1976,瑞士,鋼琴；指揮,匈牙利裔,2017-08-08
3249368,"Anderson, George Frederick","安德森,喬治",,1793-1876,英國,小提琴,,2017-08-08
3249369,"Anderson, Leroy","安德森,雷洛",,1908-1975,美國,作曲,,2017-08-08
3249370,"Anderson, Lucy","安德森,露西",,1797-1878,英國,鋼琴,,2017-08-08
3249371,"Anderson, Marian","安德森,瑪利安",,1902-1993,美國,聲樂家,女低音,2017-08-08
3249372,"Anderson, Ronald Kinloch","安德森,羅納德",,1911-1984,英國,鋼琴,,2017-08-08
3249373,"Andrade, Mário de",安德拉德,,1893-1945,巴西,音樂學,,2017-08-08
3249374,"André, Franz","安德雷,弗朗茲",,1893-1975,比利時,指揮,,2017-08-08
3249375,"André, Johann","安德雷,約翰",,1741-1799,德國,作曲,,2017-08-08
3249376,"André, Maurice","安德烈,莫里斯",,1933-2012,法國,小號,,2018-05-31
3249377,"Andreae, Volkmar",安德列,,1879-1962,瑞士,作曲；指揮,,2017-08-08
3249378,"Andrée, Elfrida","安德列,艾符莉達",,1841-1929,瑞典,作曲；管風琴,,2017-08-08
3249379,"Andreozzi, Gaetano",安德列歐奇,,1775-1826,義大利,作曲,,2017-08-08
3249380,"Andrews, Herbert","安德魯斯,赫伯特",,1904-1965,愛爾蘭,管風琴；作曲,,2017-08-08
3249381,"Andrews, Hilda","安德魯斯,希達",,1900-1984,英國,音樂學,,2017-08-08
3249382,"Andriessen, Hendrik","安德里森,亨得利",,1892-1981,荷蘭,作曲；管風琴,,2017-08-08
3249383,"Andriessen, Jurriaan","安德里森,尤瑞安",,1925- 1996,荷蘭,作曲,,2017-08-08
3249384,"Andriessen, Louis","安德里森,路易斯",,1939-,荷蘭,作曲,,2017-08-08
3249385,"Andriessen, Willem","安德里森,威廉",,1887-1964,荷蘭,鋼琴；作曲；指揮,,2017-08-08
3249386,"Anerio, Felice","安內里歐,費利切",,1560-1614,義大利,作曲,,2017-08-08
3249387,"Anerio, Giovanni Francesco","安內里歐,喬望尼",,1567-1630,義大利,作曲,,2017-08-08
3249388,"Anfossi, Pasquale",安佛西,,1727-1797,義大利,作曲,,2017-08-08
3249389,"Angelis, Nazzareno de    ",安杰利斯,,1881-1962,義大利,聲樂,男低音,2017-08-08
3249390,"Angelo, Gioacchino",安杰洛,,1899-1971,義大利,作曲,,2017-08-08
3249391,"Angerer, Paul",安格勒,,1927-,奧地利,指揮；作曲,,2017-08-08
3249392,"Anhalt, István",安赫特,,1919-2012,匈牙利,作曲,,2017-08-08
3249393,"Anievas, Agustin",安尼瓦斯,,1934-,美國,鋼琴,,2017-08-08
3249394,"Animuccia, Giovanni",安尼慕契亞,,1500-1571,義大利,作曲,,2017-08-08
3249395,"Ank, Matthias    ",安克,,1959-,德國,管風琴；指揮,合唱,2017-08-08
3249396,"Ansell, John",安色爾,,1874-1948,英國,指揮；作曲,,2017-08-08
3249397,"Ansermet, Ernest",安瑟美,,1883-1969,瑞士,指揮,,2017-08-08
3249398,"Anson, Hugo",安森,,1894-1958,紐西蘭,作曲,,2017-08-08
3249399,"Ansorge, Conrad",安索格,,1862-1930,德國,鋼琴；作曲,,2017-08-08
3249400,"Antheil, George",安賽爾,,1900-1959,美國,作曲,,2017-08-08
3249401,"Anthony, Trevor",安東尼,,1912-2014,英國,聲樂,男低音,2017-08-08
3249402,"Antill, John",安替爾,,1904-1986,澳大利亞,作曲,,2017-08-08
3249403,Antonsen Ole Edvard,安東森,,1962-,挪威,管樂,,2017-08-08
3249404,"Antunes, Jorge",安杜內斯,,1942-,巴西,作曲,,2017-08-08
3249405,"Apel, Willi",阿佩爾,,1893-1988,德國,音樂學,,2017-08-08
3249406,"Aplvor, Denis",阿普弗爾,,1916-2004,英國,作曲,,2017-08-08
3249407,"Apostel, Hans Erich",阿波斯特,,1901-1972,奧地利,作曲,,2017-08-08
3249408,"Appeldoorn, Christina (Dina)",阿佩敦,,1884-1938,荷蘭,作曲,,2017-08-08
3249409,"Ara, Ugo",阿爾拉,,1876-1936,義大利,小提琴,,2017-08-08
3249410,"Aranyi, Jelly d'",阿蘭尼,,1895-1966,匈牙利,小提琴,,2017-08-08
3249411,"Arbeau, Thoinot (Jehan)",阿爾波,,1519 -1595,法國,作曲,,2017-08-08
3249412,"Arbos, Enrique",阿玻斯,,1863-1939,西班牙,小提琴；作曲；指揮,,2017-08-08
3249413,"Arcà, Paolo",阿爾卡,,1953-,義大利,作曲,,2017-08-08
3249414,"Arcadelt, Jacob",阿卡代特,,1505-1568,比利時,作曲,,2017-08-08
3249415,"Archambeau, Jwan d'",阿匈播,,1879-1955,比利時,大提琴,,2017-08-08
3249416,"Archangelsky, Alexander",阿向蓋斯基,,1846-1924,俄國,指揮；作曲,,2017-08-08
3249417,"Archer, Frederick",阿切爾,,1838-1901,英國,管風琴,,2017-08-08
3249418,"Arditi, Luigi","阿迪悌,路易吉",,1822-1903,義大利,作曲；指揮,,2017-08-08
3249419,"Arditti, David","阿迪悌,大衛",,1964-,俄國,作曲,,2017-08-08
3249420,"Arensky, Anton Stepanovich",阿倫斯基,,1861-1906,俄國,鋼琴；作曲,,2017-08-08
3249421,"Argent, Mark",阿真特,,1964-,英國,作曲,,2017-08-08
3249422,"Argerich, Martha",阿赫莉希,,1941-,阿根廷,鋼琴,,2017-08-08
3249423,"Arias, Luis",阿里亞斯,,1940-,阿根廷,作曲,,2017-08-08
3249424,"Arie, Raffaele    ",阿里耶,,1922-1988,保加利亞,聲樂,男低音,2017-08-08
3249425,Aristoxenus,阿里斯多克賽諾斯,,B.ca.378-B.ca.322,希臘,音樂理論,,2017-08-08
3249426,"Arkwright, Godfrey",阿克萊特,,1864-1944,英國,音樂學,,2017-08-08
3249427,"Armstrong, Thomas",阿姆斯壯,,1898-1978,英國,管風琴；作曲,,2017-08-08
3249428,"Arnaoudov, Gheorghi",阿瑙朵夫,,1957-,保加利亞,作曲,,2017-08-08
3249429,"Arne, Michael","阿恩,麥可",,1740-1786,英國,作曲,,2017-08-08
3249430,"Arne, Thomas Augustine","阿恩,湯瑪斯",,1710-1778,英國,作曲,,2017-08-08
3249431,"Arnell, Richard",阿尼爾,,1917-2009,英國,作曲,,2017-08-08
3249432,"Arnold, Malcolm",阿諾,,1921-2006   ,英國,作曲,,2018-05-31
3249433,"Arnould, Sophie",阿爾努,,1740-1802,法國,聲樂,女高音,2017-08-08
3249434,"Arrau, Claudio",阿勞,,1903-1991,智利,鋼琴,,2017-08-08
3249435,"Arriaga, Juan Crisostomo",阿里亞加,,1806-1826,西班牙,小提琴；作曲,,2017-08-08
3249436,"Arrigo, Girolamo",阿里哥,,1930-,義大利,作曲,,2017-08-08
3249437,"Arronte, Aitor",阿隆特,,1978-,西班牙,作曲,,2017-08-08
3249438,"Arroyo, Martina",阿柔友,,1936-,美國,聲樂,女高音,2017-08-08
3249439,"Artegna, Francesco Ellero d'    ",阿爾提尼亞,,1900-,義大利,聲樂　,男低音,2017-08-08
3249440,Artôt Désirée,"阿爾妥,黛吉蕾",,1835-1907,比利時,聲樂,女高音,2017-08-08
3249441,"Artôt, Alexandre-Joseph Montagney","阿爾妥,亞力山大－約瑟夫",,1815-1845,比利時,小提琴,,2017-08-08
3249442,"Artved, Max    ",阿特維,,1965-,丹麥,雙簧管,,2017-08-08
3249443,"Arundell, Dennis",阿倫德爾,,1898-1988,英國,理論；歌劇導演,,2017-08-08
3249444,"Arutiunian, Alexander",阿魯突尼安,,1920-2005,亞美尼亞,作曲,,2017-08-08
3249445,"Asafiev, Boris",阿薩費耶夫,,1884-1949,俄國,作曲,,2017-08-08
3249446,"Asahina, Takashi",朝比奈隆,,1908-2001,日本,指揮,,2017-08-08
3249447,"Ashkenazy, Vladimir",阿胥肯納齊,,1937-,俄國,鋼琴；指揮,,2017-08-08
3249448,"Ashton, Algernon",阿希頓,,1859-1937,英國,作曲；鋼琴,,2017-08-08
3249449,"Askenase, Stefan",阿斯肯納瑟,,1896-1985,比利時,鋼琴,波裔,2017-08-08
3249450,"Asperen, Bob van    ",阿斯佩倫,,1947-,荷蘭,大鍵琴；管風琴；指揮,,2017-08-08
3249451,"Aston, Peter",阿斯頓,,1938-,英國,作曲；指揮,,2017-08-08
3249452,"Atherton, David",阿瑟頓,,1944-,英國,指揮,,2017-08-08
3249453,"Atkins, Ivor",阿特金斯,,1869-1953,英國,管風琴；指揮；作曲,,2017-08-08
3249454,"Atlas, Dalia",阿特拉斯,,1933-,以色列,指揮；鋼琴,,2017-08-08
3249455,"Atterberg, Kurt",阿特貝格,,1887-1974,瑞典,作曲,,2017-08-08
3249456,"Atzmon, Moshe",阿茲蒙,,1931-,以色列,指揮,匈裔　,2017-08-08
3249457,"Auber, Daniel-François Esprit","歐貝爾,丹尼爾－弗朗索瓦",,1782-1871,法國,作曲,,2017-08-08
3249458,"Aubert, Jacques","歐貝爾,賈克",,1689-1753,法國,小提琴；作曲,,2017-08-08
3249459,"Aubert, Louis","歐貝爾,路易",,1877-1968,法國,作曲,,2017-08-08
3249460,"Aubin, Tony Alexandre",歐班,,1907-1981,法國,作曲,,2017-08-08
3249461,"Audran, Edmond",歐德隆,,1840-1901,法國,作曲,,2017-08-08
3249462,"Auer, Leopold",奧爾,,1845-1930,匈牙利,小提琴,,2017-08-08
3249463,"Auerbach, Lera",奧爾巴赫,,1973-,俄國,作曲,,2017-08-08
3249464,"Augér, Arleen    ",奧格爾,,1939-1993,美國,聲樂,女高音,2017-08-08
3249465,"Augustus, Janice G.",奧古斯突絲,,1945-,美國,作曲,,2017-08-08
3249466,"Auric, Georges",歐立克,,1899-1983,法國,作曲,,2017-08-08
3249467,"Austin, Frederic","奧斯汀,弗瑞德立克",,1872-1952,英國,聲樂；作曲,男中音,2017-08-08
3249468,"Austin, Richard","奧斯汀,理查",,1903-1989,英國,指揮,,2017-08-08
3249469,"Austin, Sumner","奧斯汀,山納",,1888-1981,英國,聲樂；歌劇,男中音,2017-08-08
3249470,"Austral, Florence",奧絲楚,,1894-1968,澳大利亞,聲樂,女高音,2017-08-08
3249471,"Avalon, Robert",阿瓦隆,,1955-2004,美國,作曲,,2017-08-08
3249472,"Aveling, Valda",阿威林,,1920-2007,澳大利亞,鋼琴,,2017-08-08
3249473,"Avidom, Menahem",阿維當,,1908-1995,以色列,作曲,波蘭裔,2017-08-08
3249474,"Avison, Charles",阿維森,,1709-1770,英國,作曲,,2017-08-08
3249475,"Avraham, Gerald",阿布拉罕,,1904-1988,英國,音樂著作,,2017-08-08
3249476,"Avshalomov, Aaron","阿夏洛莫夫,阿隆",,1894-1965,俄國,作曲,,2017-08-08
3249477,"Avshalomov, Jacob","阿夏洛莫夫,雅各",,1919-2013,美國,作曲；指揮,俄裔,2017-08-08
3249478,"Axman, Emil",阿克斯曼,,1887-1949,捷克,作曲,,2017-08-08
3249479,"Ayala-Pérez, Daniel",阿雅拉－貝雷斯,,1906-1975,墨西哥,作曲,,2017-08-08
3249480,"Azabagic, Denis    ",阿薩巴吉許,,1972-,波士尼亞,吉他,,2017-08-08
