ID,英文名稱,中文名稱,圖片,組別,審定日期,更新日期
19441740,30th highest hourly volume,第30最高小時交通量,,,,2022-07-15
19441741,375 rent deduction,三七五減租,,都計組,,2022-07-15
19441742,3-car unit,三車組,,,,2022-07-15
19441743,3D city model,三維城市模型,,測量組,,2022-07-15
19441744,3D city modeling,三維城市建模,,測量組,,2022-07-15
19441745,3D geodetic model,三維大地模式；三維大地模型,,測量組,,2022-07-15
19441746,3D-lidar survey,三維光達測量,,,,2022-07-15
19441747,4-aminodiphenyl,4-胺基聯苯,,環工組,,2022-07-15
19441748,A B shift,雙班制,,,,2022-07-15
19441749,a posteriori,後驗的；驗後,,測量組,,2022-07-15
19441750,a posteriori variance of unit weight,後驗單位權方差；後驗單位權變方,,測量組,,2022-07-15
19441751,a priori,先驗的,,,,2022-07-15
19441752,a priori position accuracy,先驗位置精確度；先驗位置準確度,,測量組,,2022-07-15
19441753,a priori variance of unit weight,先驗單位權方差；先驗單位權變方,,測量組,,2022-07-15
19441754,A/F ratio,鋁-鐵氧化物比,,,,2022-07-15
19441755,abacus,柱頂板{古典神廟},,,,2022-07-15
19441756,abandoned path,廢棄河道,,,,2022-07-15
19441757,abandoned tender,廢標,,營管組,,2022-07-15
19441758,abandonment and vacation of right of way,路權廢棄,,,,2022-07-15
19441759,abandonment of existing miscellaneous structures,既有零星構造物拆除,,營管組,,2022-07-15
19441760,aberration,像差,,測量組,,2022-07-15
19441761,abiotic factor,無生命因子；非生物因子,,環工組,,2022-07-15
19441762,ablation,消融{雪或冰溶解}；侵蝕{風化造成的}；燒蝕,,,,2022-07-15
19441763,ablation cooling,燒蝕冷卻,,材料_FRP,,2022-07-15
19441764,ablative plastic,燒蝕塑膠,,材料_FRP,,2022-07-15
19441765,abnormal tide,異常潮,,,,2022-07-15
19441766,aboriginal reserve,原住民保留地,,都計組,,2022-07-15
19441767,Abrams' law,亞伯姆定律,,,,2022-07-15
19441768,abrasion,磨耗；磨蝕,,材料_FRP,,2022-07-15
19441769,abrasion damage,磨損,,,,2022-07-15
19441770,abrasion drill,磨鑽,,,,2022-07-15
19441771,abrasion resistance,抗磨耗力,,,,2022-07-15
19441772,abrasion resistance of aggregate,粒料之耐磨性,,,,2022-07-15
19441773,abrasion resistant concrete,耐磨混凝土,,營管組,,2022-07-15
19441774,abrasion test machine,磨耗試驗機,,,,2022-07-15
19441775,abrasive saw blade,研磨鋸片,,,,2022-07-15
19441776,ABS detergent,烷基苯磺酸鹽清潔劑,,環工組,,2022-07-15
19441777,abscissa,橫坐標,,測量組,,2022-07-15
19441778,absence flag,離船旗,,,,2022-07-15
19441779,absence light,離船燈,,,,2022-07-15
19441780,absenteeism,曠職,,營管組,,2022-07-15
19441781,absent-minded perception,無意識知覺,,,,2022-07-15
19441782,absent-minded reading,無意識閱讀,,,,2022-07-15
19441783,absolute acceleration,絕對加速度,,,,2022-07-15
19441784,absolute dry,絕對乾燥,,,,2022-07-15
19441785,absolute efficiency,絕對效率,,,,2022-07-15
