ID,英文名稱,中文名稱,圖片,語言,備註,更新日期
3236555,à 2 {Fr.},二；雙,,法,,2017-08-08
3236556,a 2 {It.},二,,義,,2017-08-08
3236557,a battuta {It.},嚴守原節拍,,義,,2017-08-08
3236558,a bene placito {It.},任意速度的,,義,,2017-08-08
3236559,a cappella {It.},無伴奏；無伴奏合唱,,義,,2017-08-08
3236560,a capriccio {It.},任意的；隨意的,,義,,2017-08-08
3236561,à deux cordes {Fr.},雙弦（同音）,,法,,2017-08-08
3236562,à deux mains {Fr.},用双手彈,,法,,2017-08-08
3236563,à deux {Fr.},二；打二拍,,法,,2017-08-08
3236564,a due corde {It.},雙弦（同音）,,義,,2017-08-08
3236565,a due {It.},二；打二拍,,義,,2017-08-08
3236566,à la corde {Fr.},弓不離弦；運弓時稍加壓力,,法,,2017-08-08
3236567,a mezza voce {It.},一半音量,,義,,2017-08-08
3236568,a piacere {It.},隨意表現,,義,,2017-08-08
3236569,a prima vista {It.},視奏；視唱,,義,,2017-08-08
3236570,a punta d'rco {It.},用弓尖部奏,,義,,2017-08-08
3236571,à quatre mains {Fr.},四手聯彈,,法,,2017-08-08
3236572,a quattro mani {It.},四手聯彈,,義,,2017-08-08
3236573,A sharp,升Ａ,,英,,2017-08-08
3236574,a tempo primo {It.},初速度,,義,,2017-08-08
3236575,a tempo {It.},還原速度；回原速,,義,,2017-08-08
3236576,à voix forte {Fr.},大聲的,,法,,2017-08-08
3236577,A-DAT,八音軌數位錄音機,,英,,2017-08-08
3236578,A2 {It.},雙,,義,,2017-08-08
3236579,abadá {Br.},阿巴達鼓,,巴西,,2017-08-08
3236580,abbandoné {Fr.},放任的；隨意的,,法,,2017-08-08
3236581,abbandono {It.},放任的；隨意的,,義,,2017-08-08
3236582,abbassare {It.},調低（音高）,,義,,2017-08-08
3236583,abbellimenti {It.},裝飾音符,,義,,2017-08-08
3236584,abbellimento {It.},裝飾音符,,義,,2017-08-08
3236585,abbozzo {It.},草稿,,義,,2017-08-08
3236586,abbreviation,簡略記法,,英,,2017-08-08
3236587,abbreviatura {It.},簡略記法,,義,,2017-08-08
3236588,abdämpfen{Ger.},加弱音器,,德,,2017-08-08
3236589,Abendlied {Ger.},晚間歌曲,,德,,2017-08-08
3236590,Abendmusik {Ger.},晚間音樂會；晚間音樂,,德,,2017-08-08
3236591,abertura acústica {Sp.},音孔,,西,,2017-08-08
3236592,abgeleitete Stufen {Ger.},變化音,,德,,2017-08-08
3236593,abgeleitete Töne {Ger.},變化音,,德,,2017-08-08
3236594,Abgesang {Ger.},副歌；副段,,德,,2017-08-08
3236595,abgrenzter Kanon {Ger.},有終卡農,,德,,2017-08-08
3236596,Abkürzung {Ger.},簡略記法,,德,,2017-08-08
3236597,abnehmend {Ger.},漸弱,,德,,2017-08-08
3236598,abréviation{Fr.},簡略記法,,法,,2017-08-08
3236599,abridged sonata-form,節略奏鳴曲式,,英,,2017-08-08
3236600,Absatz {Ger.},休止,,德,,2017-08-08
3236601,abschwellend {Ger.},漸弱的,,德,,2017-08-08
3236602,absetzen {Ger.},斷奏；改編,,德,,2017-08-08
3236603,absolute consonance,絕對協和,,英,,2017-08-08
3236604,absolute consonant interval,絕對協和音程,,英,,2017-08-08
3236605,absolute hearing,絕對音感,,英,,2017-08-08
3236606,absolute music,絕對音樂,,英,,2017-08-08
3236607,absolute Musik {Ger.},絕對音樂,,德,,2017-08-08
3236608,absolute pitch,絕對音高,,英,,2017-08-08
3236609,absolute threshold,絕對閾；刺激閾,,英,,2017-08-08
3236610,absolute Tonhöhe {Ger.},絕對音高,,德,,2017-08-08
3236611,absolutes Gehör {Ger.},絕對音感,,德,,2017-08-08
3236612,abstossen {Ger.},斷奏；停用某個音栓,,德,,2017-08-08
3236613,abstract music,抽象音樂,,英,,2017-08-08
3236614,abstrakte Musik {Ger.},抽象音樂,,德,,2017-08-08
3236615,Abstrich {Ger.},下弓,,德,,2017-08-08
3236616,Abuba {Heb.},阿布巴笛,,希伯來,,2017-08-08
3236617,Abwechselnd {Ger.},交替,,德,,2017-08-08
3236618,académie{Fr.},學會；學院；音樂會,,法,,2017-08-08
3236619,academy,學會；學院；音樂會,,英,,2017-08-08
3236620,academy of music,音樂學院,,英,,2017-08-08
3236621,Acalento {Por.},巴西搖籃曲｛巴西｝,,葡,,2017-08-08
3236622,accademia {It.},學會；學院；音樂會,,義,,2017-08-08
