ID,英文名稱,中文名稱,圖片,中國大陸譯名,備註,更新日期
2289509,crucible,坩堝,,坩埚,,2015-05-25
2289510,crude rubber,生橡膠,,生橡胶,,2015-05-25
2289511,cryolite,冰晶石,,冰晶石,,2015-05-25
2289512,cryptand,穴狀配位子,,①穴醚 ②穴狀配位子,,2015-05-25
2289513,cryptate,穴狀化合物,,①穴合物 ②穴狀化合物,,2015-05-25
2289514,cryptophane,穴芳,,穴蕃,,2015-05-25
2289515,crystal,晶體,,晶体,,2015-05-25
2289516,crystal axis,晶軸,,晶轴,,2015-05-25
2289517,crystal cell,晶體光電池；晶胞,,晶胞,,2015-05-25
2289518,crystal chemistry,晶體化學,,晶体化学,,2015-05-25
2289519,crystal class,晶體種類,,晶类,,2015-05-25
2289520,crystal edge,晶稜,,晶棱,,2015-05-25
2289521,crystal engineering,晶體工程,,晶体工程,,2015-05-25
2289522,crystal face,晶面,,晶面,,2015-05-25
2289523,crystal family,晶族,,晶族,,2015-05-25
2289524,crystal field splitting,晶場分裂,,<p>晶体场分裂</p>,,2015-05-25
2289525,crystal form,晶形,,晶形,,2015-05-25
2289526,crystal growth,晶體生長,,晶体生长,,2015-05-25
2289527,crystal habit,晶癖,,晶癖,,2015-05-25
2289528,crystal imperfection,晶體缺陷,,晶体非完美性,,2015-05-25
2289529,crystal morphology,晶體形態學,,晶体形态学,,2015-05-25
2289530,crystal nucleus,晶核,,晶核,,2015-05-25
2289531,crystal plane,晶面,,晶面,,2015-05-25
2289532,crystal structure,晶體結構,,晶体结构,,2015-05-25
2289533,crystal system,晶系,,晶系,,2015-05-25
2289534,crystal texture,晶體織構；晶體紋理,,晶体织构,,2015-05-25
2289535,crystal violet,結晶紫,,结晶紫,,2015-05-25
2289536,crystal water,結晶水,,结晶水,,2015-05-25
2289537,crystalline fold period,晶體折疊週期,,晶体折叠周期,,2015-05-25
2289538,crystalline polymer,晶性聚合物,,结晶聚合物,,2015-05-25
2289539,crystalline precipitate,晶形沈澱,,晶形沉淀,,2015-05-25
2289540,crystalline state,晶態,,晶态,,2015-05-25
2289541,crystalline-amorphous transition,晶形-非晶形態轉變,,晶态-非晶态转变,,2015-05-25
2289542,crystallinity,結晶度,,结晶度,,2015-05-25
2289543,crystallization,結晶,,结晶,,2015-05-25
2289544,crystallographic data,結晶數據,,晶体学数据,,2015-05-25
2289545,crystallographic plane group,[結晶學]平面群,,[晶体学]平面群,,2015-05-25
2289546,crystallographic point group,[結晶學]點群,,[晶体学]点群,,2015-05-25
2289547,crystallographic shear,結晶切變,,结晶[学]切变,,2015-05-25
2289548,crystallographic space group,[結晶學]空間群,,[晶体学]空间群,,2015-05-25
2289549,crystallographic symmetry,結晶對稱,,晶体学对称性,,2015-05-25
2289550,crystallographic texture,晶體織構；晶體紋理,,晶体织构,,2015-05-25
2289551,crystallographic zone,[結晶學]晶帶,,晶带,,2015-05-25
2289552,crystallographic zone axis,[結晶學]晶帶軸,,晶带轴,,2015-05-25
2289553,crystallography,結晶學,,晶体学,,2015-05-25
2289555,CSTR {continuous stirred tank reactor},連續攪拌槽反應器,,连续搅拌釜式反应器,,2015-05-25
2289556,CT {computed tomography},電腦斷層[掃描]攝影,,计算机断层成像,,2015-05-25
2289557,CT complex,電荷轉移複合物,,电荷转移复合物,,2015-05-25
2289559,C-terminal,C-端,,C-端,,2015-05-25
2289560,cube,立方體,,立方体,,2015-05-25
2289561,cubebane,蓽澄茄[油]烷；蓽澄茄素,,毕澄茄烷[类],,2015-05-25
2289562,cubic system,立方晶系,,立方晶系,,2015-05-25
2289563,cucurbitin,南瓜子胺酸,,南瓜子氨酸,,2015-05-25
2289564,cucurbitine,南瓜子胺酸,,南瓜子氨酸,,2015-05-25
2289565,cumulative constant,累積常數{總常數},,累积常数,,2015-05-25
2289566,cumulative frequency,累積頻率,,累积频数,,2015-05-25
2289567,cumulative stability constant,累積穩定常數,,累积稳定常数,,2015-05-25
2289568,cumulative yield,累積產率,,累积产额,,2015-05-25
2289569,cumulene,疊烯類,,累积多烯,,2015-05-25
2289570,cupferron,銅鐵靈,,铜铁试剂,,2015-05-25
2289571,cuproine,"銅洛因 {2,2'-聯喹啉；亞銅試劑}",,亚铜试剂,,2015-05-25
2289572,curdy precipitate,凝乳狀沈澱,,凝乳状沉淀,,2015-05-25
2289573,cure,硫化,,硫化,,2015-05-25
2289574,Curie {= Ci},居里 {單位},,居里(单位),,2015-05-25
2289575,Curie constant,居里常數,,居里常数,,2015-05-25
2289576,Curie point,居里點,,居里点,,2015-05-25
2289577,Curie-point pyrolyzer,居里點熱解器,,居里点裂解器,,2015-05-25
2289578,curing,硬化[處理],,固化,,2015-05-25
2289579,curing agent,固化劑；硬化劑；交聯劑；硫化劑,,固化剂,,2015-05-25
2289580,current analysis,電流分析法,,电流分析法,,2015-05-25
2289581,current density,電流密度,,电流密度,,2015-05-25
2289582,current efficiency,電流效率,,电流效率,,2015-05-25
2289583,current step,電流階,,电流阶跃,,2015-05-25
2289584,current sweep,電流掃描,,电流扫描,,2015-05-25
2289585,current titration,電流滴定,,电流滴定,,2015-05-25
2289586,current-potential curve,電流-電位曲線,,电流－电势曲线,,2015-05-25
2289587,curvature,曲率；曲度,,曲率,,2015-05-25
2289588,curve crossing,位能面交叉,,势能面交叉,,2015-05-25
2289589,curve fitting,曲線適插法,,曲线拟合,,2015-05-25
2289590,cut-off filter,截止濾光片,,截止滤光片,,2015-05-25
2289591,CV {cyclic voltammetry},循環伏安法,,循环伏安法,,2015-05-25
2289593,CVT {chemical vapor transportation},化學蒸氣傳輸,,化学气相输运,,2015-05-25
2289594,CW laser {continuous-wave laser},連續波雷射,,连续波激光器,,2015-05-25
2289595,cyanamide,氰胺,,氰胺,,2015-05-25
2289596,cyanidation,氰化,,氰化,,2015-05-25
2289597,cyano-bonded phase,氰基鍵結相,,氰基键合相,,2015-05-25
2289598,cyanoethylation,氰乙化[作用],,氰乙基化,,2015-05-25
2289599,cyanohydrin,氰醇,,氰醇,,2015-05-25
2289600,cyanomethylation,氰甲基化,,氰甲基化,,2015-05-25
2289601,cyanometric titration,氰量法,,氰量法,,2015-05-25
2289602,cyclazine,環吖【口井】,,环吖嗪,,2015-05-25
2289603,cycle coupling,耦合循環,,耦合循环,,2015-05-25
2289604,cyclic monomer,環狀單體,,环状单体,,2015-05-25
2289605,cyclic peptide,環肽,,环肽,,2015-05-25
2289606,cyclic process,循環過程,,循环过程,,2015-05-25
2289607,cyclic voltammeter,循環伏安儀,,循环伏安仪,,2015-05-25
2289608,cyclic voltammetric method,循環伏安法,,循环伏安法,,2015-05-25
2289609,cyclic voltammetry {= CV},循環伏安法,,循环伏安法,,2015-05-25
2289610,cyclic voltammogram,循環伏安圖,,循环伏安图,,2015-05-25
2289611,cyclitol,環多醇,,环多醇,,2015-05-25
2289612,cyclization,環化[作用],,环化,,2015-05-25
2289613,cycloaddition,環加成[作用],,环加成,,2015-05-25
2289614,cycloaddition polymerization,環加成聚合,,环加成聚合,,2015-05-25
2289615,cycloalkane,環烷烴,,环烷烃,,2015-05-25
2289616,cycloalkene,環烯烴,,环烯烃,,2015-05-25
2289617,cycloalkene polymerization,環烯聚合,,环烯聚合,,2015-05-25
2289618,cyclodepsipeptide,環酯肽,,环酯肽,,2015-05-25
2289619,cyclodextrin,環糊精,,环糊精,,2015-05-25
2289620,cyclodextrin induced room temperature phosphorimetry {= CD-RTP},環糊精誘導室溫磷光法,,环糊精诱导室温磷光法,,2015-05-25
2289621,cyclometallation,環金屬化[反應],,环金属化[反应],,2015-05-25
2289622,cyclopeptide,環肽,,环肽,,2015-05-25
2289623,cyclophane,環芳,,环蕃,,2015-05-25
2289624,cyclopolymerization,環化聚合[作用],,环化聚合,,2015-05-25
2289625,cyclosilazane,環矽氮,,环硅胺,,2015-05-25
2289626,cyclosiloxane polymerization,環矽氧[烷]聚合,,环硅氧烷聚合,,2015-05-25
2289627,cycloversion,環化[作用],,环化,,2015-05-25
2289628,cylinder mirror analyzer {= CMA},筒鏡[能量]分析器,,筒镜能量分析器,,2015-05-25
2289629,cylindrical micelle,[圓]柱形微胞,,柱形胶束,,2015-05-25
2289630,cymantrene,環戊二烯基三羰基錳,,环戊二烯基三羰基锰,,2015-05-25
2289631,cysteine,半胱胺酸,,半胱氨酸,,2015-05-25
2289632,cystine,胱胺酸,,胱氨酸,,2015-05-25
2289633,cytidine,胞苷,,胞苷,,2015-05-25
2289634,cytochrome,細胞色素,,细胞色素,,2015-05-25
2289635,cytochrome c oxidase,細胞色素 c 氧化酶,,细胞色素ｃ氧化酶,,2015-05-25
2289636,cytochrome P-450,細胞色素 P-450,,细胞色素P-450,,2015-05-25
2289637,cytosine,胞嘧啶,,胞嘧啶,,2015-05-25
2289639,Czochralski method,柴可斯基法 {單晶成長},,[晶体生长]提拉法,,2015-05-25
2289640,Da {Dalton},道耳頓,,道尔顿,,2015-05-25
2289641,DA {dopamine},"多巴胺；3,4-二羥苯乙胺",,多巴胺,,2015-05-25
2289642,Dalton {= Da},道耳頓,,道尔顿,,2015-05-25
2289643,DAM {diantipyrylmethane},二安替比林[基]甲烷,,二安替比林甲烷,,2015-05-25
2289644,dammarane,達瑪烷[類],,达玛烷[类],,2015-05-25
2289645,Daniel cell,丹尼耳電池,,丹尼尔电池,,2015-05-25
2289646,daphnane,瑞香烷,,瑞香烷[类],,2015-05-25
2289647,dark field microscope,暗場顯微鏡,,暗场显微镜,,2015-05-25
2289648,data handling,資料處理,,数据处理,,2015-05-25
2289649,data processing,數據處理；資料處理,,数据处理,,2015-05-25
2289650,daughter nuclide,子體核種,,子体核素,,2015-05-25
2289651,d-block element,d區元素,,d区元素,,2015-05-25
2289654,de novo sequencing,從頭定序,,从头测序,,2015-05-25
2289655,de novo synthesis,從頭合成,,从头合成,,2015-05-25
2289656,deactivating group,去活化基,,钝化基团,,2015-05-25
2289657,deactivation,去活化[作用],,失活[作用],,2015-05-25
2289658,deactivation mechanism,去活化機制,,失活机理,,2015-05-25
2289659,dead end polymerization,死端聚合,,无活性聚合，死端聚合,,2015-05-25
2289660,dead time,無感時間,,死时间,,2015-05-25
2289661,dead volume,[管柱]怠體積；[管柱]呆體積,,死体积,,2015-05-25
2289662,deamination,去胺[作用],,脱氨基,,2015-05-25
2289663,Debye equation,德拜方程式,,德拜公式,,2015-05-25
2289664,Debye radius,德拜半徑,,德拜半径,,2015-05-25
2289665,Debye-Hückel limiting law,德[拜]-休[克耳]極限定律,,德拜-休克尔极限定律,,2015-05-25
2289666,Debye-Hückel theory,德[拜]-休[克耳]理論,,德拜-休克尔理论,,2015-05-25
2289667,Debye-Scherrer method,德[拜]-謝[樂]法,,德拜-谢乐法,,2015-05-25
2289668,Debye-Waller factor,德[拜]-瓦[勒]因數,,德拜—沃勒温度因子,,2015-05-25
2289669,decantation,傾析；傾瀉,,倾析,,2015-05-25
2289670,decarbonylation,去羰基化[作用],,脱羰,,2015-05-25
2289671,decarboxamidation,去醯胺化,,脱酰胺化,,2015-05-25
2289672,decarboxylation,去羧[作用],,脱羧,,2015-05-25
2289673,decarboxylative nitration,去羧硝化[作用],,脱羧硝化,,2015-05-25
2289674,decay chain,[放射性]衰變鏈,,[放射性]衰变链,,2015-05-25
2289675,decay constant,[放射性]衰變常數,,[放射性]衰变常数,,2015-05-25
2289676,decay process of excited state,激發態衰減過程,,激发态衰变过程,,2015-05-25
2289677,decay scheme,衰變[體系]圖解,,[放射性]衰变纲图,,2015-05-25
2289678,decoloring clay,漂白土,,漂白土,,2015-05-25
2289679,decommissioning,[核電廠]退役,,退役,,2015-05-25
2289680,decomposition,分解[作用],,分解,,2015-05-25
2289681,decomposition voltage,分解電壓,,分解电压,,2015-05-25
2289682,decontaminant,去污劑,,去污剂,,2015-05-25
2289683,decontaminating agent,去污劑,,去污剂,,2015-05-25
2289684,decontamination,去污[染],,[放射性]去污,,2015-05-25
2289685,decontamination factor,去污染因子,,去污因子,,2015-05-25
2289686,decrepitation,熱爆,,烧爆作用,,2015-05-25
2289687,decyanation,去氰[基]化,,脱氰[基]化,,2015-05-25
2289688,decyanoethylation,去氰乙基化,,脱氰乙基化,,2015-05-25
2289689,deep geological disposal,深地質處置,,[深]地质处置,,2015-05-25
2289690,defect,缺陷,,缺陷,,2015-05-25
2289691,defect cluster,缺陷團簇,,缺陷簇,,2015-05-25
2289692,deflection function,偏差函數,,偏离函数,,2015-05-25
2289693,deformation,變形,,形变,,2015-05-25
2289694,degasser,脫氣裝置,,脱气装置,,2015-05-25
2289695,degeneracy,簡併性；簡併度,,简并[度],,2015-05-25
2289696,degenerated branched chain reaction,縮退化支鏈反應,,退化支链反应,,2015-05-25
2289697,degradable polymer,降解性聚合物,,降解性聚合物,,2015-05-25
2289698,degradation,降解[作用],,降解,,2015-05-25
2289699,degradative chain transfer,降解鏈轉移,,退化链转移,,2015-05-25
2289700,degree of branching,分枝度,,支化度,,2015-05-25
2289701,degree of crosslinking,交聯度,,交联度,,2015-05-25
2289702,degree of crystallinity,結晶度,,结晶度,,2015-05-25
2289703,degree of dissociation,解離度,,解离度,,2015-05-25
2289704,degree of freedom,自由度,,自由度,,2015-05-25
2289705,degree of ionization,游離度,,电离度,,2015-05-25
2289706,degree of orientation,取向度,,取向度,,2015-05-25
2289707,degree of polymerization,聚合度,,聚合度,,2015-05-25
2289708,degree of swelling,潤脹度,,溶胀度,,2015-05-25
2289709,dehalogenation,脫鹵[作用]；去鹵[作用],,脱卤,,2015-05-25
2289710,dehydration,脫水[作用]；去水[作用],,脱水,,2015-05-25
2289711,dehydrogenation,去氫[作用],,脱氢,,2015-05-25
2289712,dehydrohalogenation,去鹵氫[作用]；脫鹵氫[作用],,脱卤化氢,,2015-05-25
2289714,deinsertion,去除插入[反應],,去除插入[反应],,2015-05-25
2289715,deionization,去離子作用,,去离子化,,2015-05-25
2289716,deionized water,去離子水,,去离子水,,2015-05-25
2289717,delayed extraction {= DE},遲延引出,,延迟引出,,2015-05-25
2289718,delayed fluorescence,延遲螢光,,延迟荧光,,2015-05-25
2289719,delayed luminescence,遲延發光,,延迟发光,,2015-05-25
2289720,delayed neutron,遲延中子,,缓发中子,,2015-05-25
2289721,delayed neutron emitter,遲延中子發射體,,缓发中子发射体,,2015-05-25
2289722,delayed neutron precursor,遲延中子前驅核種,,缓发中子前驱核素,,2015-05-25
2289723,deliquescence,潮解,,潮解,,2015-05-25
2289724,delocalized bond,非定域鍵,,离域键,,2015-05-25
2289725,delocalized molecular orbital,非定域分子軌域,,离域分子轨道,,2015-05-25
2289726,demasking,去罩,,解蔽,,2015-05-25
2289727,demethylation,脫甲基[作用]；去甲基[作用],,脱甲基化,,2015-05-25
2289728,demineralization,去礦質[作用],,去矿化,,2015-05-25
2289729,demulsifier,去乳化劑,,破乳剂,,2015-05-25
2289730,demulsifying agent,去乳化劑,,破乳剂,,2015-05-25
2289731,denaturation,變性[作用],,变性作用,,2015-05-25
2289732,dendrimer,樹枝狀聚合物,,树[枝]状聚合物,,2015-05-25
2289733,dendrite,樹枝[狀]晶體,,树枝[状]晶体,,2015-05-25
2289734,dendritic crystal,枝狀晶體；枝晶,,枝晶,,2015-05-25
2289735,dendritic polymer,樹枝狀聚合物,,树[枝]状聚合物,,2015-05-25
2289736,denier,丹尼{化纖單位},,旦[尼尔],,2015-05-25
2289737,density functional theory {= DFT},密度泛函理論,,密度泛函理论,,2015-05-25
2289738,density matrix,密度矩陣,,密度矩阵,,2015-05-25
2289739,density of spectral line,譜線光密度,,谱线黑度,,2015-05-25
2289740,density of state,能量狀態密度,,态密度,,2015-05-25
2289741,density operator,密度算符,,密度算符,,2015-05-25
2289742,deoxygenation,除氧[作用],,脱氧,,2015-05-25
2289743,deoxynucleoside,去氧核苷,,脱氧核苷,,2015-05-25
2289744,deoxynucleotide,去氧核苷酸,,脱氧核苷酸,,2015-05-25
2289745,deoxyribonuclease,去氧[核糖]核酸酶,,脱氧核糖核酸酶,,2015-05-25
2289746,deoxyribonucleic acid,去氧[核糖]核酸,,脱氧核糖核酸,,2015-05-25
2289747,deoxyribonucleic acid hybridization indicator,DNA雜交指示劑,,脱氧核糖核酸杂交指示剂,,2015-05-25
2289748,deoxyribose,去氧核糖,,脱氧核糖,,2015-05-25
2289749,deoxythymidine,[去氧]胸苷,,脱氧胸苷,,2015-05-25
2289750,depleted uranium,耗乏鈾,,贫化铀,,2015-05-25
2289751,depolarization,去極化；消偏光,,解偏振作用,,2015-05-25
2289752,depolarized electrode,去極化電極,,去极化电极,,2015-05-25
2289753,depolarizer,去極劑；消偏光劑,,去极剂,,2015-05-25
2289754,depolymerase,去聚酶,,解聚酶,,2015-05-25
2289755,depolymerization,解聚合[作用],,解聚,,2015-05-25
2289756,deposition potential,沈積電位,,析出电位,,2015-05-25
2289757,deposition precipitation,沉積沉澱,,沉积沉淀,,2015-05-25
2289758,deprotection,去保護,,去保护,,2015-05-25
2289759,deprotonated molecule,去質子化分子,,去质子化分子,,2015-05-25
2289760,depsipeptide,酯肽,,酯肽,,2015-05-25
2289761,DEPT {distortionless enhacement by polarization transfer},無畸變極化轉移增強,,无畸变极化转移增强,,2015-05-25
2289762,depth resolution,深度解析[度],,深度分辨率,,2015-05-25
2289763,deracemisation,去消旋化,,去消旋化,,2015-05-25
2289764,derivative,衍生物,,衍生物,,2015-05-25
2289765,derivative chronopotentiometry,微分計時電位法,,导数计时电位法,,2015-05-25
2289766,derivative curve,微分曲線,,微分曲线,,2015-05-25
2289767,derivative polarography,微分極譜術,,导数极谱法,,2015-05-25
2289768,derivative spectrophotometry,微分分光光度法,,导数分光光度法,,2015-05-25
2289769,derivative spectrum,微分光譜,,导数光谱,,2015-05-25
2289770,derivative synchronous fluorescence,微分同步螢光,,导数同步荧光光谱,,2015-05-25
2289771,derivative synchronous fluorimetry,微分同步螢光分析法,,导数同步荧光分析法,,2015-05-25
2289772,derivative thermogravimetry {= DTG},微分熱重量法,,微商热重法,,2015-05-25
2289773,derivatization room temperature phosphorimetry {= D-RTP},衍生室溫磷光法,,衍生室温磷光法,,2015-05-25
2289774,descending development method,[下]降展[開]法,,下行展开[法],,2015-05-25
2289775,deselenization,脱硒[作用],,脱硒[作用],,2015-05-25
2289776,desferrioxamine,去鐵胺,,去铁敏,,2015-05-25
2289777,deshielding,去遮蔽,,去屏蔽,,2015-05-25
2289778,desiccant,乾燥劑,,干燥剂,,2015-05-25
2289779,desiccator,乾燥器,,干燥器,,2015-05-25
2289780,desolvation,去溶劑化,,去溶剂化,,2015-05-25
2289781,desorption,脫附,,脱附,,2015-05-25
2289782,desorption chemical ionization,脫附化學游離,,解吸化学电离,,2015-05-25
2289783,desorption electron ionization {= DEI},脫附電子游離,,解吸电子电离,,2015-05-25
2289784,desorption ionization {= DI},脫附游離,,解吸电离,,2015-05-25
2289785,destructive detector,破壞性偵檢器,,破坏性检测器,,2015-05-25
2289786,desulfonation,脫磺[酸作用]；去磺[酸作用],,脱磺酸基化,,2015-05-25
2289787,desulfurization,脫硫[作用],,脱硫[作用],,2015-05-25
2289788,desymmetrisation,去對稱化,,去对称化,,2015-05-25
2289789,detection,偵檢,,检出,,2015-05-25
2289790,detection limit,偵測極限,,检出限，检测限,,2015-05-25
2289791,detection period,檢測期,,检测期,,2015-05-25
2289792,detector,偵檢器,,探测器,,2015-05-25
2289793,determination limit,測定限度；測定極限,,测定限,,2015-05-25
2289794,determination of ash,灰分測定,,灰分测定,,2015-05-25
2289795,determination of protein,蛋白質測定,,蛋白质测定,,2015-05-25
2289796,deterministic effect,確定性效應,,确定性效应,,2015-05-25
2289797,detritiation,除氚,,除氚,,2015-05-25
2289798,deuterated solvent,氘代溶劑,,氘代溶剂,,2015-05-25
2289799,deuteration,氘化[作用],,氘化,,2015-05-25
2289800,deuteride,氘化物,,氘化物,,2015-05-25
2289801,deuterium,氘,,氘,,2015-05-25
2289802,deuterium exchange,氘交換,,氘交换,,2015-05-25
2289803,deuterium lamp background correction,氘燈背景校正,,氘灯校正背景,,2015-05-25
2289804,deuteron,氘核,,氘核,,2015-05-25
2289805,developing solvent,展開溶劑,,展开剂,,2015-05-25
2289806,developing tank,展開槽,,展开槽,,2015-05-25
2289807,development,顯影；展開,,展开,,2015-05-25
2289808,deviation,偏差,,偏差,,2015-05-25
2289809,devitrification,失玻化；失透明[現象],,失透,,2015-05-25
2289810,Dewar benzene,杜瓦苯,,杜瓦苯,,2015-05-25
2289811,Dexter electron exchange energy transfer,德克斯特電子交換能量轉移,,德克斯特电子交换能量传递,,2015-05-25
2289812,dextran,聚葡[萄]糖,,葡聚糖,,2015-05-25
2289813,dextrin,糊精,,糊精,,2015-05-25
2289814,dextro isomer,右旋體,,右旋体,,2015-05-25
2289817,diacetylene polymer,聯乙炔聚合物,,二乙炔聚合物,,2015-05-25
2289818,diad,二單元組,,二单元组,,2015-05-25
2289819,diagonal glide plane,對角滑移面,,‘对角’滑移面,,2015-05-25
2289820,diallyl polymer,二烯丙基聚合物,,二烯丙基聚合物,,2015-05-25
2289821,dialysis,滲析；透析,,透析,,2015-05-25
2289822,dialyzer,透析器；透析裝置,,渗析器,,2015-05-25
2289823,diamagnetic,反磁性,,抗磁性,,2015-05-25
2289824,diamagnetic ring current effect,反磁性環電流效應,,抗磁环电流效应,,2015-05-25
2289825,diamagnetic shift,反磁性位移,,抗磁位移,,2015-05-25
2289826,diamagnetism,反磁性,,抗磁性,,2015-05-25
2289827,diamagnetism coordination compound,反磁性配位化合物,,抗磁性配合物,,2015-05-25
2289828,diamond,金剛石；鑽石,,金刚石,,2015-05-25
2289829,dianion,雙負離子,,双负离子,,2015-05-25
2289830,diantipyrylmethane {= DAM},二安替比林[基]甲烷,,二安替比林甲烷,,2015-05-25
2289831,diaphragm pump,隔膜泵,,隔膜泵,,2015-05-25
2289832,diaspore,水鋁石,,水铝石,,2015-05-25
2289833,diastereoisomerisation,非鏡像異構化,,非对映异构化,,2015-05-25
2289834,diastereomer,非鏡像異構物,,非对映[异构]体,,2015-05-25
2289835,diastereomeric excess {= de},非鏡像異構物超越值,,非对映体过量[百分比],,2015-05-25
2289836,diastereomeric ratio {= dr},非鏡像異構物比例,,非对映体比例,,2015-05-25
2289837,diastereoselectivity,非鏡像選擇性,,非对映选择性,,2015-05-25
2289838,diaxial addition,雙軸加成；雙豎鍵加成,,双竖键加成,,2015-05-25
2289839,diazacyclobutadiene,二氮環丁二烯；二吖唉,,二氮杂环丁二烯,,2015-05-25
2289840,diazacycloheptatriene,二氮環庚三烯；二氮呯；二吖呯,,二氮杂环庚三烯,,2015-05-25
2289841,diazenyl radical,二氮烯基自由基,,二氮烯基自由基,,2015-05-25
2289842,diazepine,二氮呯；二吖呯；二氮環庚三烯,,二氮杂环庚三烯,,2015-05-25
2289843,diazete,二吖唉；二氮環丁二烯,,二氮杂环丁二烯,,2015-05-25
2289844,diaziridine,二氮【口元】；二吖【口元】；二氮環丙烷,,二氮杂环丙烷,,2015-05-25
2289845,diazirine,二氮吮；二吖吮；二氮環丙烯,,二氮杂环丙烯,,2015-05-25
2289846,diazo compound,重氮化合物,,重氮化合物,,2015-05-25
2289847,diazoalkane,重氮烷,,重氮烷,,2015-05-25
2289848,diazoamino compound,重氮胺基化合物,,重氮氨基化合物,,2015-05-25
2289849,diazohydroxide,重氮氫氧化物,,重氮氢氧化物,,2015-05-25
2289850,diazonium coupling,重氮陽離子偶合,,重氮偶联,,2015-05-25
2289851,diazonium salt,重氮鹽,,重氮盐,,2015-05-25
2289852,diazotization,重氮化,,重氮化,,2015-05-25
2289853,"dibenzo[b,d]pyrrole","二苯并[b,d]吡咯；咔唑",,"二苯并[b,d]吡咯；咔唑",,2015-05-25
2289854,"dibenzo[b,e]oxazine","二苯并[b,e]【口咢】【口井】；啡【口咢】【口井】",,"二苯并[b,e]噁嗪",,2015-05-25
2289855,"dibenzo[b,e]pyran","二苯并[b,e]哌喃；【口山】【口星】",,"二苯并[b,e]吡喃",,2015-05-25
2289856,"dibenzo[b,e]pyranone","二苯并[b,e]哌喃酮 {9-【口山】酮}",,"二苯并[b,e]吡喃酮",,2015-05-25
2289857,"dibenzo[b,e]pyrazine","二苯并[b,e]哌【口井】；啡【口井】",,"二苯并[b,e]吡嗪，吩嗪",,2015-05-25
2289858,"dibenzo[b,e]pyridine","二苯并[b,e]吡啶；吖啶",,"二苯并[b,e]吡啶；吖啶",,2015-05-25
2289859,"dibenzo[b,e]thiapyranone","二苯并[b,e]噻喃酮",,"二苯并[b,e]噻喃酮",,2015-05-25
2289860,"dibenzo[b,e]thiazine","二苯并[b,e]噻【口井】；啡噻【口井】",,"二苯并[b,e]噻嗪，吩噻嗪",,2015-05-25
2289861,dibenzofuran,二苯并呋喃,,二苯并呋喃,,2015-05-25
2289862,dibenzothiophene,二苯并噻吩,,二苯并噻吩,,2015-05-25
2289863,dication,雙正離子,,双正离子,,2015-05-25
2289864,dichroism,二色性,,二色性,,2015-05-25
2289865,dichromate titration,二鉻酸鹽滴定法,,重铬酸钾滴定法,,2015-05-25
2289867,die swell,模頭膨脹,,出模膨胀,,2015-05-25
2289868,dielectric relaxation,介電弛豫,,介电弛豫,,2015-05-25
2289869,dielectricity,介電性,,介电性,,2015-05-25
2289870,Diels-Alder reaction,狄[耳士]-阿[德爾]反應,,第尔斯-阿尔德反应,,2015-05-25
2289871,diene,二烯,,二烯,,2015-05-25
2289872,diene monomer,二烯單體,,双烯单体,,2015-05-25
2289873,diene polymer,二烯聚合物,,双烯聚合物,,2015-05-25
2289874,diene polymerization,二烯聚合[作用],,双烯[类]聚合,,2015-05-25
2289875,dienophile,親二烯物,,亲双烯体,,2015-05-25
2289876,difference spectrum,示差譜,,示差谱,,2015-05-25
2289877,differential capacitance,微分電容,,微分电容,,2015-05-25
2289878,differential enthalpy of solution,微分溶解焓,,微分溶解焓,,2015-05-25
2289879,differential fiber,差別纖維,,差别纤维,,2015-05-25
2289880,differential pulse polarography,微分脈衝極譜法,,微分脉冲极谱法,,2015-05-25
2289881,differential pulse voltammetry,微分脈衝伏安法,,微分脉冲伏安法,,2015-05-25
2289882,differential reaction cross section,微分反應截面,,微分反应截面,,2015-05-25
2289883,differential reaction-rate kinetic analysis,速差動力學分析法,,速差动力学分析法,,2015-05-25
2289884,differential refractive index detector,示差折射率偵檢器,,示差折光检测器,,2015-05-25
2289885,differential scanning calorimeter curve,微差掃描量熱曲線,,差示扫描量热曲线,,2015-05-25
2289886,differential scanning calorimetry {= DSC},微差掃描熱量法,,差式扫描量热分析法,,2015-05-25
2289887,differential spectrophotometry,微差光譜測定法,,示差分光光度法,,2015-05-25
2289888,differential spectrum,微差光譜,,差谱,,2015-05-25
2289889,differential thermal analysis {= DTA},微差熱分析[法],,差热分析,,2015-05-25
2289890,differential type detector,微分型偵檢器,,微分型检测器,,2015-05-25
2289891,diffraction grating,繞射光柵,,衍射光栅,,2015-05-25
2289892,diffraction grating spectrometer,繞射光柵光譜儀,,衍射光栅光谱仪,,2015-05-25
2289893,diffuse reflectance-Fourier transform infrared technique {= DR-FTIR},漫散反射傅立葉轉換紅外線光譜技術,,漫反射傅里叶变换红外光谱技术,,2015-05-25
2289894,diffuse reflection spectrometry {= DRS},漫散反射光譜法,,漫反射光谱法,,2015-05-25
2289895,diffusion,擴散[作用],,扩散,,2015-05-25
2289896,diffusion barrier,擴散障壁,,扩散膜,,2015-05-25
2289897,diffusion coefficient,擴散係數,,扩散系数,,2015-05-25
2289898,diffusion control,擴散控制,,扩散控制,,2015-05-25
2289899,diffusion controlled reaction,擴散控制反應,,扩散控制反应,,2015-05-25
2289900,diffusion controlled termination,擴散控制終止,,扩散控制终止,,2015-05-25
2289901,diffusion current,擴散電流,,扩散电流,,2015-05-25
