ID,英文名稱,中文名稱,圖片,機關名稱中文,機關名稱英譯,一級單位名稱中文,一級單位名稱英譯,備註,更新日期
1498935,Foreign Affairs Section,外事課,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,南市高東,,,2012-11-26
1498936,Civil Defense Operations Center,民防管制中心,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,南市高東,,,2012-11-26
1498937,Traffic Police Brigade,交通隊,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,高,,,2012-11-26
1498938,Traffic Police Brigade,交通警察隊,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,南市東,,,2012-11-26
1498939,Criminal Investigation Brigade ,刑事警察隊,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,南市東,,,2012-11-26
1498940,Criminal Investigation Brigade ,刑警隊,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,高,,,2012-11-26
1498941,General Affairs Section ,行政課,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,南市高東,,,2012-11-26
1498942,Public Order and Civil Defense  Section,保民課,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,高,,,2012-11-26
1498943,Public Order and Civil Defense  Section,保安民防課,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,南市東,,,2012-11-26
1498944,Special Police Brigade,保安隊,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,高,,,2012-11-26
1498945,Special Police Brigade,保安警察隊,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,南市東,,,2012-11-26
1498946,Public Security Office ,保防室,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,南市高東,,,2012-11-26
1498947,Logistics Section,後勤課,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,南市高東,,,2012-11-26
1498948,Secretariat ,秘書室,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,南市高東,,,2012-11-26
1498949,Training  Section,訓練課,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,南市高東,,,2012-11-26
1498950,Women and Children Protection Brigade,婦幼隊,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,高,,,2012-11-26
1498951,Women and Children Protection Brigade,婦幼警察隊,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,南市,,,2012-11-26
1498952,Mainland Affairs  Section,陸務課,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,南市高東,,,2012-11-26
1498953,Duty Command Center ,勤務指揮中心,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,南市高東,,,2012-11-26
1498954,Accounting Office,會計室,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,南市高東,,,2012-11-26
1498955,Inspectors' Office,督察室,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,南市高東,,,2012-11-26
1498956,Inspectors' Office I,督察室(一),,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,高,,,2012-11-26
1498957,Information Management Office,資訊室,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,南市高東,,,2012-11-26
1498958,Special Assignment Brigade,警備隊,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,高,,,2012-11-26
1498959,First Section,第一組,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,高,,,2012-11-26
1498960,Second Section,第二組,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,高,,,2012-11-26
1498961,Third Section,第三組,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,高,,,2012-11-26
1498962,Fourth Section,第四組,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,高,,,2012-11-26
1498963,Fifth Section,第五組,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,高,,,2012-11-26
1498964,Sixth Section,第六組,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,高,,,2012-11-26
1498965,Seventh Section,第七組,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,高,,,2012-11-26
1498966,,1.___縣警察局___分局,,1.___縣警察局___分局,,,,,2012-12-14
1498967,Police Station,派出所,,1.___縣(市)警察局  2.___縣(市)政府警察局,___ County (City) Police Bureau,東,,,2012-11-26
1498968,Personnel Office,人事科,,1.___縣(市)消防局  2.___縣政府消防局,"Fire Bureau, ___ County (City)",南市高東,,,2012-11-26
1498969,Accounting Office,會計科,,1.___縣(市)消防局  2.___縣政府消防局,"Fire Bureau, ___ County (City)",南市高東,,,2012-11-26
1498970,General Affairs Office,行政科,,1.___縣(市)消防局  2.___縣政府消防局,"Fire Bureau, ___ County (City)",南市高東,,,2012-11-26
1498971,Civil Service Ethics Office,政風科,,1.___縣(市)消防局  2.___縣政府消防局,"Fire Bureau, ___ County (City)",南市高東,,,2012-11-26
1498972,Fire Prevention Section,火災預防科,,1.___縣(市)消防局  2.___縣政府消防局,"Fire Bureau, ___ County (City)",,,,2012-11-26
1498973,Fire Investigation Section,火災調查科,,1.___縣(市)消防局  2.___縣政府消防局,"Fire Bureau, ___ County (City)",南市高東,,,2012-11-26
1498974,Fire and Rescue Planning Section,災害搶救科,,1.___縣(市)消防局  2.___縣政府消防局,"Fire Bureau, ___ County (City)",原公告詞彙為「Emergency and Rescue Section」。惟配合實際職掌業務為火災搶救標準作業程序及救助等之規劃，經6月16日「雙語詞彙翻譯審查小組」修改英譯為「Fire and Rescue Planning Section」。,,,2012-11-26
1498975,Disaster Prevention Section,災害預防科,,1.___縣(市)消防局  2.___縣政府消防局,"Fire Bureau, ___ County (City)",南市高東,,,2012-11-26
1498976,Training and Education Section,教育訓練科,,1.___縣(市)消防局  2.___縣政府消防局,"Fire Bureau, ___ County (City)",南市東,,,2012-11-26
1498977,Emergency Medical Service Section,緊急救護科,,1.___縣(市)消防局  2.___縣政府消防局,"Fire Bureau, ___ County (City)",原公告詞彙為「Emergency and Rescue Section」，因內政部消防署「緊急救護組」英譯為Emergency Medical Service Division，經97.4.23雙語詞彙審查小組同意參照修改英譯為Emergency Medical Service Section。,,,2012-11-26
1498978,Emergency and Rescue Command Center,救災救護指揮中心,,1.___縣(市)消防局  2.___縣政府消防局,"Fire Bureau, ___ County (City)",南市高東,,,2012-11-26
1498979,___ Branch,___分隊,,1.___縣(市)消防局  2.___縣政府消防局,"Fire Bureau, ___ County (City)",高,,,2012-11-26
1498980,Personnel Office,人事科,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",南市高,,,2012-11-26
1498981,Personnel Officer,人事管理員,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",東,,,2012-11-26
1498982,General Affairs Office,行政科,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",南市高,,,2012-11-26
1498983,Civil Service Ethics Office,政風科,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",南市高,,,2012-11-26
1498984,Secretariat,秘書室,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",高,,,2012-11-26
1498985,Accounting Office,會計室,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",南市高東,,,2012-11-26
1498986,Legal Affairs Office,法制室,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",高,,,2012-11-26
1498987,Water Pollution Control Section,水污染防治科,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",,,,2012-11-26
1498988,Water Quality and Soil Conservation Section,水質土壤防治科,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",南市,,,2012-11-26
1498989,Waste Treatment Section,垃圾處理科,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",南市,,,2012-11-26
1498990,Air and Noise Pollution Control Section,空氣噪音防制科,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",南市,,,2012-11-26
1498991,Planning Section,綜合計畫科,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",,,,2012-11-26
1498992,Waste Management Section,廢棄物管理科,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",南市,,,2012-11-26
1498993,Environmental Management Section,環境管理科,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",南市,,,2012-11-26
1498994,Environmental Inspection Section,環境檢驗科,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",南市,,,2012-11-26
1498995,First Section,第一科,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",高東,,,2012-11-26
1498996,Second Section,第二科,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",高東,,,2012-11-26
1498997,Third Section,第三科,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",高東,,,2012-11-26
1498998,Fourth Section,第四科,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",高東,,,2012-11-26
1498999,Fifth Section,第五科,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",高,,,2012-11-26
1499000,Sixth Section,第六科,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",高,,,2012-11-26
1499001,"Environmental Protection Bureau, ___ County (City)",Object,,Object,"Environmental Protection Bureau, ___ County (City)",1.南市,,,2012-12-14
1499002,Inspection Team,稽查隊,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",,,,2012-11-26
1499003,Incineration Liaison Office,焚化廠連絡處,,___縣(市)環境保護局,"Environmental Protection Bureau, ___ County (City)",高,,,2012-11-26
1499004,Air Pollution Control Fund Management Board,空污基金委員會,,臺中市環保局,"Environmental Protection Bureau, Taichung City",,,,2012-11-26
1499005,"Public Nuisance Arbitration Committee, Taichung City",臺中市政府公害糾紛調解委員會,,臺中市環保局,"Environmental Protection Bureau, Taichung City",,,,2012-11-26
1499006,Personnel Office,人事科,,1.___縣(市)衛生局  2.___縣政府衛生局,"Public Health Bureau, ___ County (City)",南市高東,,,2012-11-26
1499007,Civil Service Ethics Office,政風科,,1.___縣(市)衛生局  2.___縣政府衛生局,"Public Health Bureau, ___ County (City)",南市高東,,,2012-11-26
1499008,Accounting Office,會計科,,1.___縣(市)衛生局  2.___縣政府衛生局,"Public Health Bureau, ___ County (City)",南市高東,,,2012-11-26
1499009,General Affairs Office,總務科,,1.___縣(市)衛生局  2.___縣政府衛生局,"Public Health Bureau, ___ County (City)",南市高東,,,2012-11-26
1499010,Planning Section,企劃科,,1.___縣(市)衛生局  2.___縣政府衛生局,"Public Health Bureau, ___ County (City)",南市高,,,2012-11-26
1499011,Health Promotion Section,保健科,,1.___縣(市)衛生局  2.___縣政府衛生局,"Public Health Bureau, ___ County (City)",南市高東,,,2012-11-26
1499012,Food Safety Section,食品衛生科,,1.___縣(市)衛生局  2.___縣政府衛生局,"Public Health Bureau, ___ County (City)",1.南市高 2.食品衛生處Dept. of Food Safety,,,2012-11-26
1499013,Food Safety Section,食品科,,1.___縣(市)衛生局  2.___縣政府衛生局,"Public Health Bureau, ___ County (City)",東,,,2012-11-26
1499014,Disease Control Section,疾病管制科,,1.___縣(市)衛生局  2.___縣政府衛生局,"Public Health Bureau, ___ County (City)",南市高東,,,2012-11-26
1499015,Laboratory Section,檢驗科,,1.___縣(市)衛生局  2.___縣政府衛生局,"Public Health Bureau, ___ County (City)",1.南市高東 2.檢驗室Laboratory / Testing Room / Inspection Room,,,2012-11-26
1499016,Medical Affairs Section,醫政科,,1.___縣(市)衛生局  2.___縣政府衛生局,"Public Health Bureau, ___ County (City)",1.南市高東 2.醫政處Dept. of Medical Affairs,,,2012-11-26
1499017,Pharmaceutical Affairs Section,藥政科,,1.___縣(市)衛生局  2.___縣政府衛生局,"Public Health Bureau, ___ County (City)",1.南市高東 2.藥政處Dept. of Pharmaceutical Affairs,,,2012-11-26
1499018,Pharmaceutical and Food Safety Section,藥物食品衛生科,,1.___縣(市)衛生局  2.___縣政府衛生局,"Public Health Bureau, ___ County (City)",,,,2012-11-26
1499019,Health and Disease Prevention Section,保健防疫科,,1.___縣(市)衛生局  2.___縣政府衛生局,"Public Health Bureau, ___ County (City)",,,,2012-11-26
1499020,___ Township Public Health Center,___鄉衛生所,,1.___縣(市)衛生局  2.___縣政府衛生局,"Public Health Bureau, ___ County (City)",東,,,2012-11-26
1499021,___ District Public Health Center,___區衛生所,,___市衛生局,"Public Health Bureau, ___ City",南市,,,2012-11-26
1499022,Health Inspection Team,衛生稽查大隊,,衛生局,Public Health Bureau,,,,2012-11-26
1499023,"___ District Household Registration Office, ___ City",___市___區戶政事務所,,___市___區戶政事務所,"___ District Household Registration Office, ___ City",1.南市,,,2012-12-14
1499024,Second Section,第二股,,___市___區戶政事務所,"___ District Household Registration Office, ___ City",南市,,,2012-11-26
1499025,Third Section,第三股,,___市___區戶政事務所,"___ District Household Registration Office, ___ City",南市,,,2012-11-26
1499026,Registration Section,登記股,,"___縣___鄉(鎮,市)戶政事務所","___ Township  (Town,Borough)  Household Registration Office, ___ County",高東,,,2012-11-26
1499027,General Affairs Section,行政股,,"<p>___縣___鄉(鎮,市)戶政事務所</p>","<p>___ Township (Town,Borough) Household Registration Office, ___ County</p>",<p>高東</p>,,,2012-11-26
1499028,Service Section,服務組,,殯葬管理所,"Mortuary Services Office, ___ County (City)",南市,,,2012-11-26
1499029,General Affairs Section,總務組,,殯葬管理所,"Mortuary Services Office, ___ County (City)",南市,,,2012-11-26
1499030,Public Cemetery Section,公墓組,,殯葬管理所,"Mortuary Services Office, ___ County (City)",,,,2012-11-26
1499031,Personnel Office,人事室,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.23雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499032,Land Tax Section,土地稅科,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.23雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499033,Business Tax Section,工商稅科,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499034,General Affairs Office,行政室,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499035,House Tax Section,房屋稅科,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499036,Civil Service Ethics Office,政風室,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499037,Consumption Tax Section,消費稅科,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.31雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499038,Secretariat,秘書室,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499039,Public Services Section,納稅服務科,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499040,Property Tax Section,財產稅科,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499041,Land Value Section,地價稅科,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499042,Arrears Settlement Section,欠稅管理科,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499043,Enforcement and Refund Section,稅務管理科,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499044,Accounting Office,會計室,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499045,Information Management Section,資訊科,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499046,Information Management Section,資訊管理科,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499047,"Local Tax Bureau, ___ County (City)",1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-12-14
1499048,Review Section,複核科,,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,"Local Tax Bureau, ___ County (City)",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499049,Accounting Unit,經費會計,,桃園縣政府地方稅務局,"Local Tax Bureau, Taoyun County",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499050,Statistics Unit,徵課統計,,桃園縣政府地方稅務局,"Local Tax Bureau, Taoyun County",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499051,"Local Tax Bureau, _____ City",_____市政府地方稅務局,,_____市政府地方稅務局,"Local Tax Bureau, _____ City",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-12-14
1499052,Annan  Branch,安南分處,,臺南市稅務局,"Local Tax Bureau, Tainan City",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499053,Jinhu Branch,金湖稽徵處,,金門縣稅捐稽徵處,"Local Tax Bureau, Kinmen County",因地方制度法及地方行政機關組織準則96年修正，縣市政府所屬一級機關改稱「局」，經97.4.24雙語詞彙翻譯審查小組考量明確表達「地方稅」及名稱一致性，縣市稅務機關如「稅務局」、「地方稅務局」、「稅捐稽徵局」等英譯均修正為Local Tax Bureau。,,,2012-11-26
1499054,General Affairs Section,總務組,,___市立體育場,___ Municipal Stadium,南市,,,2012-11-26
1499055,Events Section,活動組,,___市立體育場,___ Municipal Stadium,南市,,,2012-11-26
1499056,___ County Stadium,___縣立體育場,,___縣立體育場,___ County Stadium,東,,,2012-12-14
1499057,Water Plant,自來水廠,,自來水廠,Water Plant,,,,2012-12-14
1499058,Procurement Office,物資處,,物資處,Procurement Office,,,,2012-12-14
1499059,Production Section,生產課,,花崗石廠,"Granite Works, Kinmen County",,,,2012-11-26
1499060,General Affairs Section,行政課,,花崗石廠,"Granite Works, Kinmen County",,,,2012-11-26
1499061,"Recreational Farm, Agricultural Research Center, Kinmen County",金門縣農業試驗所附設示範休閒農場,,農業試驗所,Agricultural Research Center,,,,2012-11-26
1499062,Extension Section,農業推廣課,,農業試驗所,Agricultural Research Center,,,,2012-11-26
1499063,Research Section,農業研究課,,農業試驗所,Agricultural Research Center,,,,2012-11-26
1499064,General Affairs Section,行政管理課,,農業試驗所,Agricultural Research Center,,,,2012-11-26
1499065,Livestock Health Inspection and Quarantine Section,家畜防疫課,,___縣(市)動物防疫所,"Animal Disease Control Center, ___ County (City)",南市,,,2012-11-26
1499066,Animal Inspection Section,動物檢診課,,___縣(市)動物防疫所,"Animal Disease Control Center, ___ County (City)",南市,,,2012-11-26
1499067,Pet Control Section,寵物管理課,,___縣(市)動物防疫所,"Animal Disease Control Center, ___ County (City)",南市,,,2012-11-26
1499068,First Section,第一課,,___縣(市)動物防疫所,"Animal Disease Control Center, ___ County (City)",東,,,2012-11-26
1499069,Second Section,第二課,,___縣(市)動物防疫所,"Animal Disease Control Center, ___ County (City)",東,,,2012-11-26
1499070,Third Section,第三課,,___縣(市)動物防疫所,"Animal Disease Control Center, ___ County (City)",東,,,2012-11-26
1499071,Fourth Section,第四課,,___縣(市)動物防疫所,"Animal Disease Control Center, ___ County (City)",東,,,2012-11-26
1499072,Pigs and Poultry Section,豬禽防疫課,,彰化縣動物防疫所,"Animal Disease Control Center, Changhua County",,,,2012-11-26
1499073,Herbivores Section,草食防疫課,,彰化縣動物防疫所,"Animal Disease Control Center, Changhua County",,,,2012-11-26
1499074,Disease Inspection Section,疫病檢驗課,,彰化縣動物防疫所,"Animal Disease Control Center, Changhua County",,,,2012-11-26
1499075,Veterinary Pharmaceutical Section,獸醫藥政課,,彰化縣動物防疫所,"Animal Disease Control Center, Changhua County",,,,2012-11-26
1499076,Disease Prevention Section,防疫股,,南投縣家畜疾病防治所,"Animal Disease Control Center, Nantou County",,,,2012-11-26
1499077,Animal Inspection Section,檢診股,,南投縣家畜疾病防治所,"Animal Disease Control Center, Nantou County",,,,2012-11-26
1499078,Hygiene Section,衛生股,,南投縣家畜疾病防治所,"Animal Disease Control Center, Nantou County",,,,2012-11-26
1499079,Nantou County Animal Shelter,公立南投動物收容所,,南投縣家畜疾病防治所,"Animal Disease Control Center, Nantou County",,,,2012-11-26
1499080,Pigs and Poultry Section,中小動物保健課,,台南市家畜疾病防治所,"Animal Disease Control Center, Tainan City",,,,2012-11-26
1499081,Animal Inspection Section,動物病性鑑定課,,台南市家畜疾病防治所,"Animal Disease Control Center, Tainan City",,,,2012-11-26
1499082,Herbivores Section,草食動物保健課,,台南市家畜疾病防治所,"Animal Disease Control Center, Tainan City",,,,2012-11-26
1499083,Aquatic AnimalsSection,水產動物保健課,,台南市家畜疾病防治所,"Animal Disease Control Center, Tainan City",,,,2012-11-26
1499084,Disease Prevention Section,獸醫公共衛生課,,台南市家畜疾病防治所,"Animal Disease Control Center, Tainan City",,,,2012-11-26
1499085,Animal Protection Section,動物保護課,,台南市家畜疾病防治所,"Animal Disease Control Center, Tainan City",,,,2012-11-26
1499086,General Affairs Office,行政室,,台南市家畜疾病防治所,"Animal Disease Control Center, Tainan City",,,,2012-11-26
1499087,Animal Protection Section,保護股,,花蓮縣動物防疫所,"Animal Disease Control Center, Hualien County",,,,2012-11-26
1499088,Animal Inspection Section,鑑定股,,花蓮縣動物防疫所,"Animal Disease Control Center, Hualien County",,,,2012-11-26
