ID,英文名稱,中文名稱,圖片,作曲家,更新日期
3192941,Roberto Devereux,羅貝托德弗勒,,"Donizetti, Gaetano",2017-07-28
3192942,La zingara,吉普賽女郎,,"Donizetti, Gaetano",2017-07-28
3192943,Rusalka,魯莎卡,,"Dvořák, Antonín",2017-07-28
3192944,El Retablo de Maese Pedro,貝得羅師傅的傀儡戲,,"Falla, Manuel de",2017-07-28
3192945,La vida breve,短促的人生,,"Falla, Manuel de",2017-07-28
3192946,Martha,瑪塔,,"Flotow, Friedrich von",2017-07-28
3192947,Stradella,斯特拉台拉,,"Flotow, Friedrich von",2017-07-28
3192948,Le naufrage de la Méduse,美杜莎號歷險記,,"Flotow, Friedrich von",2017-07-28
3192949,Porgy and Bess,波吉與貝絲,,"Gershwin, George",2017-07-28
3192950,Andrea Chénier,安德雷亞˙謝涅,,"Giordano, Umberto",2017-07-28
3192951,Fedora,費朵拉,,"Giordano, Umberto",2017-07-28
3192952,Marina (1888),水手,,"Giordano, Umberto",2017-07-28
3192953,Mala Vita,惡運,,"Giordano, Umberto",2017-07-28
3192954,Regina Diaz,迪阿茲女皇,,"Giordano, Umberto",2017-07-28
3192955,Marcella,馬切拉,,"Giordano, Umberto",2017-07-28
3192956,Madame Sans-Gêne,桑珍夫人,,"Giordano, Umberto",2017-07-28
3192957,Giove a Pompei,喬維在龐貝,,"Giordano, Umberto",2017-07-28
3192958,Il re,國王,,"Giordano, Umberto",2017-07-28
3192959,La festa del Nilo (incomplete),尼羅河慶典,,"Giordano, Umberto",2017-07-28
3192960,Ivan Sussanin,伊凡˙蘇沙寧,,"Glinka, Mikhail Ivanovitch",2017-07-28
3192961,Orfeo ed Euridice,奧菲歐和尤麗蒂切,,"Gluck, Christoph Willibald von",2017-07-28
3192962,Artaserse,雅塔賽瑟,,"Gluck, Christoph Willibald von",2017-07-28
3192963,Il re pastore,牧羊人之王,,"Gluck, Christoph Willibald von",2017-07-28
3192964,Alceste (Italian),阿切斯特,,"Gluck, Christoph Willibald von",2017-07-28
3192965,Paride ed Elena,帕里德和艾蕾娜,,"Gluck, Christoph Willibald von",2017-07-28
3192966,Iphigénie en Aulide,伊菲傑妮在歐利德,,"Gluck, Christoph Willibald von",2017-07-28
3192967,Orphée et Euridice (French),奧菲歐和尤麗蒂切,,"Gluck, Christoph Willibald von",2017-07-28
3192968,Armide,阿米德,,"Gluck, Christoph Willibald von",2017-07-28
3192969,Iphigénie en Tauride,伊菲傑妮在托里德,,"Gluck, Christoph Willibald von",2017-07-28
3192970,Faust,浮士德,,"Gounod, Charles Francois",2017-07-28
3192971,Roméo et Juliette,羅密歐和茱麗葉,,"Gounod, Charles Francois",2017-07-28
3192972,Alcina,阿契娜,,"Händel, Georg Friedrich",2017-07-28
3192973,Ariodante,阿里歐丹特,,"Händel, Georg Friedrich",2017-07-28
3192974,Julius Caesar,凱撒大帝,,"Händel, Georg Friedrich",2017-07-28
3192975,Daphne (Die verwandelte Daphne),達夫內,,"Händel, Georg Friedrich",2017-07-28
3192976,Agrippina,阿格莉皮娜,,"Händel, Georg Friedrich",2017-07-28
3192977,Rinaldo,李納多,,"Händel, Georg Friedrich",2017-07-28
3192978,Teseo,提賽歐,,"Händel, Georg Friedrich",2017-07-28
3192979,Radamisto,拉達密斯托,,"Händel, Georg Friedrich",2017-07-28
3192980,Ottone,歐托內,,"Händel, Georg Friedrich",2017-07-28
3192981,Flavio,弗拉維歐,,"Händel, Georg Friedrich",2017-07-28
3192982,Giulio Cesare,凱薩大帝,,"Händel, Georg Friedrich",2017-07-28
3192983,Tamerlano,塔梅蘭諾,,"Händel, Georg Friedrich",2017-07-28
3192984,Rodelinda,羅德琳達,,"Händel, Georg Friedrich",2017-07-28
3192985,Riccardo Primo,李卡多一世,,"Händel, Georg Friedrich",2017-07-28
3192986,Partenope,帕滕諾珮,,"Händel, Georg Friedrich",2017-07-28
3192987,Poro,波羅王,,"Händel, Georg Friedrich",2017-07-28
3192988,Ezio,艾奇歐,,"Händel, Georg Friedrich",2017-07-28
3192989,Orlando,歐蘭多,,"Händel, Georg Friedrich",2017-07-28
3192990,Ariodante,阿里歐丹特,,"Händel, Georg Friedrich",2017-07-28
3192991,Atalanta,阿塔蘭塔,,"Händel, Georg Friedrich",2017-07-28
3192992,Giustino,朱斯提諾,,"Händel, Georg Friedrich",2017-07-28
3192993,Berenice,貝蕾妮切,,"Händel, Georg Friedrich",2017-07-28
3192994,Faramondo,法拉蒙多,,"Händel, Georg Friedrich",2017-07-28
3192995,Serse,賽瑟王,,"Händel, Georg Friedrich",2017-07-28
3192996,Acis and Galatea,阿西斯和加拉蒂亞,,"Händel, Georg Friedrich",2017-07-28
3192997,Il Mondo della Luna,月的世界,,"Haydn, Franz Joseph",2017-07-28
3192998,La Fedeltà Premiata,善有善報,,"Haydn, Franz Joseph",2017-07-28
3192999,Lo Speziale,藥劑師,,"Haydn, Franz Joseph",2017-07-28
3193000,Acide e Galatea,阿西德和加拉蒂亞,,"Haydn, Franz Joseph",2017-07-28
3193001,L'Infedeltá delusa,不忠實的謊言,,"Haydn, Franz Joseph",2017-07-28
3193002,L'Incontro improvviso,不期而遇,,"Haydn, Franz Joseph",2017-07-28
3193003,Orlando Paladino,歐蘭多帕拉迪諾,,"Haydn, Franz Joseph",2017-07-28
3193004,Armida,阿米達,,"Haydn, Franz Joseph",2017-07-28
3193005,L'Anima del Filosofo - Orfeo ed Euridice,奧菲歐和尤麗蒂切-哲學家的靈魂,,"Haydn, Franz Joseph",2017-07-28
3193006,Boulevard Solitude,孤寂大道,,"Henze, Hans Werner",2017-07-28
3193007,Elegie für junge Liebende,情侶悲歌,,"Henze, Hans Werner",2017-07-28
3193008,Jeanne d'Arc au Bûcher,火刑台上的貞德,,"Honegger, Arthur",2017-07-28
3193009,Hänsel und Gretel,韓賽兒與葛麗特,,"Humperdinck, Engelbert",2017-07-28
3193010,Jenůfa,顏如花,,"Janáček, Leoš",2017-07-28
3193011,Katya Kabanová（Kat'a Kabanová）,卡嘉˙卡芭諾娃,,"Janáček, Leoš",2017-07-28
3193012,Příhody Lišky Bystrousky,狡猾的母狐狸,,"Janáček, Leoš",2017-07-28
3193013,Věc Makropulos,馬克羅普洛斯事件,,"Janáček, Leoš",2017-07-28
3193014,Z mrtvého domu,死屋,,"Janáček, Leoš",2017-07-28
3193015,"Osud, ""Destiny""",命運,,"Janáček, Leoš",2017-07-28
3193016,"Výlety páně Broučkovy, ""The Excursions of Mr. Broucek"",",布魯切克先生歷險記,,"Janáček, Leoš",2017-07-28
3193017,Eine Nacht in Venedig,威尼斯之夜,,Johann Strauss,2017-07-28
3193018,Háry János,哈利˙雅諾斯,,"Kodály, Zoltán",2017-07-28
3193019,Székelyfonó (The Spinning Room),紡織房,,"Kodály, Zoltán",2017-07-28
3193020,Das Land des Lächelns,微笑王國,,"Lehár, Franz",2017-07-28
3193021,Die lustige Witwe,風流寡婦,,"Lehár, Franz",2017-07-28
3193022,Kukuška,小布穀鳥,,"Lehár, Franz",2017-07-28
3193023,"Arabella, der Kubanerin",古巴女郎阿拉貝拉,,"Lehár, Franz",2017-07-28
3193024,Der Klavierstimmer (Wiener Frauen),鋼琴調音師,,"Lehár, Franz",2017-07-28
3193025,Der Schlüssel zum Paradies (revised version of Der Klavierstimmer),天堂之鑰,,"Lehár, Franz",2017-07-28
3193026,Rosenstock und Edelweiss,玫瑰花束與小白花,,"Lehár, Franz",2017-07-28
3193027,Die ideale Gattin (revised version of Der Göttergatte),天賜良妻,,"Lehár, Franz",2017-07-28
3193028,Der Sterngucker,觀星者,,"Lehár, Franz",2017-07-28
3193029,"Where the Lark Sings (Hungarian: A pacsirta, German: Wo die Lerche singt)",雲雀歌唱之處,,"Lehár, Franz",2017-07-28
3193030,Frühling,春天,,"Lehár, Franz",2017-07-28
3193031,Pagliacci,丑角,,"Leoncavallo, Ruggiero",2017-07-28
3193032,La bohème,藝術家的生涯,,"Leoncavallo, Ruggiero",2017-07-28
3193033,Zazà,札札,,"Leoncavallo, Ruggiero",2017-07-28
3193034,Zingari,吉普賽人,,"Leoncavallo, Ruggiero",2017-07-28
3193035,Zar und Zimmermann,沙皇與木匠,,"Lortzing, Gustav",2017-07-28
3193036,Cavalleria Rusticana,鄉村騎士,,"Mascagni, Pietro",2017-07-28
3193037,L'amico Fritz,友人弗立茲,,"Mascagni, Pietro",2017-07-28
3193038,Iris,伊莉絲,,"Mascagni, Pietro",2017-07-28
3193039,Le maschere,面具,,"Mascagni, Pietro",2017-07-28
3193040,Don Quichotte,唐˙吉訶德,,"Massenet, Jules",2017-07-28
3193041,La Navarraise,納瓦拉姑娘,,"Massenet, Jules",2017-07-28
3193042,Manon,瑪儂,,"Massenet, Jules",2017-07-28
3193043,Thais,泰伊絲,,"Massenet, Jules",2017-07-28
3193044,Werther,維特,,"Massenet, Jules",2017-07-28
3193045,Hérodiade; rev. as: Erodiade,艾羅迪雅德,,"Massenet, Jules",2017-07-28
3193046,Le Cid,席德,,"Massenet, Jules",2017-07-28
3193047,Esclarmonde,艾絲克拉蒙德,,"Massenet, Jules",2017-07-28
3193048,Sapho,莎芙,,"Massenet, Jules",2017-07-28
3193049,Cendrillon,灰姑娘,,"Massenet, Jules",2017-07-28
3193050,Grisélidis,格里賽莉蒂,,"Massenet, Jules",2017-07-28
3193051,Le jongleur de Notre-Dame,聖母院雜耍人,,"Massenet, Jules",2017-07-28
3193052,Chérubin,謝呂班,,"Massenet, Jules",2017-07-28
3193053,Amahl and the Night Visitors,阿瑪與夜訪者,,"Menotti, Gian Carlo",2017-07-28
3193054,Amelia al Ballo,阿梅麗亞赴舞會,,"Menotti, Gian Carlo",2017-07-28
3193055,The Consul,領事,,"Menotti, Gian Carlo",2017-07-28
3193056,The Medium,靈媒,,"Menotti, Gian Carlo",2017-07-28
3193057,The Telephone,電話,,"Menotti, Gian Carlo",2017-07-28
3193058,"The Old Maid and the Thief, radio opera (1939)",老處女與小偷,,"Menotti, Gian Carlo",2017-07-28
3193059,The Island God (1942),島神,,"Menotti, Gian Carlo",2017-07-28
3193060,The Saint of Bleecker Street (1954),布利克街的聖人,,"Menotti, Gian Carlo",2017-07-28
3193061,Maria Golovin (1958),瑪莉亞葛洛文,,"Menotti, Gian Carlo",2017-07-28
3193062,"Labyrinth, television opera (1963)",迷宮,,"Menotti, Gian Carlo",2017-07-28
3193063,The Last Savage (1963),最後的野人,,"Menotti, Gian Carlo",2017-07-28
3193064,Martin's Lie (1964),馬丁的謊言,,"Menotti, Gian Carlo",2017-07-28
3193065,"Help, Help, the Globolinks! (1968)",救命，救命，天外人！,,"Menotti, Gian Carlo",2017-07-28
3193066,The Most Important Man (1971),最重要的人,,"Menotti, Gian Carlo",2017-07-28
3193067,Tamu-Tamu (1973),塔姆-塔姆,,"Menotti, Gian Carlo",2017-07-28
3193068,The Egg (1976),蛋,,"Menotti, Gian Carlo",2017-07-28
3193069,The Hero (1976),英雄,,"Menotti, Gian Carlo",2017-07-28
3193070,The Trial of the Gypsy (1978),吉普賽的審判,,"Menotti, Gian Carlo",2017-07-28
3193071,La loca (1979),狂人,,"Menotti, Gian Carlo",2017-07-28
3193072,A Bride from Pluto (1982),來自冥府的新娘,,"Menotti, Gian Carlo",2017-07-28
3193073,The Boy Who Grew Too Fast (1982),成長太快的男孩,,"Menotti, Gian Carlo",2017-07-28
3193074,Goya (1986),戈雅,,"Menotti, Gian Carlo",2017-07-28
3193075,The Wedding (Giorno da Nozze) (1988),婚禮,,"Menotti, Gian Carlo",2017-07-28
3193076,The Singing Child (1993),歌唱的孩子,,"Menotti, Gian Carlo",2017-07-28
3193077,Les Huguenots,胡格諾教徒,,"Meyerbeer, Giacomo",2017-07-28
3193078,Robert le diable,惡魔羅伯,,"Meyerbeer, Giacomo",2017-07-28
3193079,Le Prophète,先知,,"Meyerbeer, Giacomo",2017-07-28
3193080,L'Africaine,非洲女郎,,"Meyerbeer, Giacomo",2017-07-28
3193081,l'étoile du nord,北方之星,,"Meyerbeer, Giacomo",2017-07-28
3193082,"Dinorah (1859, Opera Comique)",迪諾拉,,"Meyerbeer, Giacomo",2017-07-28
3193083,L'Incoronazione di Poppea,波佩亞的加冕,,"Monteverdi, Claudio",2017-07-28
3193084,Orfeo,奧菲歐,,"Monteverdi, Claudio",2017-07-28
3193085,"L'Arianna,",阿里安娜,,"Monteverdi, Claudio",2017-07-28
3193086,"Il ritorno d'Ulisse in patria,",烏利賽返鄉,,"Monteverdi, Claudio",2017-07-28
3193087,Bastien und Bastienne,巴斯汀和巴斯汀娜｛可愛的牧羊女｝,,"Mozart, Wolfgang Amadeus",2017-07-28
3193088,Così fan tutte,女人皆如此,,"Mozart, Wolfgang Amadeus",2017-07-28
3193089,Der Schauspieldirektor,劇院經理,,"Mozart, Wolfgang Amadeus",2017-07-28
3193090,Die Entführung aus dem Serail,後宮誘逃,,"Mozart, Wolfgang Amadeus",2017-07-28
3193091,Die Zauberflöte,魔笛,,"Mozart, Wolfgang Amadeus",2017-07-28
3193092,Don Giovanni,唐˙喬望尼,,"Mozart, Wolfgang Amadeus",2017-07-28
3193093,Idomeneo,伊多梅尼歐,,"Mozart, Wolfgang Amadeus",2017-07-28
3193094,La Clemeza di Tito,狄托王的仁慈,,"Mozart, Wolfgang Amadeus",2017-07-28
3193095,La finta giardiniera,偽裝女園丁,,"Mozart, Wolfgang Amadeus",2017-07-28
3193096,Le nozze di Figaro,費加洛婚禮,,"Mozart, Wolfgang Amadeus",2017-07-28
3193097,"Mitridate, rè di Ponto",彭特王米特里達特,,"Mozart, Wolfgang Amadeus",2017-07-28
3193098,Zaide,柴德,,"Mozart, Wolfgang Amadeus",2017-07-28
3193099,Die Schuldigkeit des ersten Gebots Part I,第一戒律的罪愆,,"Mozart, Wolfgang Amadeus",2017-07-28
3193100,Apollo et Hyacinthus,阿波羅與雅辛托斯,,"Mozart, Wolfgang Amadeus",2017-07-28
3193101,La finta semplice,單純的偽裝,,"Mozart, Wolfgang Amadeus",2017-07-28
3193102,Ascanio in Alba,阿爾巴的阿斯卡尼歐,,"Mozart, Wolfgang Amadeus",2017-07-28
3193103,Il sogno di Scipione,西皮歐內的夢,,"Mozart, Wolfgang Amadeus",2017-07-28
3193104,Lucio Silla,盧奇歐席拉,,"Mozart, Wolfgang Amadeus",2017-07-28
3193105,La finta giardiniera,冒牌女園丁,,"Mozart, Wolfgang Amadeus",2017-07-28
3193106,"Thamos, König in Ägypten",埃及王塔莫斯,,"Mozart, Wolfgang Amadeus",2017-07-28
3193107,L'oca del Cairo,開羅的鵝,,"Mozart, Wolfgang Amadeus",2017-07-28
3193108,Lo sposo deluso,受騙的丈夫,,"Mozart, Wolfgang Amadeus",2017-07-28
3193109,Boris Godounov,鮑利斯˙戈多諾夫,,"Musorgsky, Modest Petrovich",2017-07-28
3193110,Khovanshchina,賀萬席奇納,,"Musorgsky, Modest Petrovich",2017-07-28
3193111,Die lustigen Weiber von Windsor,溫莎的俏娘兒們,,"Nicolai, Carl Otto",2017-07-28
3193112,La figlia abbandonata,被遺棄的女兒,,"Nicolai, Carl otto",2017-07-28
3193113,Rosmonda d'Inghilterra,英格蘭的羅斯蒙達,,"Nicolai, Carl otto",2017-07-28
3193114,Il templario,聖殿,,"Nicolai, Carl otto",2017-07-28
3193115,Gildippe ed Odoardo,吉蒂珮和愛德華,,"Nicolai, Carl otto",2017-07-28
3193116,Il proscritto,被放逐者,,"Nicolai, Carl otto",2017-07-28
3193117,Die Heimkehr des Verbannten (revision of Il proscritto),被放逐者,,"Nicolai, Carl otto",2017-07-28
3193118,Der Tempelritter (revision of Il templario),聖殿,,"Nicolai, Carl otto",2017-07-28
3193119,Les Contes d'Hoffmann,霍夫曼的故事,,"Offenbach, Jacques",2017-07-28
3193120,Orphée aux Enfers,天堂與地獄,,"Offenbach, Jacques",2017-07-28
3193121,Les deux aveugles,兩個盲人,,"Offenbach, Jacques",2017-07-28
3193123,Mesdames de la Halle,哈勒的女士,,"Offenbach, Jacques",2017-07-28
3193124,Orpheus in the Underworld,天堂與地獄,,"Offenbach, Jacques",2017-07-28
3193125,Jacqueline,賈桂琳,,"Offenbach, Jacques",2017-07-28
3193126,Il signor Fagotto,不修邊幅的男士,,"Offenbach, Jacques",2017-07-28
3193127,La belle Hélène,傾城佳人 (美麗的海倫),,"Offenbach, Jacques",2017-07-28
3193128,Les bergers,牧羊人,,"Offenbach, Jacques",2017-07-28
3193129,Barbe-bleue,藍鬍子,,"Offenbach, Jacques",2017-07-28
3193130,La vie parisienne,巴黎生活,,"Offenbach, Jacques",2017-07-28
3193131,La Grande-Duchesse de Gérolstein,熱羅斯坦公爵夫人,,"Offenbach, Jacques",2017-07-28
3193132,Robinson Crusoé,魯賓遜漂流記,,"Offenbach, Jacques",2017-07-28
3193133,La Périchole,貝莉秀勒,,"Offenbach, Jacques",2017-07-28
3193134,Les brigands,群盜,,"Offenbach, Jacques",2017-07-28
3193135,Madame Favart,法瓦爾夫人,,"Offenbach, Jacques",2017-07-28
3193136,Der Mond,月亮,,"Orff, Carl",2017-07-28
3193137,Die Kluge,伶俐姑娘,,"Orff, Carl",2017-07-28
3193138,Il Barbiere di Siviglia,塞維里亞的理髮師,,"Paisiello, Giovanni",2017-07-28
3193139,Socrate immaginario,想像中的蘇格拉底,,"Paisiello, Giovanni",2017-07-28
3193140,Achille in Sciro,在希羅的阿基雷,,"Paisiello, Giovanni",2017-07-28
3193141,L'amor contrastato,不合身分的戀愛(又名磨坊女郎),,"Paisiello, Giovanni",2017-07-28
3193142,Catone in Utica,在尤悌卡的卡托內,,"Paisiello, Giovanni",2017-07-28
3193143,"Nina, o sia La pazza per amore",尼娜，噢！為愛瘋狂,,"Paisiello, Giovanni",2017-07-28
3193144,I zingari in fiera,市集裡的吉普賽人,,"Paisiello, Giovanni",2017-07-28
3193145,La molinara,磨坊女郎(又名不合身分的戀愛),,"Paisiello, Giovanni",2017-07-28
3193146,La Serva Padrona,管家女僕,,"Pergolesi, Giovanni Battista",2017-07-28
3193147,"Il prigionier superbo,",自豪的囚犯,,"Pergolesi, Giovanni Battista",2017-07-28
3193148,Palestrina,帕勒斯特利納,,"Pfitzner, Hans",2017-07-28
3193149,Der arme Heinrich,可憐的海因利希,,"Pfitzner, Hans",2017-07-28
3193150,Die Rose vom Liebesgarten,愛情花園的玫瑰,,"Pfitzner, Hans",2017-07-28
3193151,Das Christ-Elflein,克利斯艾芙蘭,,"Pfitzner, Hans",2017-07-28
3193152,Das Herz,心,,"Pfitzner, Hans",2017-07-28
3193153,La Gioconda,喬空達,,"Ponchielli, Amilcare",2017-07-28
3193154,Les Mamelles de Tirésias,提雷西亞斯的乳房,,"Poulenc, Francis",2017-07-28
3193155,Lyubov'k trem apel'sinam（The Love for Three Oranges）,三個橘子之戀,,"Prokofiev,  Sergei Sergeyevich",2017-07-28
3193156,Voina i Mir（War and Peace）,戰爭與和平,,"Prokofiev,  Sergei Sergeyevich",2017-07-28
3193157,Gianni Schicchi,強尼˙史基基,,"Puccini, Giacomo",2017-07-28
3193158,Il Tabarro,外套,,"Puccini, Giacomo",2017-07-28
3193159,La Bohème,藝術家的生涯,,"Puccini, Giacomo",2017-07-28
3193160,La Fanciulla del West,西部姑娘,,"Puccini, Giacomo",2017-07-28
3193161,La Rondine,燕子,,"Puccini, Giacomo",2017-07-28
3193162,Madama Butterfly,蝴蝶夫人,,"Puccini, Giacomo",2017-07-28
3193163,Manon Lescaut,瑪儂˙雷斯可,,"Puccini, Giacomo",2017-07-28
3193164,Suor Angelica,安潔莉卡修女,,"Puccini, Giacomo",2017-07-28
3193165,Tosca,托斯卡,,"Puccini, Giacomo",2017-07-28
3193166,Turandot,杜蘭朵公主,,"Puccini, Giacomo",2017-07-28
3193167,Le Villi,群妖圍舞,,"Puccini, Giacomo",2017-07-28
3193168,Edgar,愛德嘉,,"Puccini, Giacomo",2017-07-28
3193169,Il trittico,三連劇,,"Puccini, Giacomo",2017-07-28
3193170,Dido and Aeneas,戴多和艾尼亞斯,,"Purcell, Henry",2017-07-28
3193171,Aleko,阿列科,,"Rachmaninoff, Sergey Vassilievitch",2017-07-28
3193172,L'Enfant et les Sortilèges,頑童與魔法,,"Ravel, Maurice",2017-07-28
3193173,L'Heure Espagnole,西班牙時間,,"Ravel, Maurice",2017-07-28
3193174,Arabella,阿拉貝拉,,Richard Strauss,2017-07-28
3193175,Ariadne auf Naxos,納索斯島的阿麗亞德妮,,Richard Strauss,2017-07-28
3193176,Capriccio,隨想曲,,Richard Strauss,2017-07-28
3193177,Der Rosenkavalier,玫瑰騎士,,Richard Strauss,2017-07-28
3193178,Die Frau ohne Schatten,沒有影子的女人,,Richard Strauss,2017-07-28
3193179,Die schweigsame Frau,沉默的女人,,Richard Strauss,2017-07-28
3193180,Elektra,艾蕾克特拉,,Richard Strauss,2017-07-28
3193181,Salome,莎樂美,,Richard Strauss,2017-07-28
3193182,Sadko,薩德科,,"Rimsky-Korsakov, Nicolai Andreievitch",2017-07-28
3193183,Tsarskaya Nevesta,沙皇的新娘,,"Rimsky-Korsakov, Nicolai Andreievitch",2017-07-28
3193184,Zolotoi Petushok,金雞,,"Rimsky-Korsakov, Nicolai Andreievitch",2017-07-28
3193185,The Student Prince,學生王子,,"Romborg, Sigmund",2017-07-28
3193186,"Elisabetta, Regina d'Inghilterra",英國女王伊麗莎白,,"Rossini, Gioacchino",2017-07-28
