ID,英文名稱,中文名稱,圖片,更新日期
21078943,dump truck,自卸卡車；翻斗車,,2022-09-29
21078944,dump tube,傾卸管,,2022-09-29
21078945,dump valve,傾卸閥；放泄閥；切斷閥,,2022-09-29
21078946,dumper truck,傾卸車,,2022-09-29
21078947,dumping,傾卸,,2022-09-29
21078948,dumping controlled,傾卸控制,,2022-09-29
21078949,dumping ground,堆置場；垃圾傾倒場,,2022-09-29
21078950,dumping of the load,傾卸負載,,2022-09-29
21078951,dunnage air bag,貨墊氣囊,,2022-09-29
21078952,Dunoyer cell,杜諾也電池,,2022-09-29
21078953,duo,雙的；二重的,,2022-09-29
21078954,duobinary system,雙二進制系統,,2022-09-29
21078955,duocentric motor,同心雙轉子電動機,,2022-09-29
21078956,duodecimal,十二進位,,2022-09-29
21078957,duodecimal number,十二進數,,2022-09-29
21078958,duodecimal numeral,十二進數,,2022-09-29
21078959,duodirectional relay,雙向電驛,,2022-09-29
21078960,duo-display mobile phone,雙螢幕行動電話,,2022-09-29
21078961,duolateral coil,蜂房線圈,,2022-09-29
21078962,"duolateral coil, honeycomb coil",蜂房線圈,,2022-09-29
21078963,duolateral winding,蜂巢繞組；雙邊繞組,,2022-09-29
21078964,Duolite,離子交換樹脂,,2022-09-29
21078965,duo sol refining process,雙溶劑精煉法,,
21078966,duosynchronous motor,轉樞式同步電動機,,2022-09-29
21078967,duotricemary notation,三十二進制記數法,,2022-09-29
21078968,dupe (duplicate),加倍；重復；欺騙愚弄,,2022-09-29
21078969,duplet,偶電子；粒子對；雙線,,2022-09-29
21078970,duplex,雙工；雙倍器；倍增器；雙工制,,2022-09-29
21078971,duplex apparatus,雙工機件,,2022-09-29
21078972,duplex balance,雙工平衡；雙方向平衡,,2022-09-29
21078973,duplex bridge,雙工電橋,,2022-09-29
21078974,duplex cable,雙股電纜,,2022-09-29
21078975,duplex channel,雙波道；雙工通道,,2022-09-29
21078976,duplex cipher,雙工密碼,,2022-09-29
21078977,duplex circuit,雙工電路,,2022-09-29
21078978,duplex communication,雙工通信,,2022-09-29
21078979,duplex communication device,雙工通信裝置,,2022-09-29
21078980,duplex computer,雙工計算機,,2022-09-29
21078981,duplex conductor,雙導體,,2022-09-29
21078982,duplex control system,雙工控制系統,,2022-09-29
21078983,duplex data communication,雙向資料通訊,,2022-09-29
21078984,duplex dial,雙工撥號盤,,2022-09-29
21078985,duplex diode,雙二極體,,2022-09-29
21078986,duplex feedback,雙重回饋；關聯反饋,,2022-09-29
21078987,duplex feeding,雙端饋電；雙路饋電,,2022-09-29
21078988,duplex fiber optic,雙工光纖,,2022-09-29
21078989,duplex frog leg winding,雙蛙腳繞組,,2022-09-29
21078990,duplex lap winding,雙疊繞組,,2022-09-29
21078991,duplex luminaire,雙向照射器,,2022-09-29
21078992,duplex measurement,複合測量,,2022-09-29
21078993,duplex operation,雙工運行；雙工操作,,2022-09-29
21078994,duplex outlet,雙線座,,2022-09-29
21078995,duplex pentode,雙五極管,,2022-09-29
21078996,duplex power feed type motor,雙饋電式電動機,,2022-09-29
21078997,duplex radio,雙工無線電,,2022-09-29
21078998,duplex radio communication,雙工無線通信,,2022-09-29
21078999,duplex receptacle,雙插座,,2022-09-29
21079000,duplex repeater,雙工轉發器,,2022-09-29
21079001,duplex signalling,雙工收發,,2022-09-29
21079002,Duplex stainless steel,雙相不銹鋼,,2022-09-29
21079003,duplex star connection,雙星形聯接；雙星形接法,,2022-09-29
21079004,duplex steel structure,雙重鋼構,,2022-09-29
21079005,duplex system,雙工制,,2022-09-29
21079006,duplex telegraph,雙工電報,,2022-09-29
21079007,duplex telephone,雙工電話,,2022-09-29
21079008,duplex telephony,雙工電話學,,2022-09-29
21079009,duplex triode,雙三極管,,2022-09-29
21079010,duplex tube,雙工管；雙管,,2022-09-29
21079011,duplex wave winding,雙波繞組,,2022-09-29
21079012,duplex winding,雙向繞組；雙分繞組；雙重繞組,,2022-09-29
21079013,duplexalite luminaire,雙向照射器,,2022-09-29
