ID,英文名稱,中文名稱,圖片,組別,審定日期,更新日期
19461867,stretcher,順砌,,,,2022-07-15
19461868,stretcher bond,錯縫順磚式砌合 ,,,,2022-07-15
19461869,stretcher-rod of a switch,尖軌控制桿,,,,2022-07-15
19461870,strike,支承釋放；走向{地質},,,,2022-07-15
19461871,strike line,走向線,,,,2022-07-15
19461872,strikeoff,刮平,,,,2022-07-15
19461873,strike-slipe fault,平移斷層,,,,2022-07-15
19461874,striking,支承釋放,,,,2022-07-15
19461875,string course,腰線,,,,2022-07-15
19461876,string polygon,索線多邊形,,,,2022-07-15
19461877,stringer,小梁,,,,2022-07-15
19461878,stringing mortar,展鋪砂漿,,,,2022-07-15
19461879,strip,拆模；條狀物,,,,2022-07-15
19461880,strip camera,航帶攝影機,,,,2022-07-15
19461881,strip footing,條形基腳；帶狀基脚,,,,2022-07-15
19461882,strip foundation,條形基礎；帶狀基礎,,,,2022-07-15
19461883,strip irrigation,帶灌,,,,2022-07-15
19461884,strip method for slab,版帶狀法,,,,2022-07-15
19461885,strip zoning,帶狀分區,,都計組,,2022-07-15
19461886,stripper,除漆劑,,,,2022-07-15
19461887,stripping,拆模；剝洗,,,,2022-07-15
19461888,strong axis,強軸,,,,2022-07-15
19461889,strong connection,彈性接頭{強接頭},,,,2022-07-15
19461890,strong head current,強逆流,,,,2022-07-15
19461891,strongback,背撐；背撐材；定位板,,綱結構名詞-銲接與AISC,,2022-07-15
19461892,struck capacity,裝載容量{採礦},,,,2022-07-15
19461893,structural aluminum,結構用鋁材,,營管組,,2022-07-15
19461894,structural analysis,結構分析,,,,2022-07-15
19461895,structural bond,結構黏結{圬工}；結構鍵；結構鍵結,,綱結構名詞,,2022-07-15
19461896,structural capacity,結構強度,,,,2022-07-15
19461897,structural concrete,結構混凝土,,,,2022-07-15
19461898,structural design,結構設計,,營管組,,2022-07-15
19461899,structural design document,結構設計文件,,,,2022-07-15
19461900,structural diaphragm,結構橫膈版{混凝土}；結構橫膈板{其他},,,,2022-07-15
19461901,structural drawing,結構圖,,,,2022-07-15
19461902,structural end-point,試驗指標,,,,2022-07-15
19461903,structural index,結構指數,,材料_FRP,,2022-07-15
19461904,structural integrity,結構完整性,,,,2022-07-15
19461905,structural lightweight aggregate,結構用輕質粒料,,,,2022-07-15
19461906,structural lightweight concrete,結構用輕質混凝土,,,,2022-07-15
19461907,structural linguistics,結構語言學,,,,2022-07-15
19461908,structural load test,結構載重試驗,,,,2022-07-15
19461909,structural mechanics,結構力學,,,,2022-07-15
19461910,structural member,結構構材,,,,2022-07-15
19461911,structural number,結構指數,,,,2022-07-15
19461912,structural overlay,結構鋪面；結構加鋪,,綱結構名詞LRFD,,2022-07-15
19461913,structural pavement,結構性鋪面,,,,2022-07-15
19461914,structural plastic shape,結構用塑膠成型品,,營管組,,2022-07-15
19461915,structural repair,結構修補,,,,2022-07-15
19461916,structural rigidity,結構剛度,,,,2022-07-15
19461917,structural sandwich construction,夾層結構施工,,,,2022-07-15
19461918,structural stability,結構穩定,,,,2022-07-15
19461919,structural steel,結構鋼,,綱結構名詞LRFD,,2022-07-15
19461920,structural steelwork,鋼構施作,,,,2022-07-15
19461921,structural sub-material,結構用副材料,,材料_FRP,,2022-07-15
19461922,structural system,結構系統,,,,2022-07-15
19461923,structural timber,結構用木材,,,,2022-07-15
19461924,structural truss,結構桁架,,,,2022-07-15
19461925,structural wall,結構牆,,,,2022-07-15
19461927,structural wood panel,結構木鑲板；結構木嵌板,,營管組,,2022-07-15
19461928,"structural, electrical and mechanical/combined service drawing (SEM/CSD)",土[建]機電圖,,,,2022-07-15
19461929,structuralism,結構主義,,,,2022-07-15
19461930,structure,結構,,,,2022-07-15
19461931,structure backfill,構造物回填,,營管組,,2022-07-15
19461932,structure excavation,構造物開挖,,營管組,,2022-07-15
19461933,structure gauge,構造物界限；建物界限,,,,2022-07-15
19461934,structure grounding,構造物接地,,營管組,,2022-07-15
19461935,structure moving,構造物遷移,,營管組,,2022-07-15
19461936,structured light,結構光,,測量組,,2022-07-15
19461937,structured program,結構化程式,,,,2022-07-15
19461938,structured query language (SQL),結構化查詢語言,,,,2022-07-15
19461939,strut,模板支撐；短撐,,,,2022-07-15
19461940,strut axial force,支撐軸力,,,,2022-07-15
19461941,strut-and-tie model,壓拉桿模式,,,,2022-07-15
19461942,struting,撑架,,,,2022-07-15
19461943,strutted beam bridge,斜撐梁橋,,,,2022-07-15
19461944,strutting,支撐,,,,2022-07-15
19461945,stub abutment,矮橋台；矮墩式橋台,,綱結構名詞LRFD,,2022-07-15
19461946,stub column,短柱,,,,2022-07-15
19461947,stub station,端末車站,,,,2022-07-15
19461948,stub track,止衝擋線；止衝擋軌道,,,,2022-07-15
19461949,stub type station,端末式車站,,,,2022-07-15
19461950,stub wall,踢腳牆,,,,2022-07-15
19461951,stucco,灰泥,,,,2022-07-15
19461952,stud,剪力釘；模板墊,,綱結構名詞LRFD,,2022-07-15
19461953,student commuter,通勤學生,,,,2022-07-15
19461954,stupa,窣堵坡；佛塔,,,,2022-07-15
19461955,stylobate,台基,,,,2022-07-15
19461956,styrene content,苯乙烯含量,,材料_FRP,,2022-07-15
19461957,styrene gas,苯乙烯氣體,,材料_FRP,,2022-07-15
19461958,styrene monomer,苯乙烯單體,,材料_FRP,,2022-07-15
19461959,sub,分包商；協力廠商,,營管組,,2022-07-15
19461960,subaqueous concrete,水中澆置混凝土,,,,2022-07-15
19461961,subassemblage,次構架；部分構架,,,,2022-07-15
19461962,sub-ballast,底層道碴,,,,2022-07-15
19461963,subbase,基層,,,,2022-07-15
19461964,subbase course,次底層；基層{道路},,,,2022-07-15
19461965,subbase course drainage,基層排水,,,,2022-07-15
19461966,subbase course material,次底層材料,,,,2022-07-15
19461967,subbase friction,基層摩擦,,,,2022-07-15
19461968,subcontract,分包契約,,,,2022-07-15
19461969,subcontractor,分包商,,營管組,,2022-07-15
19461970,subcontractor delay,分包商延誤,,營管組,,2022-07-15
19461971,subcritical flow,亞臨界流,,,,2022-07-15
19461972,subdivisional construction plan,分項施工計畫,,營管組,,2022-07-15
19461973,subgrade,路基,,,,2022-07-15
19461974,subgrade material,基層材料,,,,2022-07-15
19461975,subgrade modulus,路基反力模數,,,,2022-07-15
19461976,subgrade preparation,路基整理,,營管組,,2022-07-15
19461977,subgrade reaction,路基反力,,,,2022-07-15
19461978,subgrade resilient modulus,路基回彈模數,,,,2022-07-15
19461979,subject matter expert (SME),領域專家,,營管組,,2022-07-15
19461980,sublet,分包,,營管組,,2022-07-15
19461981,sublimation,昇華,,,,2022-07-15
19461982,sublunar point,月下點,,,,2022-07-15
19461983,submarine bell buoy,水下鐘形浮標,,,,2022-07-15
19461984,submarine blasting,水下爆炸,,,,2022-07-15
19461985,submarine canyon,海底峽谷,,,,2022-07-15
19461986,submarine core drill,水下岩心鑽鑿,,,,2022-07-15
19461987,submarine obstacle,水下障礙物,,,,2022-07-15
19461988,submarine pipe line,水下管線,,,,2022-07-15
19461989,sub-matrix,子矩陣；次矩陣,,,,2022-07-15
19461990,submeander,次級蜿蜒,,,,2022-07-15
19461991,submerge shield tunnel excavation,潛盾法隧道開挖,,營管組,,2022-07-15
19461992,submerged breakwater,水下防波堤,,,,2022-07-15
19461993,submerged crib,潛框{保護進水口},,,,2022-07-15
19461994,submerged flow diversion work,潛式分水工程,,,,2022-07-15
19461995,submerged groyne,潛式丁壩,,,,2022-07-15
19461996,submerged land,淹水地,,,,2022-07-15
19461997,submerged mixing aerator,沉水式攪拌曝氣機,,營管組,,2022-07-15
19461998,submerged rock,伏礁,,,,2022-07-15
19461999,submerged sewage pump,沉水式污水泵,,營管組,,2022-07-15
19462000,submerged spillway,潛式溢洪道,,,,2022-07-15
19462001,submerged-melt welding,水下熔銲,,,,2022-07-15
19462002,submergence,氾濫；淹水,,,,2022-07-15
19462003,submersible pump,潛式抽水機,,,,2022-07-15
19462004,submission and approval,送審及核定,,營管組,,2022-07-15
19462005,submittal procedure,資料送審程序,,營管組,,2022-07-15
19462006,subordinate load,附屬載重,,,,2022-07-15
19462007,subpermafrost water,凍土底水；永凍下水,,,,2022-07-15
19462008,subphase,子階段,,營管組,,2022-07-15
19462009,subproject,子專案,,營管組,,2022-07-15
19462010,subpurlin,次桁條；子桁條,,,,2022-07-15
19462011,subregion,次區域,,,,2022-07-15
19462012,subregional center,次區域中心,,,,2022-07-15
19462013,subroutine,副程式,,,,2022-07-15
19462014,subsample,子樣品；子樣本,,,,2022-07-15
19462015,subsidence tank,沈澱池,,,,2022-07-15
19462016,subsidence velocity,沉落速度,,,,2022-07-15
19462017,subsidiary business,附屬事業,,,,2022-07-15
19462018,subsidiary main track,次幹線,,,,2022-07-15
19462019,subsidiary road,輔助道路,,,,2022-07-15
19462020,subsidiary signal,從屬號誌,,,,2022-07-15
19462021,subsidiary street,輔助街道,,,,2022-07-15
19462022,subsiding basin,沈澱池,,,,2022-07-15
19462023,subsieve fraction,過45μm篩料,,,,2022-07-15
19462024,subsoil water,下層土壤水；潛流水,,,,2022-07-15
19462025,subsonic speed,次音速[率],,,,2022-07-15
19462026,substantial completion,實質完工,,營管組,,2022-07-15
19462027,substantial completion date,實質完工日期,,營管組,,2022-07-15
19462028,substation,變電站,,,,2022-07-15
19462029,substitute block system,代用閉塞式,,,,2022-07-15
