ID,英文名稱,中文名稱,圖片,中國大陸譯名,作曲家,作曲家臺灣譯名,作曲家中國大陸譯名,臺灣分類,中國大陸分類,更新日期
3539247,"Consecration of the House, The",獻給劇院,,献给剧院,"Beethoven, Ludwig van",貝多芬,贝多芬,管弦樂曲,管弦乐曲,2018-05-30
3539248,Consolations,安慰曲,,安慰曲,"Liszt, Franz(Ferenc)",李斯特,李斯特,鍵盤樂曲,键盘乐曲,2018-05-30
3539249,Contrasts,對比,,对比,"Bartók, Béla",巴爾托克,巴托克,室內樂曲,室内乐曲,2018-05-30
3539250,Coppélia,柯貝利亞,,库蓓莉亚,"Delibes, Leo",德利伯,德利伯,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539251,"Corelli, Variations on a Theme of",柯雷里主題變奏曲,,科雷利主题变奏曲,"Rachmaninoff, Sergey",拉赫瑪尼諾夫,拉赫玛尼诺夫,鍵盤樂曲,键盘乐曲,2018-05-30
3539252,Coriolan,柯里奧蘭,,科里奥兰,"Beethoven, Ludwig van",貝多芬,贝多芬,管絃樂曲,管弦乐曲,2018-05-30
3539253,Coronation Concerto,加冕協奏曲,,加冕协奏曲,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,室內樂曲,室内乐曲,2018-05-30
3539254,Coronation Mass,加冕彌撒,,加冕弥撒,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,聲樂曲,声乐曲,2018-05-30
3539255,"Corps glorieux, Les",榮耀的聖體,,享天福的圣身,"Messiaen, Olivier",梅湘,梅西安,器樂曲,器乐曲,2018-05-30
3539256,"Corregidor, Der",市長,,市长,"Wolf, Hugo","沃爾夫,胡果",沃尔夫,歌劇,歌剧,2018-05-30
3539257,"Corsaro, Il",海盜,,海盗,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2018-05-30
3539258,Cortèges,送葬行列,,送葬行列,"Rawsthorne, Alan",勞梭恩,罗斯索恩,管絃樂曲,管弦乐曲,2018-05-30
3539259,Cosi fan tutte,女人皆如此,,女人心,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,歌劇,歌剧,2018-05-30
3539260,"Count of Luxemburg, The",盧森堡伯爵,,卢森堡伯爵,"Lehár, Franz",雷哈爾,列哈尔,歌劇(輕歌劇),歌剧(轻歌剧),2018-05-30
3539261,Cox and Box,考克斯與伯克斯,,考克斯与博克斯,"Sullivan, Arthur",薩利文,萨利文,歌劇(輕歌劇),歌剧(轻歌剧),2018-05-30
3539262,"Creation dumonde, La",世界之創造,,世界之创造,"Milhaud, Darius",米堯,米约,管絃樂曲,管弦乐曲,2018-05-30
3539263,Credo,信經,,信经,"Verdi, Giuseppe",威爾第,威尔第,聲樂曲,声乐曲,2018-05-30
3539264,Crown Imperial,至尊的皇冠,,至尊的皇冠,"Walton, William",華爾頓,沃尔顿,管弦樂曲,管弦乐曲,2018-05-30
3539265,"Crown of India,The",印度皇冠,,印度皇冠,"Elgar, Edward",艾爾加,埃尔加,管絃樂曲,管弦乐曲,2018-05-30
3539266,"Csárdásfürstin, Die",查爾達斯公主,,查尔达什公主,"Kalman, Emmerich",卡爾曼,卡尔曼,歌劇(輕歌劇),歌剧(轻歌剧),2018-05-30
3539267,"Cunning Little Vixen, The",狡猾的小狐狸,,狡猾的小狐狸,"Janáček, Leoš",雅納捷克,亚纳切克,歌劇,歌剧,2018-05-30
3539268,Curlew River,鷸河,,麻鹬河,"Britten, Benjamin",布瑞頓,布里顿,歌劇,歌剧,2018-05-30
3539269,"Curlew, The",鹬,,麻鹬,"Warlock, Peter",沃洛克,瓦洛克,室內樂曲,室内乐曲,2018-05-30
3539270,Dalibor,達利波,,达利波,"Smetana, Bedrich",斯梅塔納,斯美塔那,歌劇,歌剧,2018-05-30
3539271,"Damnation de Faust, La",浮士德的天譴,,浮士德的天谴,"Berlioz, Hector",白遼士,柏辽兹,聲樂曲,声乐曲,2018-05-30
3539272,Dance before the Golden Calf,金牛犢前的舞蹈,,金牛犊前的舞蹈,"Schönberg(Schoenberg), Arnold",荀貝格,勋伯格,管絃樂曲,管弦乐曲,2018-05-30
3539273,Dance Rhapsody,舞蹈狂想曲,,舞蹈狂想曲,"Delius, Frederick",戴里厄斯,戴留斯,管絃樂曲,管弦乐曲,2018-05-30
3539274,Dance Suite,舞蹈組曲,,舞蹈组曲,"Bartók, Béla",巴爾托克,巴托克,管絃樂曲,管弦乐曲,2018-05-30
3539275,Dances of Galanta,加蘭塔舞曲,,加兰特舞曲,"Kodály, Zoltán",柯大宜,科达伊,管絃樂曲,管弦乐曲,2018-05-30
3539276,Danse Macabre,死之舞,,死之舞,"Saint-Saëns, Camille",聖桑斯,圣-桑,管絃樂曲,管弦乐曲,2018-05-30
3539277,Dante Symphony,但丁交響曲,,但丁交响曲,"Liszt, Franz(Ferenc)",李斯特,李斯特,交響曲,交响曲,2018-05-30
3539278,Daphne,達芙尼,,达夫妮,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,歌劇,歌剧,2018-05-30
3539279,Daphne (Die verwandelte Daphne),達夫內,,达芙妮,"Händel, Georg Friedrich",韓德爾,亨德尔,歌劇,歌剧,2018-05-30
3539280,Daphnis et Chloé,達夫妮絲與克洛埃,,达夫尼斯与克洛埃,"Ravel, Maurice","拉威爾,摩利斯",拉威尔,管絃樂曲,管弦乐曲,2018-05-30
3539281,Dardanus,達爾達奴斯,,达尔达诺斯,"Rameau, Jean-Philippe",拉莫,拉莫,歌劇,歌剧,2018-05-30
3539282,Das Land des Lächelns,微笑王國,,微笑王国,"Lehár, Franz",雷哈爾,列哈尔,歌劇(輕歌劇),歌剧(轻歌剧),2018-05-30
3539283,Das musikalische Opfer,音樂的奉獻,,音乐的奉献,"Bach, Johann Sebastian",巴赫（J.S),巴赫（J.S),管絃樂曲,管弦乐曲,2018-05-30
3539284,David,大衛王,,大卫,"Milhaud, Darius",米堯,米约,歌劇,歌剧,2018-05-30
3539285,Dead March in Saul,掃羅的死亡進行曲,,扫罗的死亡进行曲,Handel George Friedrich,韓德爾,亨德尔,聲樂曲,声乐曲,2018-05-30
3539286,Death in Venice,魂斷威尼斯,,魂断威尼斯,"Britten, Benjamin",布瑞頓,布里顿,歌劇,歌剧,2018-05-30
3539287,"Death of Klinghoffer, The",克林霍弗之死,,克林霍弗之死,"Adams, John",亞當斯,亚当斯,歌劇,歌剧,2018-05-30
3539288,"Death of Moses, The",摩西之死,,摩西之死,"Goehr, Alexander","哥爾,亞力山大",亚历山大·戈尔,聲樂曲,声乐曲,2018-05-30
3539289,Decoration Day,紀念日,,纪念日,"Ives, Charles",艾夫士,艾夫斯,管絃樂曲,管弦乐曲,2018-05-30
3539290,Deidamia,戴達米亞,,戴达米亚,Handel George Friedrich,韓德爾,亨德尔,歌劇,歌剧,2018-05-30
3539291,Demetrio e Polibio,德美特利歐和波利畢歐,,德梅特里奥与波利比奥,"Rossini, Gioachino (Antonio)",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3539292,Der Schauspieldirektor,劇院經理,,剧院经理,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,歌劇,歌剧,2018-05-30
3539293,Des Knaben Wunderhorn,少年魔號,,少年魔号,"Mahler, Gustav","馬勒,古斯塔夫",马勒,聲樂曲,声乐曲,2018-05-30
3539294,Dettingen Te Deum and Anthem,德廷根頌歌,,德廷根感恩赞和赞美歌,Handel George Friedrich,韓德爾,亨德尔,聲樂曲,声乐曲,2018-05-30
3539295,Deutsche Motette,德意志經文歌,,德意志经文歌,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,聲樂曲,声乐曲,2018-05-30
3539296,Deutschland über Alles,德意志至上,,德意志至上,"Haydn, Franz Joseph",海頓,海顿,聲樂曲,声乐曲,2018-05-30
3539297,"Deux Journées, Les",兩天,,两天,"Cherubini, Luigi",凱魯碧尼,凯鲁比尼,歌劇,歌剧,2018-05-30
3539298,"Devin du village, Le",鄉村占卜師,,乡村占卜师,"Rousseau,Jean-Jacques",羅梭,卢梭,歌劇,歌剧,2018-05-30
3539299,Diabelli Variations,迪亞貝里變奏曲,,迪亚贝利变奏曲,"Beethoven, Ludwig van",貝多芬,贝多芬,鍵盤樂曲,键盘乐曲,2018-05-30
3539300,"Dialogues des Carmélites, Les",斷頭台上的修女,,加尔默罗会修女的对话,"Poulenc, Francis",浦朗克,普朗克,歌劇,歌剧,2018-05-30
3539301,Dichter und Bauder,詩人與農夫,,诗人与农夫,"Suppé, Franz von",蘇佩,苏佩,管弦樂曲,管弦乐曲,2018-05-30
3539302,Dichterliebe,詩人之戀,,诗人之恋,"Schumann, Robert",舒曼,舒曼,聲樂曲,声乐曲,2018-05-30
3539303,Dido and Aeneas,戴多和艾尼亞斯,,狄朵与埃涅阿斯,"Purcell, Henry",珀瑟爾,珀塞尔,歌劇,歌剧,2018-05-30
3539304,Die Fledermaus,蝙蝠,,蝙蝠,"Strauss Jr., Johann(II)","史特勞斯二世,約翰",小约翰·施特劳斯,歌劇,歌剧,2018-05-30
3539305,Die ideale Gattin (revised version of Der Göttergatte),天賜良妻,,天赐良妻,"Lehár, Franz",雷哈爾,列哈尔,歌劇(輕歌劇),歌剧(轻歌剧),2018-05-30
3539306,Die Jahreszeit-en,四季,,四季,"ydn, Franz Joseph",海頓,约瑟夫·海顿/格拉祖诺夫,聲樂曲,声乐曲,2018-05-30
3539307,Die Kluge,伶俐姑娘,,聪明人,"Orff, Carl",,奥尔夫,歌劇,歌剧,2018-05-30
3539308,Die lustige Witwe,風流寡婦,,风流寡妇,"Lehár, Franz",雷哈爾,列哈尔,歌劇(輕歌劇),歌剧(轻歌剧),2018-05-30
3539309,Die Meistersinger von Nürnberg,鈕倫寶的名歌手,,纽伦堡的名歌手,"Wagner, Richard","華格納,理查",瓦格纳,歌劇,歌剧,2018-05-30
3539310,Die schöne Müllerin,美麗的磨坊少女,,美丽的磨坊女,"Schubert, Franz",舒伯特,舒伯特,聲樂曲,声乐曲,2018-05-30
3539311,Die Schöpfung,創世紀,,创世纪,"Haydn, Franz Joseph",海頓,海顿,聲樂曲,声乐曲,2018-05-30
3539312,Die‘ Kunst der Fuge,復格的藝術,,赋格的艺术,"Bach, Johann Sebastian",巴赫（J.S),巴赫（J.S.）,鍵盤樂曲,键盘乐曲,2018-05-30
3539313,"Dinorah (1859, Opera Comique)",迪諾拉,,狄诺拉,"Meyerbeer, Giacomo",梅耶貝爾,梅耶贝尔,歌劇,歌剧,2018-05-30
3539314,Dioclesian,迪奧克萊西恩,,迪奥克莱西恩,"Purcell, Henry",珀瑟爾,珀塞尔,歌劇,歌剧,2018-05-30
3539315,Dirge for Two Veterans,兩個老兵的悼歌,,两个老兵的悼歌,"Horst, Louis",霍斯特,霍尔斯特/沃恩·威廉斯,聲樂曲,声乐曲,2018-05-30
3539316,Dissonanzen Quartett,不協和四重奏,,不协和四重奏,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,室內樂曲,室内乐曲,2018-05-30
3539317,"Dives and Lazarus, 5 Variants of",富人與窮人的5首變奏曲,,富人与穷人变奏曲5首,"Vaughan Williams, Ralph",沃恩威廉斯,沃恩·威廉斯,室內樂曲,室内乐曲,2018-05-30
3539318,"Divine Poem, The",神聖之詩,,神圣之诗,"Scriabin(Skriabin), Alexander",斯克里亞賓,斯克里亚宾,交響曲,交响曲,2018-05-30
3539319,Djamileh,迪亞米雷,,贾米莱,"Bizet, Georges",比才,比才,歌劇,歌剧,2018-05-30
3539320,"Docteur Miracle, Le",奇蹟博士,,奇迹博士,"Bizet, Georges",比才,比才,歌劇(輕歌劇),歌剧(轻歌剧),2018-05-30
3539321,Dolly,洋娃娃,,洋娃娃,"Fauré, Gabriel",佛瑞,福雷,鍵盤樂曲,键盘乐曲,2018-05-30
3539322,Don Carlos,唐·卡羅,,唐·卡洛斯,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2021-03-16
3539323,Don Giovanni,唐˙喬望尼,,唐·乔凡尼,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,歌劇,歌剧,2018-05-30
3539324,Don Juan,唐橫,,唐·璜,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,管弦樂曲,管弦乐曲,2018-05-30
3539325,Don Pasquale,唐˙巴斯瓜雷,,唐·帕斯夸莱,"Donizetti, Gaetano",董尼才悌,多尼采蒂,歌劇,歌剧,2018-05-30
3539326,Don Procopio,唐˙波科皮歐,,唐·波罗科比沃,"Bizet, Georges",比才,比才,歌劇,歌剧,2018-05-30
3539327,Don Quichotte,唐˙吉訶德,,堂·吉诃德,"Massenet, Jules",馬斯內,马斯内,歌劇,歌剧,2018-05-30
3539328,Don Quichotte à Dulcinée,唐吉訶德致意中人,,堂·吉诃德致意中人,"Ravel, Maurice","拉威爾,摩利斯",拉威尔,聲樂曲,声乐曲,2018-05-30
3539329,Dona nobis pacem,給我們安寧,,给我们安宁,"Vaughan Williams, Ralph",沃恩威廉斯,沃恩·威廉斯,聲樂曲,声乐曲,2018-05-30
3539330,Donna Diana,黛安娜夫人,,狄安娜夫人,"Reznicek, Emil von",雷茲捷克,雷兹尼切克,歌劇,歌剧,2018-05-30
3539331,Dorian Toccata and Fugue,多里安觸技曲與復格,,多利亚托卡塔与赋格,"Bach, Johann Sebastian",巴赫（J.S),巴赫,器樂曲,器乐曲,2018-05-30
3539332,"Dreigroschenoper, Die",三分錢歌劇,,三分钱歌剧,"Weill,von Kurt",懷爾,魏尔,歌劇,歌剧,2018-05-30
3539333,Duke Bluebeard's Castle,藍鬍子公爵的城堡,,蓝胡子公爵的城堡,"Bartók, Béla",巴爾托克,巴托克,歌劇,歌剧,2018-05-30
3539334,Dumbarton Oaks Concerto,敦巴頓的橡樹協奏曲,,敦巴顿的橡树,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,管弦樂曲,管弦乐曲,2018-05-30
3539335,Dvé vdovy,兩個寡婦,,两个寡妇,"Smetana, Bedrich",斯梅塔納,斯美塔那,歌劇,歌剧,2018-05-30
3539336,Ebony Concerto,烏木協奏曲,,乌木协奏曲,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,協奏曲,协奏曲,2018-05-30
3539337,Éclat,迸裂,,光彩夺目  断片,"Boulez, Pierre",布雷茲,布莱兹,室內樂曲,室内乐曲,2018-05-30
3539338,Edgar,愛德嘉,,埃德加,"Puccini, Giacomo",浦契尼,普契尼,歌劇,歌剧,2018-05-30
3539339,Egmont,艾格蒙,,爱格蒙特,"Beethoven, Ludwig van",貝多芬,贝多芬,管絃樂曲,管弦乐曲,2018-05-30
3539340,"egyptische Helena, Die",埃及的海倫,,埃及的海伦,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,歌劇,歌剧,2018-05-30
3539341,eine kleine Nachmusik,小夜曲,,小夜曲,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,器樂曲,器乐曲,2018-05-30
3539342,Eine Nacht in Venedig,威尼斯之夜,,威尼斯之夜,"Strauss Jr., Johann(II)","史特勞斯二世,約翰",小约翰·施特劳斯,歌劇,歌剧,2018-05-30
3539343,Einstein on the Beach,沙灘上的愛因斯坦,,沙滩上的爱因斯坦,Philip Glass,"葛拉斯,菲利普",菲利普·格拉斯，罗伯特·威尔逊,歌劇,歌剧,2018-05-30
3539344,El Salón México,墨西哥沙龍,,墨西哥沙龙,"Copland, Aaron",柯普蘭,科普兰,管絃樂曲,管弦乐曲,2018-05-30
3539345,Elegie für junge Liebende,情侶悲歌,,情侣挽歌,"Henze, Hans Werner",亨采,亨策,歌劇,歌剧,2018-05-30
3539346,Elektra,艾蕾克特拉,,艾列克特拉,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,歌劇,歌剧,2018-05-30
3539347,Elijah,以利亞,,以利亚,"Mendelssohn(Bartholdy), Felix","孟德爾頌,菲利克斯",门德尔松,聲樂曲,声乐曲,2018-05-30
3539348,"Elisabetta, Regina d’Inghilterra",英國女王伊麗莎白,,英国女王伊丽莎白,"Rossini, Gioachino (Antonio)",羅西尼,罗西尼,歌劇,歌剧,2018-05-30
3539349,"Elisir d‘amore, L‘",愛情靈藥,,爱的甘醇,"Donizetti, Gaetano",董尼才悌,多尼采蒂,歌劇,歌剧,2018-05-30
3539350,"Emerald Isle, The",綠寶石島,,绿宝石岛,"Sullivan, Arthur",薩利文,萨利文,歌劇,歌剧,2018-05-30
3539351,En Saga,傳說,,传奇,"Sibelius, Jean",西貝流士,西贝柳斯,管絃樂曲,管弦乐曲,2018-05-30
3539352,"Enchanted Lake, The",魔湖,,魔湖,"Liadov, Anatoli",李亞朵夫,利亚多夫,管絃樂曲,管弦乐曲,2018-05-30
3539353,"Enfance du Christ, L'",基督的童年,,基督的童年,"Berlioz, Hector",白遼士,柏辽兹,聲樂曲,声乐曲,2018-05-30
3539354,"Enfant et les sortilèges, L'",頑童與魔法,,孩子与魔术,"Ravel, Maurice","拉威爾,摩利斯",拉威尔,歌劇,歌剧,2018-05-30
3539355,"English Cat, The",英國貓,,英国猫,"Henze, Hans Werner",亨采,亨策,聲樂曲,声乐曲,2018-05-30
3539356,"English Suite, An",一首英國組曲,,一首英国组曲,"Jones, Parry","鍾斯,培利",帕里,室內樂曲,室内乐曲,2018-05-30
3539357,English Suites,英國組曲,,英国组曲,"Bach, Johann Sebastian",巴赫（J.S),巴赫,鍵盤樂曲,键盘乐曲,2018-05-30
3539358,Enigma Variations,謎語變奏曲,,谜语变奏曲,"Elgar, Edward",艾爾加,埃尔加,管絃樂曲,管弦乐曲,2018-05-30
3539359,Epitaffio per García Lorca,賈西亞˙洛爾卡的墓誌銘,,加西亚·洛尔卡墓志铭,"Nono, Luigi",諾諾,诺诺,聲樂曲,声乐曲,2018-05-30
3539360,Ernani,艾納尼,,埃尔纳尼,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2018-05-30
3539361,"Ernste Gesänge, Vier",四首嚴肅的歌,,四首严肃的歌,"Brahms, Johannes",布拉姆斯,布拉姆斯,聲樂曲,声乐曲,2018-05-30
3539362,"Erste Walpurgisnacht, Die",沃布爾吉斯之首夜,,第一个沃布尔加之夜,"Mendelssohn(Bartholdy), Felix","孟德爾頌,菲利克斯",门德尔松,聲樂曲,声乐曲,2018-05-30
3539363,España,西班牙狂想曲,,西班牙狂想曲,"Chabrier, Emmanuel Alexis",夏布里耶,夏布里埃,管絃樂曲,管弦乐曲,2018-05-30
3539364,Estampes,版畫,,版画集,"Debussy, Claude",德布西,德彪西,鍵盤樂曲,键盘乐曲,2018-05-30
3539365,Esther,以斯帖,,爱丝苔尔,Handel George Friedrich,韓德爾,亨德尔,聲樂曲,声乐曲,2018-05-30
3539366,Et Exspecto Resurrectionem Mortuorum,我期待死者的復活,,我期待死者复活,"Messiaen, Olivier",梅湘,梅西安,管絃樂曲,管弦乐曲,2018-05-30
3539367,Euryanthe,歐麗安特,,欧丽安特,"Weber, Carl Maria von","韋伯,卡爾",韦伯,歌劇,歌剧,2018-05-30
3539368,Everyman,每個人,,每个人,"Walton, William",華爾頓,沃尔福德·戴维斯/西贝柳斯/弗兰克·马丁,聲樂曲,声乐曲,2018-05-30
3539369,"Execution of Stepan Razin, The",斯切潘·拉辛之死,,斯切潘·拉辛之死,"Shostakovich, Dmitri(Dmitry)","蕭斯塔科維契,德米特里",肖斯塔科维奇,聲樂曲,声乐曲,2018-05-30
3539370,Fackeltanz,火炬舞曲,,火炬舞曲,"Spontini, Gaspare (Luigi)",斯朋悌尼,斯蓬蒂尼/梅耶贝尔,管弦樂曲,管弦乐曲,2018-05-30
3539371,Falstaff,法斯塔夫,,法斯塔夫,"Verdi, Giuseppe",威爾第,威尔第/埃尔加,歌劇,歌剧,2018-05-30
3539372,Fanfare for the Common Man,平凡人的號角,,普通人的迎宾号角,"Copland, Aaron",柯普蘭,科普兰,管絃樂曲,管弦乐曲,2018-05-30
3539373,FantasÍa Bética,貝蒂卡幻想曲,,贝蒂卡幻想曲,"Falla, Manuel de",法雅,德-法拉,鍵盤樂曲,键盘乐曲,2018-05-30
3539374,Fantasia Concertante on a Theme of Corelli,柯雷利主題複協奏幻想曲,,科雷利主题复协奏幻想曲,"Tippet, Michael",提佩特,蒂皮特,室內樂曲,室内乐曲,2018-05-30
3539375,Fantasia Contrappuntistica,對位幻想曲,,对位幻想曲,"Busoni, Ferruccio",布索尼,布梭尼,鍵盤樂曲,键盘乐曲,2018-05-30
3539376,Fantasia on a Theme by Thomas Tallis,塔利斯主題幻想曲,,塔利斯主题幻想曲,"Vaughan Williams, Ralph",沃恩威廉斯,沃恩·威廉斯,管弦樂曲,管弦乐曲,2018-05-30
3539377,Fantasia on a Theme of Handel,韓德爾主題幻想曲,,亨德尔主题幻想曲,"Tippet, Michael",提佩特,蒂皮特,管弦樂曲,管弦乐曲,2018-05-30
3539378,Fantasia on British Sea Songs,不列顛大海之歌幻想曲,,不列颠大海之歌幻想曲,"Wood, Henry","伍德,亨利",伍德,管絃樂曲,管弦乐曲,2018-05-30
3539379,Fantasias on an In Nomine by John Taverner,塔維爾納＂聖名曲＂幻想曲,,塔弗纳的“圣名曲”幻想曲,"Maxwell, Davis Peter","馬克斯威爾,戴維斯",马克斯韦尔·戴维斯,管絃樂曲,管弦乐曲,2018-05-30
3539380,Fantasiestücke,幻想曲集,,幻想曲集,"Schumann, Robert",舒曼,舒曼,鍵盤樂曲,键盘乐曲,2018-05-30
3539381,Faschingsschwank aus Wien,維也納狂歡節,,维也纳狂欢节,"Schumann, Robert",舒曼,舒曼,鍵盤樂曲,键盘乐曲,2018-05-30
3539382,Faust,浮士德,,浮士德,"Gounod, Charles",古諾,古诺/施波尔,歌劇,歌剧,2018-05-30
3539383,"Faust Overture, A",浮士德序曲,,浮士德序曲,"Wagner, Richard","華格納,理查",瓦格纳,管弦樂曲,管弦乐曲,2018-05-30
3539384,"Faust Symphony, A",浮士德交響曲,,浮士德交响曲,"Liszt, Franz(Ferenc)",李斯特,李斯特,交響曲,交响曲,2018-05-30
3539385,"Faust,Scenes from Goethe's",浮士德場景,,浮士德场景,"Schumann, Robert",舒曼,舒曼,管弦樂曲,管弦乐曲,2018-05-30
3539386,"Favola d'Orfeo, La",奧菲歐傳奇,,奥尔菲斯传奇,"Monteverdi, Claudio",蒙特威爾第,蒙特威尔第/卡塞拉,歌劇,歌剧,2018-05-30
3539387,"Favorite, La",寵姬,,宠姬,"Donizetti, Gaetano",董尼才悌,多尼采蒂,歌劇,歌剧,2018-05-30
3539388,Fedora,費朵拉,,费多拉,"Giordano, Umberto",喬大諾,乔尔达诺,歌劇,歌剧,2018-05-30
3539389,"Feen, Die",仙女,,仙女,"Wagner, Richard","華格納,理查",瓦格纳,歌劇,歌剧,2018-05-30
3539390,Fennimore and Gerda,芬尼摩爾和蓋爾達,,芬尼摩尔和盖尔达,"Delius, Frederick",戴里厄斯,戴留斯,歌劇,歌剧,2018-05-30
3539391,Feste Romane,羅馬節慶,,罗马节日,"Respighi, Ottorino",雷斯匹基,雷斯皮吉,管絃樂曲,管弦乐曲,2018-05-30
3539392,"Festin de l'araignée, Le",蜘蛛的盛宴,,蜘蛛的盛宴,"Roussel, Albert",盧賽爾,鲁塞尔,芭蕾舞劇,芭蕾哑剧,2018-05-30
3539393,Festivo,節慶,,节日,"Sibelius, Jean",西貝流士,西贝柳斯,管絃樂曲,管弦乐曲,2018-05-30
3539394,Feuersnot,火荒,,火荒,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,歌劇,歌剧,2018-05-30
3539395,Feux d' artifice,煙火,,焰火,"Debussy, Claude",德布西,德彪西,鍵盤樂曲,键盘乐曲,2018-05-30
3539396,"Fidelio, oder Der Triumph der ehelichen Liebe",費黛里奧,,费德里奥,"Beethoven, Ludwig van",貝多芬,贝多芬,歌劇,歌剧,2018-05-30
3539397,"Fiery Angel, The",火天使,,火天使,"Prokofiev, Sergey",普羅科菲夫,普罗科菲耶夫,歌劇,歌剧,2018-05-30
3539398,"Fille aux cheveux de lin, la",棕髮女郎,,亚麻色头发女郎,"Debussy, Claude",德布西,德彪西,鍵盤樂曲,键盘乐曲,2018-05-30
3539399,"Fille de Madame Angot, La",昂戈夫人的女兒,,昂戈夫人的女儿,"Lecocq, Charles",勒科克,勒科克,歌劇,歌剧,2018-05-30
3539400,"Fille du Régiment, La",聯隊之花,,军中女郎,"Donizetti, Gaetano",董尼才悌,多尼采蒂,歌劇,歌剧,2018-05-30
3539401,Fingals Höhle,芬格爾岩洞,,芬格尔山洞,"Mendelssohn(Bartholdy), Felix","孟德爾頌,菲利克斯",门德尔松,管絃樂曲,管弦乐曲,2018-05-30
3539402,Finlandia,芬蘭頌,,芬兰颂,"Sibelius, Jean",西貝流士,西贝柳斯,管絃樂曲,管弦乐曲,2018-05-30
3539403,"Finta giardiniera, La",偽裝女園丁,,假扮园丁的姑娘,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,歌劇,歌剧,2018-05-30
3539404,"Fintasemplice, La",單純的偽裝,,装痴作傻,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,歌劇,歌剧,2018-05-30
3539405,"Firebird, The",火鳥,,火鸟,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539406,Fireworks,煙火,,焰火,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,管弦樂曲,管弦乐曲,2018-05-30
3539407,Fireworks Music,煙火音樂,,焰火音乐,Handel George Friedrich,韓德爾,亨德尔,管絃樂曲,管弦乐曲,2018-05-30
3539408,Five Tudor Portraits,五幅都鐸肖像,,五幅都铎肖像,"Vaughan Williams, Ralph",沃恩威廉斯,沃恩·威廉斯,聲樂曲,声乐曲,2018-05-30
3539409,"fliegende Holländer, Der",漂泊的荷蘭人,,飞行的荷兰人,"Wagner, Richard","華格納,理查",瓦格纳,歌劇,歌剧,2018-05-30
3539410,"Flight of the Bumble Bee, The",大黃蜂的飛行,,野蜂飞舞,"Rimsky-Korsakov, Nikolay",李姆斯基－柯薩科夫,里姆斯基-科萨科夫,管絃樂曲,管弦乐曲,2018-05-30
3539411,"Flood, The",洪水,,洪水,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,音樂劇,音乐剧,2018-05-30
3539412,Flos Campi,大地之花,,大地之花,"Vaughan Williams, Ralph",沃恩威廉斯,沃恩·威廉斯,聲樂曲,声乐曲,2018-05-30
3539413,"Flossder Medusa, Das",梅杜薩之筏,,梅杜萨之筏,"Henze, Hans Werner",亨采,亨策,聲樂曲,声乐曲,2018-05-30
3539414,Fontane di Roma,羅馬之泉,,罗马的喷泉,"Respighi, Ottorino",雷斯匹基,雷斯皮基,管絃樂曲,管弦乐曲,2018-05-30
3539415,For the Fallen,致陣亡者,,致阵亡者,"Elgar, Edward",艾爾加,埃尔加,聲樂曲,声乐曲,2018-05-30
3539416,"Forza del Destino,La",命運之力,,命运之力,"Verdi, Giuseppe",威爾第,威尔第,歌劇,歌剧,2018-05-30
3539417,"Four Seasons, The (Le quattro stagioni)",四季,,四季,"Vivaldi, Antonio",韋瓦第,维瓦尔第,室內樂曲,室内乐曲,2018-05-30
3539418,Francesca da Rimini,里米尼的弗朗切斯卡,,弗兰切斯卡里米尼,"Tchaikovsky, Pyotr Il'yich",柴可夫斯基,柴可夫斯基/赞多纳伊/拉赫玛尼诺夫/哈德利,管弦樂曲,管弦乐曲,2018-05-30
3539419,"Francs Juges, Les",正直的法官,,襟怀坦白的法官,"Berlioz, Hector",白遼士,柏辽兹,管絃樂曲,管弦乐曲,2018-05-30
